"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2014","38","Ozone","Sonora-Barretta Street","06-109-0005","AQS","38","."
"01/02/2014","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"01/03/2014","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/04/2014","32","Ozone","Sonora-Barretta Street","06-109-0005","AQS","32","."
"01/05/2014","36","Ozone","Sonora-Barretta Street","06-109-0005","AQS","36","."
"01/06/2014","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/07/2014","34","Ozone","Sonora-Barretta Street","06-109-0005","AQS","34","."
"01/08/2014","28","Ozone","Sonora-Barretta Street","06-109-0005","AQS","28","."
"01/09/2014","32","Ozone","Sonora-Barretta Street","06-109-0005","AQS","32","."
"01/10/2014","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"01/11/2014","22","Ozone","Sonora-Barretta Street","06-109-0005","AQS","22","."
"01/12/2014","32","Ozone","Sonora-Barretta Street","06-109-0005","AQS","32","."
"01/13/2014","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"01/14/2014","33","Ozone","Sonora-Barretta Street","06-109-0005","AQS","33","."
"01/15/2014","35","Ozone","Sonora-Barretta Street","06-109-0005","AQS","35","."
"01/16/2014","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"01/17/2014","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"01/18/2014","39","Ozone","Sonora-Barretta Street","06-109-0005","AQS","39","."
"01/19/2014","38","Ozone","Sonora-Barretta Street","06-109-0005","AQS","38","."
"01/20/2014","38","Ozone","Sonora-Barretta Street","06-109-0005","AQS","38","."
"01/21/2014","35","Ozone","Sonora-Barretta Street","06-109-0005","AQS","35","."
"01/22/2014","41","Ozone","Sonora-Barretta Street","06-109-0005","AQS","41","."
"01/23/2014","40","Ozone","Sonora-Barretta Street","06-109-0005","AQS","40","."
"01/24/2014","40","Ozone","Sonora-Barretta Street","06-109-0005","AQS","40","."
"01/25/2014","40","Ozone","Sonora-Barretta Street","06-109-0005","AQS","40","."
"01/26/2014","40","Ozone","Sonora-Barretta Street","06-109-0005","AQS","40","."
"01/27/2014","41","Ozone","Sonora-Barretta Street","06-109-0005","AQS","41","."
"01/28/2014","41","Ozone","Sonora-Barretta Street","06-109-0005","AQS","41","."
