"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2014","99","PM2.5","Redwood City","06-081-1001","AQS","16","10","99","40"
"01/02/2014","69","PM2.5","Redwood City","06-081-1001","AQS","16","10","69","45"
"01/03/2014","73","PM2.5","Redwood City","06-081-1001","AQS","18","6","73","46"
"01/04/2014","53","PM2.5","Redwood City","06-081-1001","AQS","18","18","53","35"
"01/05/2014","44","PM2.5","Redwood City","06-081-1001","AQS","9","26","44","35"
"01/06/2014","74","PM2.5","Redwood City","06-081-1001","AQS","17","6","74","41"
"01/07/2014","83","PM2.5","Redwood City","06-081-1001","AQS","17","7","83","42"
"01/08/2014","27","PM2.5","Redwood City","06-081-1001","AQS","13","23","27","27"
"01/09/2014","25","PM2.5","Redwood City","06-081-1001","AQS",".",".","25","25"
"01/10/2014","39","PM2.5","Redwood City","06-081-1001","AQS","11","20","39","34"
"01/11/2014","37","PM2.5","Redwood City","06-081-1001","AQS","13","19","37","22"
"01/12/2014","41","PM2.5","Redwood City","06-081-1001","AQS","8","25","41","26"
"01/13/2014","34","NO2","Redwood City","06-081-1001","AQS","14","22","33","34"
"01/14/2014","38","NO2","Redwood City","06-081-1001","AQS","13","27","35","38"
"01/15/2014","53","PM2.5","Redwood City","06-081-1001","AQS","15","20","53","42"
"01/16/2014","51","NO2","Redwood City","06-081-1001","AQS","17","18","50","51"
"01/17/2014","78","PM2.5","Redwood City","06-081-1001","AQS","16","10","78","52"
"01/18/2014","64","PM2.5","Redwood City","06-081-1001","AQS","16","16","64","43"
"01/19/2014","63","PM2.5","Redwood City","06-081-1001","AQS","14","22","63","46"
"01/20/2014","63","PM2.5","Redwood City","06-081-1001","AQS","15","13","63","47"
"01/21/2014","55","PM2.5","Redwood City","06-081-1001","AQS","16","10","55","43"
"01/22/2014","57","PM2.5","Redwood City","06-081-1001","AQS","16","6","57","42"
"01/23/2014","69","PM2.5","Redwood City","06-081-1001","AQS","15","25","69","45"
"01/24/2014","94","PM2.5","Redwood City","06-081-1001","AQS","16","12","94","50"
"01/25/2014","63","PM2.5","Redwood City","06-081-1001","AQS","15","21","63","44"
"01/26/2014","53","PM2.5","Redwood City","06-081-1001","AQS","14","19","53","31"
"01/27/2014","42","PM2.5","Redwood City","06-081-1001","AQS","7","19","42","22"
"01/28/2014","40","PM2.5","Redwood City","06-081-1001","AQS","8","14","40","24"
"01/29/2014","23","Ozone","Redwood City","06-081-1001","AQS","8","23","19","16"
"01/30/2014","33","Ozone","Redwood City","06-081-1001","AQS","6","33","16","20"
"01/31/2014","29","Ozone","Redwood City","06-081-1001","AQS","9","29","20","25"
"02/01/2014","30","NO2","Redwood City","06-081-1001","AQS","8","28","27","30"
"02/02/2014","35","PM2.5","Redwood City","06-081-1001","AQS","10","27","35","26"
"02/03/2014","35","PM2.5","Redwood City","06-081-1001","AQS","11","26","35","27"
"02/04/2014","26","PM2.5","Redwood City","06-081-1001","AQS","10","18","26","25"
"02/05/2014","30","Ozone","Redwood City","06-081-1001","AQS","9","30","13","25"
"02/06/2014","26","NO2","Redwood City","06-081-1001","AQS","8","21","23","26"
"02/07/2014","32","Ozone","Redwood City","06-081-1001","AQS","9","32","19","25"
"02/08/2014","27","Ozone","Redwood City","06-081-1001","AQS","6","27","3","8"
"02/09/2014","27","Ozone","Redwood City","06-081-1001","AQS","6","27","6","4"
"02/10/2014","22","NO2","Redwood City","06-081-1001","AQS","9","19","12","22"
"02/11/2014","22","PM2.5","Redwood City","06-081-1001","AQS","9","20","22","20"
"02/12/2014","48","PM2.5","Redwood City","06-081-1001","AQS","7","15","48","28"
"02/13/2014","37","PM2.5","Redwood City","06-081-1001","AQS","8","12","37","21"
"02/14/2014","23","PM2.5","Redwood City","06-081-1001","AQS","7","14","23","23"
"02/15/2014","19","Ozone","Redwood City","06-081-1001","AQS","6","19","15","14"
"02/16/2014","35","Ozone","Redwood City","06-081-1001","AQS","3","35","20","21"
"02/17/2014","28","Ozone","Redwood City","06-081-1001","AQS","8","28","21","24"
"02/18/2014","26","Ozone","Redwood City","06-081-1001","AQS","9","26","20","20"
"02/19/2014","29","Ozone","Redwood City","06-081-1001","AQS","3","29","20","19"
"02/20/2014","30","NO2","Redwood City","06-081-1001","AQS","7","24","23","30"
"02/21/2014","28","PM2.5","Redwood City","06-081-1001","AQS","9","26","28","24"
"02/22/2014","32","PM2.5","Redwood City","06-081-1001","AQS","6","19","32","18"
"02/23/2014","42","PM2.5","Redwood City","06-081-1001","AQS","5","20","42","18"
"02/24/2014","30","PM2.5","Redwood City","06-081-1001","AQS","9","30","30","20"
"02/25/2014","41","PM2.5","Redwood City","06-081-1001","AQS",".",".","41","."
"02/26/2014","37","Ozone","Redwood City","06-081-1001","AQS","3","37","12","17"
"02/27/2014","35","Ozone","Redwood City","06-081-1001","AQS","3","35","12","18"
"02/28/2014","35","Ozone","Redwood City","06-081-1001","AQS","3","35","5","15"
"03/01/2014","33","Ozone","Redwood City","06-081-1001","AQS",".","33","9","15"
"03/02/2014","34","Ozone","Redwood City","06-081-1001","AQS","5","34","10","12"
"03/03/2014","22","NO2","Redwood City","06-081-1001","AQS","7","20","21","22"
"03/04/2014","25","NO2","Redwood City","06-081-1001","AQS","6","21","18","25"
