"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2014","34","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","34",".","."
"01/02/2014","42","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","42",".","1"
"01/03/2014","35","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","35",".","."
"01/04/2014","42","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","42",".","."
"01/05/2014","42","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","42","9","14"
"01/06/2014","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"01/07/2014","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","."
"01/08/2014","39","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","39",".","7"
"01/09/2014","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"01/10/2014","32","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","32",".","."
"01/11/2014","57","PM2.5","Redding - Buckeye","06-089-3004","AQS","36","23","57"
"01/12/2014","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"01/13/2014","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"01/14/2014","46","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","46",".","15"
"01/15/2014","46","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","46",".","."
"01/16/2014","45","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","45",".","."
"01/17/2014","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37","24","32"
"01/18/2014","34","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","34",".","."
"01/19/2014","39","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","39",".","."
"01/20/2014","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40",".","3"
"01/21/2014","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43",".","."
"01/22/2014","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43",".","."
"01/23/2014","61","PM10","Shasta Lake-La Mesa","06-089-0008","AQS","44","61","51"
"01/24/2014","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","."
"01/25/2014","38","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","38",".","."
"01/26/2014","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","6"
"01/27/2014","33","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","33",".","."
"01/28/2014","30","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","30",".","."
"01/29/2014","75","PM2.5","Redding - Buckeye","06-089-3004","AQS","31","33","75"
"01/30/2014","33","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","33",".","."
"01/31/2014","34","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","34",".","."
"02/01/2014","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","3"
"02/02/2014","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"02/03/2014","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","."
"02/04/2014","35","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","35","19","26"
"02/05/2014","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"02/06/2014","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"02/07/2014","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40",".","2"
"02/08/2014","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40",".","."
"02/09/2014","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"02/10/2014","62","PM2.5","Redding - Buckeye","06-089-3004","AQS","37","13","62"
"02/11/2014","32","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","32",".","."
"02/12/2014","35","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","35",".","."
"02/13/2014","14","PM10","Anderson - North Street","06-089-0007","AQS","13","14","2"
"02/14/2014","28","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","28",".","."
"02/15/2014","39","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","39",".","."
"02/16/2014","48","PM2.5","Redding - Buckeye","06-089-3004","AQS","40","12","48"
"02/17/2014","39","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","39",".","."
"02/18/2014","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40",".","."
"02/19/2014","35","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","35",".","19"
"02/20/2014","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40",".","."
"02/21/2014","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","."
"02/22/2014","51","PM2.5","Redding - Buckeye","06-089-3004","AQS","43","13","51"
"02/23/2014","42","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","42",".","."
"02/24/2014","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"02/25/2014","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43",".","10"
"02/26/2014","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43",".","."
"02/27/2014","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43",".","."
"02/28/2014","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40","7","17"
"03/01/2014","39","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","39",".","."
"03/02/2014","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","."
"03/03/2014","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","2"
"03/04/2014","31","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","31",".","."
"03/05/2014","39","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","39",".","."
"03/06/2014","38","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","38","7","21"
"03/07/2014","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"03/08/2014","38","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","38",".","."
"03/09/2014","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","2"
"03/10/2014","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"03/11/2014","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"03/12/2014","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41","7","26"
"03/13/2014","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"03/14/2014","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43",".","."
"03/15/2014","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43",".","21"
"03/16/2014","45","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","45",".","."
"03/17/2014","42","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","42",".","."
"03/18/2014","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44","11","15"
"03/19/2014","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43",".","."
"03/20/2014","47","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","47",".","."
"03/21/2014","45","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","45",".","11"
"03/22/2014","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"03/23/2014","47","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","47",".","."
"03/24/2014","90","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","90","21","60"
"03/25/2014","77","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","77",".","."
"03/26/2014","42","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","42",".","."
"03/27/2014","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43",".","5"
"03/28/2014","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","."
"03/29/2014","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"03/30/2014","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43","7","15"
"03/31/2014","47","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","47",".","."
"04/01/2014","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"04/02/2014","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40",".","4"
"04/03/2014","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","."
"04/04/2014","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40",".","."
"04/05/2014","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43","9","13"
"04/06/2014","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40",".","."
"04/07/2014","46","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","46",".","."
"04/08/2014","47","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","47",".","20"
"04/09/2014","64","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","64",".","."
"04/10/2014","51","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","51",".","."
"04/11/2014","51","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","51","16","28"
"04/12/2014","54","Ozone","Anderson - North Street","06-089-0007","AQS","54",".","."
"04/13/2014","51","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","51",".","."
"04/14/2014","48","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","48",".","13"
