"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/05/2014","63","PM2.5","Portola","06-063-1010","AQS","63"
"01/07/2014","89","PM2.5","Quincy-N Church Street","06-063-1006","AQS","89"
"01/08/2014","95","PM2.5","Quincy-N Church Street","06-063-1006","AQS","95"
"01/11/2014","73","PM2.5","Portola","06-063-1010","AQS","73"
"01/14/2014","126","PM2.5","Portola","06-063-1010","AQS","126"
"01/17/2014","132","PM2.5","Portola","06-063-1010","AQS","132"
"01/20/2014","122","PM2.5","Portola","06-063-1010","AQS","122"
"01/23/2014","60","PM2.5","Quincy-N Church Street","06-063-1006","AQS","60"
"01/26/2014","103","PM2.5","Portola","06-063-1010","AQS","103"
"01/29/2014","83","PM2.5","Portola","06-063-1010","AQS","83"
"02/01/2014","108","PM2.5","Portola","06-063-1010","AQS","108"
"02/04/2014","135","PM2.5","Portola","06-063-1010","AQS","135"
"02/07/2014","21","PM2.5","Quincy-N Church Street","06-063-1006","AQS","21"
"02/10/2014","80","PM2.5","Portola","06-063-1010","AQS","80"
"02/13/2014","57","PM2.5","Quincy-N Church Street","06-063-1006","AQS","57"
"02/16/2014","69","PM2.5","Portola","06-063-1010","AQS","69"
"02/19/2014","60","PM2.5","Portola","06-063-1010","AQS","60"
"02/22/2014","100","PM2.5","Portola","06-063-1010","AQS","100"
"02/25/2014","94","PM2.5","Portola","06-063-1010","AQS","94"
"02/28/2014","69","PM2.5","Portola","06-063-1010","AQS","69"
"03/03/2014","42","PM2.5","Portola","06-063-1010","AQS","42"
"03/06/2014","46","PM2.5","Portola","06-063-1010","AQS","46"
"03/09/2014","27","PM2.5","Quincy-N Church Street","06-063-1006","AQS","27"
"03/12/2014","65","PM2.5","Portola","06-063-1010","AQS","65"
"03/15/2014","68","PM2.5","Portola","06-063-1010","AQS","68"
"03/18/2014","53","PM2.5","Portola","06-063-1010","AQS","53"
"03/21/2014","64","PM2.5","Portola","06-063-1010","AQS","64"
"03/24/2014","74","PM2.5","Portola","06-063-1010","AQS","74"
"03/27/2014","38","PM2.5","Portola","06-063-1010","AQS","38"
"03/30/2014","59","PM2.5","Portola","06-063-1010","AQS","59"
"04/02/2014","56","PM2.5","Portola","06-063-1010","AQS","56"
"04/05/2014","96","PM2.5","Portola","06-063-1010","AQS","96"
"04/08/2014","65","PM2.5","Portola","06-063-1010","AQS","65"
"04/11/2014","33","PM2.5","Portola","06-063-1010","AQS","33"
"04/14/2014","40","PM2.5","Portola","06-063-1010","AQS","40"
"04/17/2014","41","PM2.5","Portola","06-063-1010","AQS","41"
"04/20/2014","48","PM2.5","Portola","06-063-1010","AQS","48"
"04/23/2014","32","PM2.5","Portola","06-063-1010","AQS","32"
"04/26/2014","12","PM2.5","Portola","06-063-1010","AQS","12"
"04/29/2014","28","PM2.5","Portola","06-063-1010","AQS","28"
