"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2014","50","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","38",".","50"
"01/02/2014","44","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","38",".","44"
"01/03/2014","52","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","36",".","52"
"01/04/2014","48","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","37",".","48"
"01/05/2014","47","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","38","40","47"
"01/06/2014","41","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","41",".","30"
"01/07/2014","41","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","41",".","30"
"01/08/2014","40","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","40",".","33"
"01/09/2014","47","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","40",".","47"
"01/10/2014","43","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","36",".","43"
"01/11/2014","42","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","37","21","42"
"01/12/2014","39","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","39",".","36"
"01/13/2014","48","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","48",".","33"
"01/14/2014","50","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","50",".","33"
"01/15/2014","47","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","47",".","38"
"01/16/2014","44","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","44",".","21"
"01/17/2014","49","PM10","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","43","49","5"
"01/18/2014","40","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","40",".","33"
"01/19/2014","42","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","42",".","40"
"01/20/2014","43","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","43",".","36"
"01/21/2014","56","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","38",".","56"
"01/22/2014","51","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","40",".","51"
"01/23/2014","53","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","42","51","53"
"01/24/2014","44","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","41",".","44"
"01/25/2014","45","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","42",".","45"
"01/26/2014","43","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","41",".","43"
"01/27/2014","41","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","39",".","41"
"01/28/2014","58","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","41",".","58"
"01/29/2014","47","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","36","41","47"
"01/30/2014","41","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","41",".","28"
"01/31/2014","38","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","38",".","25"
"02/01/2014","38","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","38",".","31"
"02/02/2014","40","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","40",".","35"
"02/03/2014","41","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","41",".","33"
"02/04/2014","40","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","40","11","29"
"02/05/2014","41","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","39",".","41"
"02/06/2014","34","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","34",".","34"
"02/07/2014","40","Ozone","Yosemite NP - Turtleback Dome","06-043-0003","AQS","40",".","27"
"02/08/2014","37","PM2.5","Yosemite NP-Yosemite Village Vistor Center","06-043-1001","AQS","34",".","37"
