"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2014","124","PM2.5","Vallejo","06-095-0004","AQS","23","26","7",".","124","38"
"01/02/2014","86","PM2.5","Vallejo","06-095-0004","AQS","17","31","1",".","86","40"
"01/03/2014","99","PM2.5","Vallejo","06-095-0004","AQS","18","22","3",".","99","41"
"01/04/2014","82","PM2.5","Vallejo","06-095-0004","AQS","18","29","1",".","82","38"
"01/05/2014","56","PM2.5","Vallejo","06-095-0004","AQS","16","31","1","14","56","39"
"01/06/2014","84","PM2.5","Vallejo","06-095-0004","AQS","14","19","1",".","84","35"
"01/07/2014","75","PM2.5","Vallejo","06-095-0004","AQS","14","19","3",".","75","34"
"01/08/2014","37","PM2.5","Vallejo","06-095-0004","AQS","6","21","0",".","37","21"
"01/09/2014","28","Ozone","Vallejo","06-095-0004","AQS","6","28","0",".","26","18"
"01/10/2014","57","PM2.5","Vallejo","06-095-0004","AQS","14","22","1",".","57","37"
"01/11/2014","53","PM2.5","Vallejo","06-095-0004","AQS","18","26","1","9","53","31"
"01/12/2014","38","PM2.5","Vallejo","06-095-0004","AQS","6","32","3",".","38","33"
"01/13/2014","38","PM2.5","Vallejo","06-095-0004","AQS","7","25","1",".","38","32"
"01/14/2014","62","PM2.5","Vallejo","06-095-0004","AQS","13","23","3",".","62","37"
"01/15/2014","76","PM2.5","Vallejo","06-095-0004","AQS","13","31","1",".","76","38"
"01/16/2014","83","PM2.5","Vallejo","06-095-0004","AQS","13","31","1",".","83","44"
"01/17/2014","103","PM2.5","Vallejo","06-095-0004","AQS","14","31","1","23","103","38"
"01/18/2014","70","PM2.5","Vallejo","06-095-0004","AQS","16","29","1",".","70","41"
"01/19/2014","60","PM2.5","Vallejo","06-095-0004","AQS","16","32","1",".","60","38"
"01/20/2014","58","PM2.5","Vallejo","06-095-0004","AQS","13","26","1",".","58","36"
"01/21/2014","57","PM2.5","Vallejo","06-095-0004","AQS","18","26","4",".","57","36"
"01/22/2014","60","PM2.5","Vallejo","06-095-0004","AQS",".","22","6",".","60","42"
"01/23/2014","77","PM2.5","Vallejo","06-095-0004","AQS","14","32","1","26","77","39"
"01/24/2014","91","PM2.5","Vallejo","06-095-0004","AQS","18","33","3",".","91","47"
"01/25/2014","74","PM2.5","Vallejo","06-095-0004","AQS","24","31","1",".","74","41"
"01/26/2014","59","PM2.5","Vallejo","06-095-0004","AQS","19","29","1",".","59","41"
"01/27/2014","46","PM2.5","Vallejo","06-095-0004","AQS",".","22","0",".","46","15"
"01/28/2014","31","PM2.5","Vallejo","06-095-0004","AQS","3","22","1",".","31","21"
"01/29/2014","27","PM2.5","Vallejo","06-095-0004","AQS","3","19","0","3","27","15"
"01/30/2014","31","PM2.5","Vallejo","06-095-0004","AQS","3","31","0",".","31","14"
"01/31/2014","33","PM2.5","Vallejo","06-095-0004","AQS","7","30","0",".","33","25"
"02/01/2014","40","PM2.5","Vallejo","06-095-0004","AQS","9","31","1",".","40","31"
"02/02/2014","36","PM2.5","Vallejo","06-095-0004","AQS","9","28","0",".","36","25"
"02/03/2014","32","PM2.5","Vallejo","06-095-0004","AQS","11","30","3",".","32","25"
"02/04/2014","38","PM2.5","Vallejo","06-095-0004","AQS",".","23",".","11","38","."
"02/05/2014","35","PM2.5","Vallejo","06-095-0004","AQS","11","27","3",".","35","30"
"02/06/2014","57","PM2.5","Vallejo","06-095-0004","AQS","7","23","1",".","57","25"
"02/07/2014","30","PM2.5","Vallejo","06-095-0004","AQS","8","29","3",".","30","23"
"02/08/2014","28","Ozone","Vallejo","06-095-0004","AQS","6","28","1",".","15","6"
"02/09/2014","28","Ozone","Vallejo","06-095-0004","AQS","5","28","1",".","17","6"
"02/10/2014","22","Ozone","Vallejo","06-095-0004","AQS","5","22","0","4","20","18"
"02/11/2014","29","PM2.5","Vallejo","06-095-0004","AQS","3","20","3",".","29","23"
"02/12/2014","33","PM2.5","Vallejo","06-095-0004","AQS","3","21","1",".","33","25"
"02/13/2014","28","PM2.5","Vallejo","06-095-0004","AQS","3","18","1",".","28","24"
"02/14/2014","19","PM2.5","Vallejo","06-095-0004","AQS","3","19","1",".","19","13"
"02/15/2014","24","PM2.5","Vallejo","06-095-0004","AQS","6","21","1",".","24","16"
"02/16/2014","32","Ozone","Vallejo","06-095-0004","AQS","5","32","1","6","30","23"
"02/17/2014","33","PM2.5","Vallejo","06-095-0004","AQS","8","30","3",".","33","28"
"02/18/2014","35","PM2.5","Vallejo","06-095-0004","AQS","11","29","3",".","35","26"
"02/19/2014","35","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","3","35","1",".","25","19"
"02/20/2014","35","NO2","Vallejo","06-095-0004","AQS","10","25","3",".",".","35"
"02/21/2014","31","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","14","31","10",".",".","22"
"02/22/2014","32","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","9","32","4","8","31","19"
"02/23/2014","32","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","5","32","4",".",".","22"
"02/24/2014","37","Ozone","Vallejo","06-095-0004","AQS","10","37","3",".",".","34"
"02/25/2014","48","PM2.5","Vallejo","06-095-0004","AQS","5","43","3",".","48","9"
"02/26/2014","44","PM2.5","Vallejo","06-095-0004","AQS","6","36","1",".","44","31"
"02/27/2014","37","Ozone","Vallejo","06-095-0004","AQS","3","37","1",".","35","13"
"02/28/2014","37","Ozone","Vallejo","06-095-0004","AQS","3","37","1","4","25","12"
"03/01/2014","35","Ozone","Vallejo","06-095-0004","AQS",".","35","1",".","24","26"
"03/02/2014","32","Ozone","Vallejo","06-095-0004","AQS","5","32","1",".","29","17"
"03/03/2014","39","PM2.5","Vallejo","06-095-0004","AQS","7","23","4",".","39","29"
"03/04/2014","30","Ozone","Vallejo","06-095-0004","AQS","6","30","0",".","22","15"
"03/05/2014","43","PM2.5","Vallejo","06-095-0004","AQS","6","25","1",".","43","22"
"03/06/2014","38","PM2.5","Vallejo","06-095-0004","AQS","5","34","0","12","38","26"
"03/07/2014","31","Ozone","Vallejo","06-095-0004","AQS","7","31","1",".","29","23"
"03/08/2014","40","PM2.5","Vallejo","06-095-0004","AQS","9","31","1",".","40","25"
"03/09/2014","43","PM2.5","Vallejo","06-095-0004","AQS","6","32","1",".","43","20"
"03/10/2014","39","Ozone","Vallejo","06-095-0004","AQS","5","39","0",".","28","25"
"03/11/2014","40","Ozone","Vallejo","06-095-0004","AQS","6","40","1",".","33","35"
"03/12/2014","38","Ozone","Vallejo","06-095-0004","AQS","5","38","0","5","23","27"
"03/13/2014","35","PM2.5","Vallejo","06-095-0004","AQS","9","35","3",".","35","28"
"03/14/2014","46","PM2.5","Vallejo","06-095-0004","AQS","3","34","0",".","46","18"
"03/15/2014","40","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","7","40","3",".","37","21"
"03/16/2014","39","Ozone","Vallejo","06-095-0004","AQS","7","39","1",".","38","18"
"03/17/2014","39","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","3","39","0",".","25","21"
"03/18/2014","38","Ozone","Vallejo","06-095-0004","AQS","8","38","1","4","23","31"
"03/19/2014","42","Ozone","Vallejo","06-095-0004","AQS","10","42","4",".","30","30"
"03/20/2014","43","PM2.5","Vallejo","06-095-0004","AQS","10","38","3",".","43","29"
"03/21/2014","58","PM2.5","Vallejo","06-095-0004","AQS","3","36","0",".","58","8"
"03/22/2014","57","PM2.5","Vallejo","06-095-0004","AQS","5","37","0",".","57","18"
"03/23/2014","50","PM2.5","Vallejo","06-095-0004","AQS","3","40","1",".","50","8"
"03/24/2014","48","PM2.5","Vallejo","06-095-0004","AQS","7","44","1","14","48","20"
"03/25/2014","40","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","5","40","0",".","25","12"
"03/26/2014","39","Ozone","Vallejo","06-095-0004","AQS","3","39","0",".","32","15"
"03/27/2014","40","PM2.5","Vallejo","06-095-0004","AQS","5","39","0",".","40","28"
"03/28/2014","32","Ozone","Vallejo","06-095-0004","AQS","3","32","4",".","30","21"
"03/29/2014","35","Ozone","Vallejo","06-095-0004","AQS","3","35","1",".","27","6"
"03/30/2014","38","Ozone","Vallejo","06-095-0004","AQS","3","38","0","5","28","15"
"03/31/2014","40","Ozone","Vallejo","06-095-0004","AQS","5","40","1",".","27","23"
"04/01/2014","39","Ozone","Vallejo","06-095-0004","AQS","5","39","1",".","25","18"
"04/02/2014","42","Ozone","Vallejo","06-095-0004","AQS","5","42","0",".","19","8"
"04/03/2014","40","Ozone","Vallejo","06-095-0004","AQS","5","40","1",".","28","21"
"04/04/2014","40","Ozone","Vallejo","06-095-0004","AQS","5","40","3",".","26","22"
"04/05/2014","36","PM2.5","Vallejo","06-095-0004","AQS","8","36","0","6","36","20"
"04/06/2014","37","PM2.5","Vallejo","06-095-0004","AQS","6","32","1",".","37","21"
"04/07/2014","41","Ozone","Vallejo","06-095-0004","AQS","9","41","3",".","38","23"
"04/08/2014","61","Ozone","Fairfield","06-095-0005","AQS","7","61","6",".","45","21"
"04/09/2014","32","PM2.5","Vallejo","06-095-0004","AQS","3","32","1",".","32","8"
"04/10/2014","44","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","3","44","4",".","31","11"
"04/11/2014","46","PM2.5","Vallejo","06-095-0004","AQS","3","37","1","10","46","7"
"04/12/2014","44","PM2.5","Vallejo","06-095-0004","AQS","3","40","0",".","44","3"
"04/13/2014","53","PM2.5","Vallejo","06-095-0004","AQS","3","44","1",".","53","4"
"04/14/2014","50","PM2.5","Vallejo","06-095-0004","AQS","3","37","1",".","50","8"
"04/15/2014","59","PM2.5","Vallejo","06-095-0004","AQS","3","35","0",".","59","9"
"04/16/2014","56","PM2.5","Vallejo","06-095-0004","AQS","3","39","1",".","56","10"
"04/17/2014","54","PM2.5","Vallejo","06-095-0004","AQS","3","36","0","14","54","13"
"04/18/2014","40","Ozone","Vallejo","06-095-0004","AQS","3","40","1",".","39","9"
"04/19/2014","43","Ozone","Vallejo","06-095-0004","AQS","3","43","0",".","30","5"
"04/20/2014","44","Ozone","Vallejo","06-095-0004","AQS","5","44","1",".","38","15"
"04/21/2014","59","PM2.5","Vallejo","06-095-0004","AQS","3","44","1",".","59","14"
"04/22/2014","45","Ozone","Vallejo","06-095-0004","AQS","3","45","0",".","22","2"
"04/23/2014","42","Ozone","Vallejo","06-095-0004","AQS","3","42","0","5","22","13"
"04/24/2014","39","Ozone","Vallejo","06-095-0004","AQS","3","39","0",".","36","5"
"04/25/2014","41","Ozone","Vallejo","06-095-0004","AQS","5","41","0",".","25","8"
"04/26/2014","41","Ozone","Vallejo","06-095-0004","AQS","3","41","1",".","22","11"
"04/27/2014","41","Ozone","Vallejo","06-095-0004","AQS","5","41","1",".","35","5"
"04/28/2014","46","PM2.5","Vallejo","06-095-0004","AQS","5","44","1",".","46","20"
"04/29/2014","61","Ozone","Vallejo","06-095-0004","AQS","6","61","1","10","43","30"
"04/30/2014","77","Ozone","Vallejo","06-095-0004","AQS","6","77","1",".","44","24"
"05/01/2014","90","Ozone","Fairfield","06-095-0005","AQS","7","90","1",".","45","32"
"05/02/2014","45","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","3","45","1",".","31","22"
"05/03/2014","39","Ozone","Vallejo","06-095-0004","AQS","2","39","0",".","28","5"
"05/04/2014","36","Ozone","Vallejo","06-095-0004","AQS","2","36","0",".","22","2"
"05/05/2014","37","Ozone","Vallejo","06-095-0004","AQS","2","37","0","6","25","4"
"05/06/2014","37","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","2","37","0",".","36","4"
"05/07/2014","45","PM2.5","Vallejo","06-095-0004","AQS","3","42","0",".","45","8"
"05/08/2014","44","Ozone","Vallejo","06-095-0004","AQS","3","44","0",".","33","5"
"05/09/2014","40","Ozone","Vallejo","06-095-0004","AQS","2","40","0",".","21","2"
