"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/08/2014","3","PM2.5","Redwood NP","06-015-0002","AQS","3"
"01/11/2014","29","PM2.5","Redwood NP","06-015-0002","AQS","29"
"01/14/2014","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"01/17/2014","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"01/20/2014","13","PM2.5","Redwood NP","06-015-0002","AQS","13"
"01/23/2014","7","PM2.5","Redwood NP","06-015-0002","AQS","7"
"01/26/2014","20","PM2.5","Redwood NP","06-015-0002","AQS","20"
"01/29/2014","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"02/01/2014","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"02/04/2014","7","PM2.5","Redwood NP","06-015-0002","AQS","7"
"02/07/2014","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"02/10/2014","2","PM2.5","Redwood NP","06-015-0002","AQS","2"
"02/13/2014","0","PM2.5","Redwood NP","06-015-0002","AQS","0"
"02/16/2014","25","PM2.5","Redwood NP","06-015-0002","AQS","25"
"02/19/2014","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"02/22/2014","9","PM2.5","Redwood NP","06-015-0002","AQS","9"
"02/25/2014","16","PM2.5","Redwood NP","06-015-0002","AQS","16"
"02/28/2014","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"03/03/2014","2","PM2.5","Redwood NP","06-015-0002","AQS","2"
"03/06/2014","53","PM2.5","Redwood NP","06-015-0002","AQS","53"
"03/09/2014","2","PM2.5","Redwood NP","06-015-0002","AQS","2"
"03/12/2014","15","PM2.5","Redwood NP","06-015-0002","AQS","15"
"03/15/2014","11","PM2.5","Redwood NP","06-015-0002","AQS","11"
"03/18/2014","18","PM2.5","Redwood NP","06-015-0002","AQS","18"
"03/21/2014","36","PM2.5","Redwood NP","06-015-0002","AQS","36"
"03/27/2014","25","PM2.5","Redwood NP","06-015-0002","AQS","25"
"03/30/2014","14","PM2.5","Redwood NP","06-015-0002","AQS","14"
"04/02/2014","7","PM2.5","Redwood NP","06-015-0002","AQS","7"
"04/05/2014","17","PM2.5","Redwood NP","06-015-0002","AQS","17"
"04/08/2014","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"04/11/2014","37","PM2.5","Redwood NP","06-015-0002","AQS","37"
"04/14/2014","32","PM2.5","Redwood NP","06-015-0002","AQS","32"
"04/17/2014","13","PM2.5","Redwood NP","06-015-0002","AQS","13"
"04/20/2014","40","PM2.5","Redwood NP","06-015-0002","AQS","40"
"04/23/2014","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"04/26/2014","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"04/29/2014","21","PM2.5","Redwood NP","06-015-0002","AQS","21"
"05/02/2014","11","PM2.5","Redwood NP","06-015-0002","AQS","11"
"05/05/2014","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"05/08/2014","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"05/11/2014","12","PM2.5","Redwood NP","06-015-0002","AQS","12"
"05/14/2014","22","PM2.5","Redwood NP","06-015-0002","AQS","22"
"05/17/2014","13","PM2.5","Redwood NP","06-015-0002","AQS","13"
"05/20/2014","22","PM2.5","Redwood NP","06-015-0002","AQS","22"
"05/23/2014","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"05/26/2014","12","PM2.5","Redwood NP","06-015-0002","AQS","12"
"05/29/2014","33","PM2.5","Redwood NP","06-015-0002","AQS","33"
"06/01/2014","27","PM2.5","Redwood NP","06-015-0002","AQS","27"
"06/04/2014","40","PM2.5","Redwood NP","06-015-0002","AQS","40"
"06/07/2014","48","PM2.5","Redwood NP","06-015-0002","AQS","48"
"06/10/2014","33","PM2.5","Redwood NP","06-015-0002","AQS","33"
"06/13/2014","21","PM2.5","Redwood NP","06-015-0002","AQS","21"
"06/16/2014","16","PM2.5","Redwood NP","06-015-0002","AQS","16"
"06/19/2014","12","PM2.5","Redwood NP","06-015-0002","AQS","12"
"06/22/2014","31","PM2.5","Redwood NP","06-015-0002","AQS","31"
"06/25/2014","1","PM2.5","Redwood NP","06-015-0002","AQS","1"
"06/28/2014","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"07/01/2014","29","PM2.5","Redwood NP","06-015-0002","AQS","29"
"07/04/2014","12","PM2.5","Redwood NP","06-015-0002","AQS","12"
"07/07/2014","7","PM2.5","Redwood NP","06-015-0002","AQS","7"
"07/10/2014","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"07/13/2014","7","PM2.5","Redwood NP","06-015-0002","AQS","7"
"07/16/2014","20","PM2.5","Redwood NP","06-015-0002","AQS","20"
"07/19/2014","2","PM2.5","Redwood NP","06-015-0002","AQS","2"
"07/22/2014","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"07/25/2014","36","PM2.5","Redwood NP","06-015-0002","AQS","36"
"07/28/2014","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"07/31/2014","12","PM2.5","Redwood NP","06-015-0002","AQS","12"
"08/03/2014","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"08/06/2014","3","PM2.5","Redwood NP","06-015-0002","AQS","3"
"08/09/2014","25","PM2.5","Redwood NP","06-015-0002","AQS","25"
"08/12/2014","6","PM2.5","Redwood NP","06-015-0002","AQS","6"
"08/15/2014","7","PM2.5","Redwood NP","06-015-0002","AQS","7"
"08/18/2014","3","PM2.5","Redwood NP","06-015-0002","AQS","3"
"08/21/2014","22","PM2.5","Redwood NP","06-015-0002","AQS","22"
"08/24/2014","28","PM2.5","Redwood NP","06-015-0002","AQS","28"
"08/27/2014","6","PM2.5","Redwood NP","06-015-0002","AQS","6"
"08/30/2014","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"09/02/2014","40","PM2.5","Redwood NP","06-015-0002","AQS","40"
"09/05/2014","52","PM2.5","Redwood NP","06-015-0002","AQS","52"
"09/08/2014","9","PM2.5","Redwood NP","06-015-0002","AQS","9"
"09/11/2014","55","PM2.5","Redwood NP","06-015-0002","AQS","55"
"09/14/2014","11","PM2.5","Redwood NP","06-015-0002","AQS","11"
"09/17/2014","16","PM2.5","Redwood NP","06-015-0002","AQS","16"
"09/20/2014","12","PM2.5","Redwood NP","06-015-0002","AQS","12"
"09/23/2014","13","PM2.5","Redwood NP","06-015-0002","AQS","13"
"09/26/2014","12","PM2.5","Redwood NP","06-015-0002","AQS","12"
"09/29/2014","12","PM2.5","Redwood NP","06-015-0002","AQS","12"
"10/02/2014","16","PM2.5","Redwood NP","06-015-0002","AQS","16"
"10/05/2014","26","PM2.5","Redwood NP","06-015-0002","AQS","26"
"10/08/2014","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"10/11/2014","11","PM2.5","Redwood NP","06-015-0002","AQS","11"
"10/14/2014","14","PM2.5","Redwood NP","06-015-0002","AQS","14"
"10/17/2014","14","PM2.5","Redwood NP","06-015-0002","AQS","14"
"10/20/2014","18","PM2.5","Redwood NP","06-015-0002","AQS","18"
"10/23/2014","6","PM2.5","Redwood NP","06-015-0002","AQS","6"
"10/26/2014","15","PM2.5","Redwood NP","06-015-0002","AQS","15"
"10/29/2014","9","PM2.5","Redwood NP","06-015-0002","AQS","9"
"11/04/2014","15","PM2.5","Redwood NP","06-015-0002","AQS","15"
"11/07/2014","14","PM2.5","Redwood NP","06-015-0002","AQS","14"
"11/10/2014","18","PM2.5","Redwood NP","06-015-0002","AQS","18"
"11/13/2014","11","PM2.5","Redwood NP","06-015-0002","AQS","11"
"11/16/2014","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"11/19/2014","9","PM2.5","Redwood NP","06-015-0002","AQS","9"
"11/22/2014","14","PM2.5","Redwood NP","06-015-0002","AQS","14"
"11/28/2014","13","PM2.5","Redwood NP","06-015-0002","AQS","13"
"12/01/2014","3","PM2.5","Redwood NP","06-015-0002","AQS","3"
"12/04/2014","9","PM2.5","Redwood NP","06-015-0002","AQS","9"
"12/07/2014","6","PM2.5","Redwood NP","06-015-0002","AQS","6"
"12/10/2014","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"12/13/2014","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"12/16/2014","2","PM2.5","Redwood NP","06-015-0002","AQS","2"
"12/19/2014","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"12/22/2014","2","PM2.5","Redwood NP","06-015-0002","AQS","2"
"12/31/2014","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
