"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2014","28","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","28","23","16"
"01/02/2014","30","PM10","Bishop Tribe EMO","06-027-1023","AQS","27","30","16"
"01/03/2014","30","PM10","Bishop Tribe EMO","06-027-1023","AQS","27","30","14"
"01/04/2014","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","38","30","26"
"01/05/2014","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","38","25","8"
"01/06/2014","35","PM10","Bishop Tribe EMO","06-027-1023","AQS","34","35","15"
"01/07/2014","37","PM10","Bishop Tribe EMO","06-027-1023","AQS","30","37","15"
"01/08/2014","40","PM10","Bishop Tribe EMO","06-027-1023","AQS","29","40","19"
"01/09/2014","27","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","27","19","17"
"01/10/2014","28","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","28","12","13"
"01/11/2014","59","PM10","Olancha","06-027-0021","AQS","27","59","11"
"01/12/2014","52","PM10","Lizard Tail","06-027-0028","AQS","38","52","11"
"01/13/2014","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","12","10"
"01/14/2014","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","42","20","15"
"01/15/2014","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","23","14"
"01/16/2014","43","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","43","20","19"
"01/17/2014","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","39","19","15"
"01/18/2014","34","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","34","23","13"
"01/19/2014","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","31","25","14"
"01/20/2014","30","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","30","20","16"
"01/21/2014","29","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","29","27","20"
"01/22/2014","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","31","22","17"
"01/23/2014","36","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","36","25","10"
"01/24/2014","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","39","20","15"
"01/25/2014","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","37","16","13"
"01/26/2014","35","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","35","13","15"
"01/27/2014","34","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","34","19","12"
"01/28/2014","32","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","32","29","13"
"01/29/2014","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","31","21","18"
"01/30/2014","97","PM10","Coso Junction","06-027-1001","AQS","38","97","51"
"01/31/2014","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","9","15"
"02/01/2014","36","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","36","13","21"
"02/02/2014","33","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","33","16","16"
"02/03/2014","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","19","15"
"02/04/2014","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","38","19","17"
"02/05/2014","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","38","28","23"
"02/06/2014","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","31","39"
"02/07/2014","93","PM10","Coso Junction","06-027-1001","AQS","36","93","22"
"02/08/2014","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","39","36","12"
"02/09/2014","36","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","36","22","7"
"02/10/2014","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","34","15"
"02/11/2014","40","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","40","21","8"
"02/12/2014","35","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","35","23","13"
"02/13/2014","34","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","34","16","12"
"02/14/2014","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","31","19","10"
"02/15/2014","29","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","29","18","5"
"02/16/2014","180","PM10","Coso Junction","06-027-1001","AQS","33","180","16"
"02/17/2014","35","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","35","11","16"
"02/18/2014","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","38","20","10"
"02/19/2014","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","29","28"
"02/20/2014","40","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","40","19","16"
"02/21/2014","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","37","18","18"
"02/22/2014","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","38","19","14"
"02/23/2014","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","39","15","19"
"02/24/2014","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","50","18","19"
"02/25/2014","49","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","49","22","21"
"02/26/2014","113","PM10","Bill Stanley","06-027-0026","AQS","42","113","21"
"02/27/2014","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","44","7","10"
"02/28/2014","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","42","7","11"
"03/01/2014","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","44","6","9"
"03/02/2014","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","11","12"
"03/03/2014","40","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","40","14","18"
"03/04/2014","43","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","43","12","22"
"03/05/2014","40","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","40","13","19"
"03/06/2014","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","44","39","42"
"03/07/2014","61","PM10","Keeler","06-027-1003","AQS","41","61","58"
"03/08/2014","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","42","5","9"
