"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"01/01/2014","109","PM2.5","Oakland West","06-001-0011","AQS","30","26","10","109","51"
"01/02/2014","80","PM2.5","Oakland West","06-001-0011","AQS","24","33","7","80","51"
"01/03/2014","80","PM2.5","Oakland West","06-001-0011","AQS","22","21","6","80","50"
"01/04/2014","67","PM2.5","Oakland West","06-001-0011","AQS","25","25","3","67","42"
"01/05/2014","56","PM2.5","Livermore","06-001-0007","AQS","28","31","1","56","43"
"01/06/2014","92","PM2.5","Livermore","06-001-0007","AQS","19","23",".","92","57"
"01/07/2014","95","PM2.5","Livermore","06-001-0007","AQS","15","17","6","95","50"
"01/08/2014","38","NO2","Oakland West","06-001-0011","AQS","11","23","3","34","38"
"01/09/2014","36","PM2.5","Oakland West","06-001-0011","AQS","7","26","0","36","32"
"01/10/2014","52","PM2.5","Livermore","06-001-0007","AQS","8","23","4","52","37"
"01/11/2014","60","PM2.5","Livermore","06-001-0007","AQS","11","20","0","60","34"
"01/12/2014","46","PM2.5","Livermore","06-001-0007","AQS","9","26","1","46","31"
"01/13/2014","34","PM2.5","Oakland West","06-001-0011","AQS","13","30","1","34","33"
"01/14/2014","56","PM2.5","Oakland West","06-001-0011","AQS","11","32","16","56","41"
"01/15/2014","57","PM2.5","Oakland West","06-001-0011","AQS","11","33","14","57","48"
"01/16/2014","72","PM2.5","Oakland West","06-001-0011","AQS","14","32","1","72","48"
"01/17/2014","100","PM2.5","Oakland West","06-001-0011","AQS","19","37","4","100","54"
"01/18/2014","75","PM2.5","Oakland West","06-001-0011","AQS","24","31","1","75","46"
"01/19/2014","83","PM2.5","Oakland West","06-001-0011","AQS","24","39","1","83","49"
"01/20/2014","79","PM2.5","Oakland West","06-001-0011","AQS","24","28","4","79","52"
"01/21/2014","65","PM2.5","Oakland West","06-001-0011","AQS","28","26","3","65","56"
"01/22/2014","62","PM2.5","Oakland West","06-001-0011","AQS","11","21","11","62","50"
"01/23/2014","103","PM2.5","Livermore","06-001-0007","AQS","10","39","0","103","54"
"01/24/2014","119","PM2.5","Livermore","06-001-0007","AQS","15","23","1","119","51"
"01/25/2014","79","PM2.5","Oakland West","06-001-0011","AQS","17","31","3","79","50"
"01/26/2014","63","PM2.5","Oakland West","06-001-0011","AQS","22","29","3","63","40"
"01/27/2014","59","PM2.5","Livermore","06-001-0007","AQS","7","20","0","59","33"
"01/28/2014","38","PM2.5","Oakland","06-001-0009","AQS","7","13","4","38","26"
"01/29/2014","31","NO2","Oakland West","06-001-0011","AQS","6","19","0","25","31"
"01/30/2014","32","Ozone","Livermore","06-001-0007","AQS","5","32","0","29","27"
"01/31/2014","27","Ozone","Livermore","06-001-0007","AQS","6","27","0","25","26"
"02/01/2014","48","NO2","Laney College","06-001-0012","AQS","6","30","0","23","48"
"02/02/2014","29","Ozone","Livermore","06-001-0007","AQS","7","29","0","23","26"
"02/03/2014","33","NO2","Laney College","06-001-0012","AQS","7","27","0","31","33"
"02/04/2014","36","NO2","Laney College","06-001-0012","AQS","8","21","0","30","36"
"02/05/2014","31","Ozone","Oakland","06-001-0009","AQS","10","31","3","25","30"
"02/06/2014","35","PM2.5","Oakland West","06-001-0011","AQS","7","25","0","35","30"
"02/07/2014","34","PM2.5","Laney College","06-001-0012","AQS","8","34","0","34","33"
"02/08/2014","28","Ozone","Livermore","06-001-0007","AQS","6","28","0","9","10"
"02/09/2014","28","Ozone","Oakland West","06-001-0011","AQS","6","28","0","15","11"
"02/10/2014","31","NO2","Laney College","06-001-0012","AQS","8","21","0","28","31"
"02/11/2014","38","PM2.5","Laney College","06-001-0012","AQS","8","20","3","38","31"
"02/12/2014","50","PM2.5","Laney College","06-001-0012","AQS","8","21","3","50","33"
