"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2014","56","PM2.5","RED BLUFF-310 S. MAIN STREET","06-103-0006","AQS","25",".","56"
"01/02/2014","28","PM2.5","RED BLUFF-310 S. MAIN STREET","06-103-0006","AQS","19",".","28"
"01/03/2014","30","PM2.5","RED BLUFF-310 S. MAIN STREET","06-103-0006","AQS","21",".","30"
"01/04/2014","38","Ozone","Red Bluff-Oak Street","06-103-0005","AQS","38",".","8"
"01/05/2014","37","Ozone","Red Bluff-Oak Street","06-103-0005","AQS","37","13","5"
"01/06/2014","22","PM2.5","RED BLUFF-310 S. MAIN STREET","06-103-0006","AQS","17",".","22"
"01/07/2014","42","PM2.5","RED BLUFF-310 S. MAIN STREET","06-103-0006","AQS","25",".","42"
"01/08/2014","59","PM2.5","RED BLUFF-310 S. MAIN STREET","06-103-0006","AQS","25",".","59"
"01/09/2014","87","PM2.5","RED BLUFF-310 S. MAIN STREET","06-103-0006","AQS","22",".","87"
"01/10/2014","48","PM2.5","RED BLUFF-310 S. MAIN STREET","06-103-0006","AQS","21",".","48"
"01/11/2014","63","PM2.5","RED BLUFF-310 S. MAIN STREET","06-103-0006","AQS","22","25","63"
"01/12/2014","31","Ozone","Red Bluff-Oak Street","06-103-0005","AQS","31",".","9"
"01/13/2014","32","Ozone","Red Bluff-Oak Street","06-103-0005","AQS","32",".","3"
"01/14/2014","36","Ozone","Red Bluff-Oak Street","06-103-0005","AQS","36",".","7"
"01/15/2014","38","Ozone","Red Bluff-Oak Street","06-103-0005","AQS","38",".","4"
"01/16/2014","36","Ozone","Red Bluff-Oak Street","06-103-0005","AQS","36",".","4"
"01/17/2014","31","Ozone","Red Bluff-Oak Street","06-103-0005","AQS","31",".","22"
"01/18/2014","30","Ozone","Red Bluff-Oak Street","06-103-0005","AQS","30",".","17"
"01/19/2014","27","Ozone","Red Bluff-Oak Street","06-103-0005","AQS","27",".","18"
