"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2014","166","PM2.5","Bakersfield-California","06-029-0014","AQS","2","54","87","166","43"
"01/02/2014","162","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","9","71","86","162","62"
"01/03/2014","163","PM2.5","Bakersfield-California","06-029-0014","AQS","10","77","94","163","61"
"01/04/2014","160","PM2.5","Bakersfield-California","06-029-0014","AQS","10","93","84","160","47"
"01/05/2014","161","PM2.5","Bakersfield-California","06-029-0014","AQS","8","90","80","161","40"
"01/06/2014","164","PM2.5","Bakersfield-California","06-029-0014","AQS","10","64","94","164","42"
"01/07/2014","159","PM2.5","Bakersfield-California","06-029-0014","AQS","13","46","93","159","52"
"01/08/2014","154","PM2.5","Bakersfield-California","06-029-0014","AQS","13","47","83","154","51"
"01/09/2014","125","PM2.5","Bakersfield-California","06-029-0014","AQS","9","44","69","125","33"
"01/10/2014","80","PM2.5","Bakersfield-California","06-029-0014","AQS","7","40","54","80","34"
"01/11/2014","83","PM2.5","Bakersfield-California","06-029-0014","AQS","8","41","49","83","42"
"01/12/2014","84","PM2.5","Bakersfield-California","06-029-0014","AQS","7","41","47","84","29"
"01/13/2014","79","PM2.5","Bakersfield-California","06-029-0014","AQS","6","42","56","79","28"
"01/14/2014","103","PM2.5","Bakersfield-California","06-029-0014","AQS","8","45","67","103","38"
"01/15/2014","139","PM2.5","Bakersfield-California","06-029-0014","AQS","11","45","81","139","45"
"01/16/2014","148","PM2.5","Bakersfield-California","06-029-0014","AQS","11","54","84","148","49"
"01/17/2014","156","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","9","64","97","156","55"
"01/18/2014","153","PM2.5","Bakersfield-California","06-029-0014","AQS","14","61","82","153","45"
"01/19/2014","157","PM2.5","Bakersfield-California","06-029-0014","AQS","9","58","84","157","41"
"01/20/2014","155","PM2.5","Bakersfield-California","06-029-0014","AQS","10","80","84","155","43"
"01/21/2014","164","PM2.5","Bakersfield-California","06-029-0014","AQS","10","47","102","164","50"
"01/22/2014","160","PM2.5","Bakersfield-California","06-029-0014","AQS","11","71","88","160","54"
"01/23/2014","190","PM10","Oildale","06-029-0232","AQS","6","43","190","136","38"
"01/24/2014","73","PM10","Bakersfield-California","06-029-0014","AQS","1","45","73","35","27"
"01/25/2014","75","PM2.5","Bakersfield-California","06-029-0014","AQS","5","64","62","75","39"
"01/26/2014","93","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","6","48","61","93","41"
"01/27/2014","109","PM2.5","Bakersfield-California","06-029-0014","AQS","7","67","71","109","55"
"01/28/2014","119","PM2.5","Bakersfield-California","06-029-0014","AQS","8","74","72","119","42"
"01/29/2014","114","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","7","84","79","114","36"
"01/30/2014","75","PM2.5","Bakersfield-California","06-029-0014","AQS","7","41","52","75","42"
"01/31/2014","50","PM2.5","Bakersfield-California","06-029-0014","AQS","6","43","19","50","38"
"02/01/2014","63","PM2.5","Bakersfield-California","06-029-0014","AQS","7","43","29","63","30"
"02/02/2014","47","PM2.5","Bakersfield-California","06-029-0014","AQS","6","43","22","47","24"
"02/03/2014","51","PM2.5","Bakersfield-California","06-029-0014","AQS","5","42","28","51","25"
"02/04/2014","58","PM2.5","Bakersfield-California","06-029-0014","AQS","5","44","25","58","31"
"02/05/2014","77","PM2.5","Bakersfield-California","06-029-0014","AQS","7","44","43","77","36"
"02/06/2014","64","PM2.5","Bakersfield-California","06-029-0014","AQS","6","43","31","64","26"
"02/07/2014","52","PM2.5","Bakersfield-California","06-029-0014","AQS","3","37","22","52","25"
"02/08/2014","46","Ozone","Edison","06-029-0007","AQS","6","46","19","41","28"
"02/09/2014","42","Ozone","Edison","06-029-0007","AQS","7","42","16","35","19"
"02/10/2014","52","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","5","43","16","52","21"
"02/11/2014","43","PM2.5","Bakersfield-California","06-029-0014","AQS","3","41","22","43","29"
"02/12/2014","67","PM2.5","Bakersfield-California","06-029-0014","AQS","5","42","44","67","31"
"02/13/2014","92","PM2.5","Bakersfield-California","06-029-0014","AQS","5","50","57","92","43"
"02/14/2014","85","PM2.5","Bakersfield-California","06-029-0014","AQS","7","50","58","85","43"
"02/15/2014","111","PM2.5","Bakersfield-California","06-029-0014","AQS","8","44","68","111","35"
"02/16/2014","91","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","9","45","48","91","32"
"02/17/2014","56","PM2.5","Bakersfield-California","06-029-0014","AQS","5","50","35","56","32"
"02/18/2014","56","PM2.5","Lebec","06-029-2009","AQS","5","49","33","56","27"
"02/19/2014","66","PM2.5","Mojave","06-029-0011","AQS","5","50","46","66","37"
"02/20/2014","54","Ozone","Edison","06-029-0007","AQS","3","54","33","38","32"
"02/21/2014","60","PM2.5","Bakersfield-California","06-029-0014","AQS","5","51","52","60","36"
"02/22/2014","93","Ozone","Edison","06-029-0007","AQS","5","93","50","75","30"
"02/23/2014","97","Ozone","Edison","06-029-0007","AQS","5","97","43","69","32"
"02/24/2014","100","Ozone","Mojave","06-029-0011","AQS","5","100","57","82","33"
"02/25/2014","90","Ozone","Maricopa","06-029-0008","AQS","6","90","53","70","33"
"02/26/2014","67","PM10","Bakersfield-California","06-029-0014","AQS","3","42","67","52","20"
"02/27/2014","48","Ozone","Mojave","06-029-0011","AQS","3","48","42","21","26"
"02/28/2014","67","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","1","50","55","67","22"
"03/01/2014","48","Ozone","Mojave","06-029-0011","AQS","2","48","11","17","13"
"03/02/2014","43","Ozone","Mojave","06-029-0011","AQS","3","43","10","19","24"
"03/03/2014","43","PM2.5","Bakersfield-California","06-029-0014","AQS","5","43","23","43","38"
"03/04/2014","63","PM2.5","Bakersfield-California","06-029-0014","AQS","5","44","62","63","35"
"03/05/2014","84","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","5","61","46","84","44"
"03/06/2014","79","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","5","44","50","79","26"
"03/07/2014","50","PM2.5","Bakersfield-California","06-029-0014","AQS","5","48","31","50","34"
"03/08/2014","58","PM2.5","Bakersfield-California","06-029-0014","AQS","5","48","40","58","26"
"03/09/2014","58","Ozone","Mojave","06-029-0011","AQS","5","58","33","56","26"
"03/10/2014","86","PM2.5","Mojave","06-029-0011","AQS","5","77","42","86","34"
"03/11/2014","53","PM2.5","Mojave","06-029-0011","AQS","3","50","32","53","36"
"03/12/2014","48","Ozone","Mojave","06-029-0011","AQS","2","48","44","35","33"
"03/13/2014","64","Ozone","Mojave","06-029-0011","AQS","2","64","35","48","39"
"03/14/2014","84","Ozone","Mojave","06-029-0011","AQS","2","84","36","40","43"
"03/15/2014","80","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","5","80","38","62","31"
"03/16/2014","101","Ozone","Mojave","06-029-0011","AQS","5","101","40","58","31"
"03/17/2014","84","Ozone","Mojave","06-029-0011","AQS","5","84","45","69","26"
"03/18/2014","51","Ozone","Mojave","06-029-0011","AQS","3","51","31","35","31"
"03/19/2014","61","Ozone","Mojave","06-029-0011","AQS","3","61","41","38","25"
"03/20/2014","101","Ozone","Mojave","06-029-0011","AQS","5","101","46","46","39"
"03/21/2014","105","Ozone","Mojave","06-029-0011","AQS","5","105","54","52","27"
"03/22/2014","101","Ozone","Mojave","06-029-0011","AQS","3","101","37","45","32"
"03/23/2014","101","Ozone","Mojave","06-029-0011","AQS","3","101","33","52","30"
"03/24/2014","97","Ozone","Mojave","06-029-0011","AQS","5","97","45","60","35"
"03/25/2014","122","Ozone","Mojave","06-029-0011","AQS","3","122","59","63","35"
"03/26/2014","49","Ozone","Mojave","06-029-0011","AQS","2","49","13","20","12"
"03/27/2014","51","Ozone","Mojave","06-029-0011","AQS","3","51","13","22","23"
"03/28/2014","67","Ozone","Mojave","06-029-0011","AQS","3","67","30","43","30"
"03/29/2014","61","PM10","Bakersfield-California","06-029-0014","AQS","3","58","61","53","27"
"03/30/2014","51","Ozone","Mojave","06-029-0011","AQS","3","51","8","43","25"
"03/31/2014","71","Ozone","Mojave","06-029-0011","AQS","3","71","25","36","20"
"04/01/2014","64","Ozone","Mojave","06-029-0011","AQS","2","64","6","23","22"
"04/02/2014","64","Ozone","Mojave","06-029-0011","AQS","3","64","7","20","32"
"04/03/2014","67","Ozone","Mojave","06-029-0011","AQS","3","67","19","46","23"
"04/04/2014","77","Ozone","Mojave","06-029-0011","AQS","3","77","12","32","33"
"04/05/2014","49","Ozone","Mojave","06-029-0011","AQS","3","49","16","47","18"
"04/06/2014","71","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","5","71","21","51","25"
"04/07/2014","84","Ozone","Maricopa","06-029-0008","AQS","3","84","33","56","27"
"04/08/2014","122","Ozone","Mojave","06-029-0011","AQS","2","122","33","63","37"
"04/09/2014","100","Ozone","Bakersfield-Muni","06-029-2012","AQS","6","100","36","52","37"
"04/10/2014","100","Ozone","Mojave","06-029-0011","AQS","5","100","40","56","25"
"04/11/2014","97","Ozone","Maricopa","06-029-0008","AQS","3","97","49","66","29"
"04/12/2014","101","Ozone","Mojave","06-029-0011","AQS","2","101","31","85","26"
"04/13/2014","80","Ozone","Mojave","06-029-0011","AQS","2","80","26","47","20"
"04/14/2014","87","Ozone","Shafter","06-029-6001","AQS","5","87","39","56","26"
"04/15/2014","119","Ozone","Mojave","06-029-0011","AQS","3","119","37","47","48"
"04/16/2014","115","Ozone","Mojave","06-029-0011","AQS","2","115","44","53","31"
"04/17/2014","129","Ozone","Mojave","06-029-0011","AQS","2","129","44","53","25"
"04/18/2014","97","Ozone","Mojave","06-029-0011","AQS","3","97","33","52","18"
"04/19/2014","97","Ozone","Mojave","06-029-0011","AQS","2","97","33","48","15"
"04/20/2014","101","Ozone","Mojave","06-029-0011","AQS","3","101","22","41","19"
"04/21/2014","159","Ozone","Mojave","06-029-0011","AQS","3","159","39","53","28"
"04/22/2014","84","Ozone","Mojave","06-029-0011","AQS","3","84","60","68","19"
"04/23/2014","80","Ozone","Mojave","06-029-0011","AQS","2","80","26","54","36"
"04/24/2014","100","Ozone","Mojave","06-029-0011","AQS","2","100","34","36","34"
"04/25/2014","67","Ozone","Mojave","06-029-0011","AQS","3","67","27","31","21"
"04/26/2014","61","PM2.5","Mojave","06-029-0011","AQS","5","54","6","61","26"
"04/27/2014","71","Ozone","Mojave","06-029-0011","AQS","5","71","10","62","30"
"04/28/2014","87","Ozone","Mojave","06-029-0011","AQS","3","87","26","43","41"
"04/29/2014","108","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","108","36","58","27"
"04/30/2014","97","Ozone","Mojave","06-029-0011","AQS","5","97","52","42","29"
"05/01/2014","143","Ozone","Mojave","06-029-0011","AQS","3","143","30","40","44"
"05/02/2014","136","Ozone","Mojave","06-029-0011","AQS","3","136","49","57","48"
"05/03/2014","126","Ozone","Mojave","06-029-0011","AQS","3","126","29","37","17"
"05/04/2014","105","Ozone","Mojave","06-029-0011","AQS","3","105","31","30","25"
"05/05/2014","64","Ozone","Mojave","06-029-0011","AQS","3","64","54","30","12"
"05/06/2014","49","PM2.5","Mojave","06-029-0011","AQS","2","48","32","49","19"
"05/07/2014","61","Ozone","Mojave","06-029-0011","AQS","2","61","23","30","20"
"05/08/2014","87","Ozone","Mojave","06-029-0011","AQS","3","87","29","40","24"
"05/09/2014","96","PM2.5","Mojave","06-029-0011","AQS","2","87","67","96","19"
"05/10/2014","103","PM2.5","Mojave","06-029-0011","AQS","2","93","54","103","12"
"05/11/2014","64","Ozone","Mojave","06-029-0011","AQS","3","64","45","38","26"
"05/12/2014","71","Ozone","Mojave","06-029-0011","AQS","3","71","30","29","32"
"05/13/2014","74","Ozone","Shafter","06-029-6001","AQS","3","74","35","35","28"
"05/14/2014","93","Ozone","Edison","06-029-0007","AQS","5","93","45","46","30"
"05/15/2014","140","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","140","44","54","40"
"05/16/2014","143","Ozone","Mojave","06-029-0011","AQS","3","143","52","49","26"
"05/17/2014","119","Ozone","Mojave","06-029-0011","AQS","3","119","48","62","20"
"05/18/2014","67","Ozone","Mojave","06-029-0011","AQS","2","67","26","26","22"
"05/19/2014","74","Ozone","Mojave","06-029-0011","AQS","2","74","44","36","20"
"05/20/2014","49","Ozone","Mojave","06-029-0011","AQS","2","49","40","32","13"
"05/21/2014","48","Ozone","Mojave","06-029-0011","AQS","2","48","28","31","21"
"05/22/2014","74","PM2.5","Bakersfield-California","06-029-0014","AQS","2","67","51","74","21"
"05/23/2014","129","Ozone","Mojave","06-029-0011","AQS","3","129","40","51","23"
"05/24/2014","115","Ozone","Mojave","06-029-0011","AQS","3","115","43","43","27"
"05/25/2014","108","Ozone","Mojave","06-029-0011","AQS","3","108","36","51","19"
"05/26/2014","112","Ozone","Mojave","06-029-0011","AQS","3","112","32","67","31"
"05/27/2014","105","Ozone","Mojave","06-029-0011","AQS","3","105","39","64","36"
"05/28/2014","115","Ozone","Mojave","06-029-0011","AQS","3","115","61","63","24"
"05/29/2014","143","Ozone","Mojave","06-029-0011","AQS","2","143","44","52","45"
"05/30/2014","147","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","2","147","40","54","30"
"05/31/2014","147","Ozone","Mojave","06-029-0011","AQS","2","147","42","55","25"
"06/01/2014","151","Ozone","Mojave","06-029-0011","AQS","3","151","38","69","23"
"06/02/2014","109","PM10","Bakersfield-California","06-029-0014","AQS","2","100","109","94","24"
"06/03/2014","108","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","2","108","51","64","18"
"06/04/2014","161","Ozone","Mojave","06-029-0011","AQS","2","161","43","65","42"
"06/05/2014","174","Ozone","Mojave","06-029-0011","AQS","2","174","45","67","30"
"06/06/2014","147","Ozone","Mojave","06-029-0011","AQS","2","147","41","88","23"
"06/07/2014","143","Ozone","Mojave","06-029-0011","AQS","3","143","47","58","24"
"06/08/2014","159","Ozone","Mojave","06-029-0011","AQS","3","159","47","61","33"
"06/09/2014","164","Ozone","Edison","06-029-0007","AQS","3","164","50","57","28"
"06/10/2014","178","PM10","Oildale","06-029-0232","AQS","3","147","178","164","31"
"06/11/2014","161","PM2.5","Bakersfield-California","06-029-0014","AQS","2","122","112","161","25"
"06/12/2014","143","Ozone","Mojave","06-029-0011","AQS","2","143","51","65","18"
"06/13/2014","108","Ozone","Mojave","06-029-0011","AQS","2","108","50","64","20"
"06/14/2014","122","Ozone","Mojave","06-029-0011","AQS","3","122","39","64","25"
"06/15/2014","93","Ozone","Mojave","06-029-0011","AQS","3","93","64","70","24"
"06/16/2014","107","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","2","64","66","107","15"
"06/17/2014","77","Ozone","Mojave","06-029-0011","AQS","1","77","36","51","18"
"06/18/2014","105","Ozone","Mojave","06-029-0011","AQS","2","105","45","55","26"
"06/19/2014","156","Ozone","Mojave","06-029-0011","AQS","3","156","49","59","30"
"06/20/2014","136","Ozone","Mojave","06-029-0011","AQS","3","136","47","88","31"
"06/21/2014","101","Ozone","Mojave","06-029-0011","AQS","3","101","39","54","26"
"06/22/2014","93","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","2","93","32","82","25"
"06/23/2014","119","Ozone","Mojave","06-029-0011","AQS","1","119","37","55","25"
"06/24/2014","101","Ozone","Mojave","06-029-0011","AQS","2","101","47","48","26"
"06/25/2014","83","PM2.5","Mojave","06-029-0011","AQS","2","71","54","83","21"
"06/26/2014","89","PM2.5","Mojave","06-029-0011","AQS","2","43","64","89","10"
"06/27/2014","79","PM2.5","Mojave","06-029-0011","AQS","3","67","45","79","24"
"06/28/2014","101","Ozone","Mojave","06-029-0011","AQS","3","101","29","78","30"
"06/29/2014","129","Ozone","Mojave","06-029-0011","AQS","5","129","29","61","24"
"06/30/2014","159","Ozone","Edison","06-029-0007","AQS","3","159","39","71","32"
"07/01/2014","140","Ozone","Edison","06-029-0007","AQS","5","140","58","66","29"
"07/02/2014","143","Ozone","Mojave","06-029-0011","AQS","3","143","39","51","25"
"07/03/2014","119","Ozone","Edison","06-029-0007","AQS","3","119","36","45","19"
"07/04/2014","84","PM2.5","Bakersfield-California","06-029-0014","AQS","3","84","56","84","18"
"07/05/2014","90","Ozone","Edison","06-029-0007","AQS","2","90","34","58","20"
"07/06/2014","101","Ozone","Mojave","06-029-0011","AQS","3","101","21","50","25"
"07/07/2014","136","Ozone","Mojave","06-029-0011","AQS","3","136","34","64","23"
"07/08/2014","136","Ozone","Mojave","06-029-0011","AQS","3","136","59","59","26"
"07/09/2014","129","Ozone","Mojave","06-029-0011","AQS","5","129","27","76","33"
"07/10/2014","104","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","1","84","35","104","31"
"07/11/2014","71","Ozone","Mojave","06-029-0011","AQS","2","71","29","38","23"
"07/12/2014","119","Ozone","Mojave","06-029-0011","AQS","2","119","25","42","22"
"07/13/2014","136","Ozone","Mojave","06-029-0011","AQS","3","136","25","66","20"
"07/14/2014","101","Ozone","Edison","06-029-0007","AQS","3","101","25","51","23"
"07/15/2014","100","Ozone","Mojave","06-029-0011","AQS","2","100","48","54","23"
"07/16/2014","97","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","2","97","39","73","13"
"07/17/2014","97","Ozone","Mojave","06-029-0011","AQS","2","97","46","55","12"
"07/18/2014","108","Ozone","Mojave","06-029-0011","AQS","2","108","31","51","21"
"07/19/2014","80","Ozone","Bakersfield-Muni","06-029-2012","AQS","1","80","20","55","10"
"07/20/2014","84","Ozone","Mojave","06-029-0011","AQS","2","84","19","54","15"
