"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2014","160","PM2.5","Visalia-Church","06-107-2002","AQS","47",".","160","46"
"01/02/2014","160","PM2.5","Visalia-Church","06-107-2002","AQS","50",".","160","56"
"01/03/2014","167","PM2.5","Visalia-Church","06-107-2002","AQS","50",".","167","52"
"01/04/2014","158","PM2.5","Porterville","06-107-2010","AQS","61",".","158","51"
"01/05/2014","162","PM2.5","Visalia-Church","06-107-2002","AQS","51","73","162","47"
"01/06/2014","148","PM2.5","Visalia-Church","06-107-2002","AQS","43",".","148","42"
"01/07/2014","154","PM2.5","Visalia-Church","06-107-2002","AQS","37",".","154","43"
"01/08/2014","157","PM2.5","Visalia-Church","06-107-2002","AQS","46",".","157","37"
"01/09/2014","145","PM2.5","Visalia-Church","06-107-2002","AQS","43",".","145","32"
"01/10/2014","105","PM2.5","Visalia-Church","06-107-2002","AQS","37",".","105","32"
"01/11/2014","99","PM2.5","Visalia-Church","06-107-2002","AQS","37","44","99","20"
"01/12/2014","76","PM2.5","Visalia-Church","06-107-2002","AQS","30",".","76","14"
"01/13/2014","79","PM2.5","Visalia-Church","06-107-2002","AQS","31",".","79","29"
"01/14/2014","93","PM2.5","Visalia-Church","06-107-2002","AQS","35",".","93","35"
"01/15/2014","110","PM2.5","Porterville","06-107-2010","AQS","39",".","110","40"
"01/16/2014","152","PM2.5","Visalia-Church","06-107-2002","AQS","40",".","152","46"
"01/17/2014","143","PM2.5","Visalia-Church","06-107-2002","AQS","40","70","143","42"
"01/18/2014","153","PM2.5","Visalia-Church","06-107-2002","AQS","47",".","153","49"
"01/19/2014","153","PM2.5","Visalia-Church","06-107-2002","AQS","48",".","153","45"
"01/20/2014","157","PM2.5","Visalia-Church","06-107-2002","AQS","51",".","157","48"
"01/21/2014","156","PM2.5","Visalia-Church","06-107-2002","AQS","45",".","156","40"
"01/22/2014","160","PM2.5","Visalia-Church","06-107-2002","AQS","51",".","160","50"
"01/23/2014","135","PM2.5","Visalia-Church","06-107-2002","AQS","42","72","135","37"
"01/24/2014","97","PM2.5","Visalia-Church","06-107-2002","AQS","39",".","97","34"
"01/25/2014","88","PM2.5","Visalia-Church","06-107-2002","AQS","43",".","88","38"
"01/26/2014","98","PM2.5","Visalia-Church","06-107-2002","AQS","44",".","98","31"
"01/27/2014","100","PM2.5","Visalia-Church","06-107-2002","AQS","51",".","100","42"
"01/28/2014","120","PM2.5","Visalia-Church","06-107-2002","AQS","61",".","120","47"
"01/29/2014","111","PM2.5","Visalia-Church","06-107-2002","AQS","77","67","111","42"
"01/30/2014","103","PM2.5","Visalia-Church","06-107-2002","AQS","45",".","103","29"
"01/31/2014","52","PM2.5","Visalia-Church","06-107-2002","AQS","31",".","52","22"
"02/01/2014","91","PM2.5","Visalia-Church","06-107-2002","AQS","33",".","91","34"
"02/02/2014","45","PM2.5","Visalia-Church","06-107-2002","AQS","33",".","45","21"
"02/03/2014","52","PM2.5","Visalia-Church","06-107-2002","AQS","35",".","52","31"
"02/04/2014","69","PM2.5","Porterville","06-107-2010","AQS","36","26","69","22"
"02/05/2014","84","PM2.5","Visalia-Church","06-107-2002","AQS","35",".","84","32"
"02/06/2014","65","PM2.5","Visalia-Church","06-107-2002","AQS","23",".","65","."
"02/07/2014","55","PM2.5","Porterville","06-107-2010","AQS","30",".","55","18"
"02/08/2014","45","PM2.5","Visalia-Church","06-107-2002","AQS","31",".","45","17"
"02/09/2014","31","PM2.5","Visalia-Church","06-107-2002","AQS","29",".","31","24"
"02/10/2014","41","PM2.5","Visalia-Church","06-107-2002","AQS","27","11","41","12"
"02/11/2014","59","PM2.5","Visalia-Church","06-107-2002","AQS","25",".","59","18"
"02/12/2014","79","PM2.5","Visalia-Church","06-107-2002","AQS","30",".","79","25"
"02/13/2014","119","PM2.5","Visalia-Church","06-107-2002","AQS","38",".","119","40"
"02/14/2014","132","PM2.5","Visalia-Church","06-107-2002","AQS","44",".","132","42"
"02/15/2014","122","PM2.5","Visalia-Church","06-107-2002","AQS","29",".","122","25"
"02/16/2014","81","PM2.5","Sequoia NP-Ash Mountain","06-107-1001","AQS","41","25","81","15"
"02/17/2014","39","Ozone","Sequoia & Kings Canyon NPs - Ash Mountain","06-107-0009","AQS","39",".",".","16"
"02/18/2014","31","Ozone","Sequoia & Kings Canyon NPs - Ash Mountain","06-107-0009","AQS","31",".",".","27"
"02/19/2014","59","PM2.5","Visalia-Church","06-107-2002","AQS","38",".","59","17"
"02/20/2014","50","PM2.5","Porterville","06-107-2010","AQS","35",".","50","25"
"02/21/2014","72","PM2.5","Visalia-Church","06-107-2002","AQS","43",".","72","40"
