"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"10/20/2014","38","Ozone","Carrizo Plains","06-079-8006","AQS","38","0","36","33","13"
"10/21/2014","54","PM2.5","Mesa2","06-079-2004","AQS","42","1","54","54","11"
"10/22/2014","60","PM10","Arroyo Grande CDF","06-079-2007","AQS","44","3","60","55","15"
"10/23/2014","64","Ozone","Red Hills","06-079-8005","AQS","64","1","46","44","27"
"10/24/2014","64","Ozone","Red Hills","06-079-8005","AQS","64","1","30","33","21"
"10/25/2014","35","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","35","0","23","24","11"
"10/26/2014","62","PM10","Arroyo Grande CDF","06-079-2007","AQS","38","1","62","60","12"
"10/27/2014","67","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","1","62","67","14"
"10/28/2014","48","Ozone","Red Hills","06-079-8005","AQS","48","1","44","45","17"
"10/29/2014","84","Ozone","Red Hills","06-079-8005","AQS","84","1","51","50","34"
"10/30/2014","80","Ozone","Red Hills","06-079-8005","AQS","80","1","43","43","27"
"10/31/2014","48","PM10","Mesa2","06-079-2004","AQS","39","0","48","30","13"
"11/01/2014","40","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","40","0","13","23","12"
"11/02/2014","38","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","38","0","13","28","18"
"11/03/2014","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","1","26","45","25"
"11/04/2014","64","PM2.5","Atascadero (original site)","06-079-8001","AQS","43","3","26","64","19"
"11/05/2014","68","PM2.5","Atascadero (original site)","06-079-8001","AQS","54","1","31","68","35"
"11/06/2014","74","Ozone","Red Hills","06-079-8005","AQS","74","1","25","40","39"
"11/07/2014","71","Ozone","Red Hills","06-079-8005","AQS","71","1","31","45","33"
"11/08/2014","87","Ozone","Red Hills","06-079-8005","AQS","87","3","26","54","36"
"11/09/2014","90","Ozone","Red Hills","06-079-8005","AQS","90","3","26","51","25"
"11/10/2014","87","Ozone","Red Hills","06-079-8005","AQS","87","0","23","52","14"
"11/11/2014","46","PM2.5","Mesa2","06-079-2004","AQS","41","0","24","46","16"
"11/12/2014","41","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","41","0","30","40","20"
"11/13/2014","36","PM2.5","Mesa2","06-079-2004","AQS","30","0","15","36","14"
"11/14/2014","46","PM10","Arroyo Grande CDF","06-079-2007","AQS","36","1","46","40","21"
"11/15/2014","53","PM2.5","Mesa2","06-079-2004","AQS","38","1","50","53","12"
"11/16/2014","48","PM2.5","Mesa2","06-079-2004","AQS","40","0","19","48","8"
"11/17/2014","44","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","0","27","44","25"
"11/18/2014","43","Ozone","Red Hills","06-079-8005","AQS","43","1","29","40","31"
"11/19/2014","43","Ozone","Red Hills","06-079-8005","AQS","43","0","19","32","20"
"11/20/2014","34","Ozone","San Luis Obispo","06-079-2006","AQS","34","1","14","29","14"
"11/21/2014","38","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","38","0","19","30","15"
"11/22/2014","37","Ozone","Red Hills","06-079-8005","AQS","37","1","15","30","11"
"11/23/2014","36","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","36","0","18","28","22"
"11/24/2014","38","PM2.5","Atascadero (original site)","06-079-8001","AQS","34","0","18","38","11"
"11/25/2014","55","PM2.5","Atascadero (original site)","06-079-8001","AQS","42","1","39","55","37"
"11/26/2014","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","3","44","53","37"
"11/27/2014","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","1","35","54","28"
"11/28/2014","58","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","3","47","58","28"
"11/29/2014","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","4","38","52","30"
"11/30/2014","38","Ozone","Red Hills","06-079-8005","AQS","38","0","17","36","21"
"12/01/2014","35","Ozone","Red Hills","06-079-8005","AQS","35","0","18","32","20"
"12/02/2014","29","Ozone","Red Hills","06-079-8005","AQS","29","0","8","19","11"
"12/03/2014","33","Ozone","Red Hills","06-079-8005","AQS","33","0","10","28","6"
"12/04/2014","35","PM2.5","Mesa2","06-079-2004","AQS","33","0","16","35","20"
"12/05/2014","31","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","31","0","12","27","12"
"12/06/2014","37","Ozone","Red Hills","06-079-8005","AQS","37","0","15","31","15"
"12/07/2014","35","PM2.5","Mesa2","06-079-2004","AQS","35","0","16","35","11"
"12/08/2014","38","PM2.5","Mesa2","06-079-2004","AQS","37","1","24","38","24"
"12/09/2014","48","PM2.5","Mesa2","06-079-2004","AQS","40","3","33","48","19"
"12/10/2014","38","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","1","24","38","21"
"12/11/2014","47","Ozone","Red Hills","06-079-8005","AQS","47","1","24","30","11"
"12/12/2014","47","Ozone","Red Hills","06-079-8005","AQS","47","1","12","26","19"
"12/13/2014","38","Ozone","Red Hills","06-079-8005","AQS","38","1","14","37","12"
"12/14/2014","56","PM2.5","Atascadero (original site)","06-079-8001","AQS","35","0","22","56","19"
"12/15/2014","34","PM2.5","Atascadero (original site)","06-079-8001","AQS","33","1","16","34","16"
"12/16/2014","39","Ozone","Red Hills","06-079-8005","AQS","39","0","12","28","16"
"12/17/2014","40","Ozone","Red Hills","06-079-8005","AQS","40","0","18","38","21"
"12/18/2014","37","Ozone","Red Hills","06-079-8005","AQS","37","0","15","29","22"
"12/19/2014","44","PM2.5","Mesa2","06-079-2004","AQS","32","1","20","44","17"
"12/20/2014","33","PM2.5","Mesa2","06-079-2004","AQS","32","0","19","33","12"
"12/21/2014","35","PM2.5","Mesa2","06-079-2004","AQS","31","0","19","35","8"
"12/22/2014","28","PM2.5","Mesa2","06-079-2004","AQS","24","0","12","28","3"
"12/23/2014","41","PM2.5","Mesa2","06-079-2004","AQS","25","1","19","41","15"
"12/24/2014","41","PM2.5","Mesa2","06-079-2004","AQS","35","1","33","41","11"
"12/25/2014","33","Ozone","Red Hills","06-079-8005","AQS","33","0","13","29","18"
"12/26/2014","31","Ozone","Red Hills","06-079-8005","AQS","31","0","12","30","13"
"12/27/2014","53","PM2.5","Atascadero (original site)","06-079-8001","AQS","34","1","20","53","23"
"12/28/2014","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","33","1","37","55","21"
"12/29/2014","63","PM2.5","Atascadero (original site)","06-079-8001","AQS","33","1","41","63","21"
"12/30/2014","44","PM2.5","Atascadero (original site)","06-079-8001","AQS","31","1","20","44","15"
"12/31/2014","58","PM2.5","Atascadero (original site)","06-079-8001","AQS","31","0","30","58","24"
