"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2014","45","PM10","Mammoth","06-051-0001","AQS","45","."
"01/02/2014","38","PM10","Mammoth","06-051-0001","AQS","38","4"
"01/03/2014","31","PM10","Mammoth","06-051-0001","AQS","31","."
"01/04/2014","21","PM10","Mammoth","06-051-0001","AQS","21","."
"01/05/2014","30","PM10","Mammoth","06-051-0001","AQS","30","2"
"01/06/2014","15","PM10","Mammoth","06-051-0001","AQS","15","."
"01/07/2014","6","PM10","Mammoth","06-051-0001","AQS","6","."
"01/08/2014","12","PM10","Mammoth","06-051-0001","AQS","12","4"
"01/09/2014","14","PM10","Mammoth","06-051-0001","AQS","14","."
"01/10/2014","29","PM10","Mammoth","06-051-0001","AQS","29","."
"01/11/2014","70","PM10","Mono Shore","06-051-0011","AQS","70","3"
"01/12/2014","12","PM10","Mammoth","06-051-0001","AQS","12","."
"01/13/2014","29","PM10","Mammoth","06-051-0001","AQS","29","."
"01/14/2014","30","PM10","Mammoth","06-051-0001","AQS","30","7"
"01/15/2014","31","PM10","Mammoth","06-051-0001","AQS","31","."
"01/16/2014","31","PM10","Mammoth","06-051-0001","AQS","31","."
"01/17/2014","29","PM10","Mammoth","06-051-0001","AQS","29","6"
"01/18/2014","27","PM10","Mammoth","06-051-0001","AQS","27","."
"01/19/2014","24","PM10","Mammoth","06-051-0001","AQS","24","."
"01/20/2014","21","PM10","Mammoth","06-051-0001","AQS","21","5"
"01/21/2014","31","PM10","Mammoth","06-051-0001","AQS","31","."
"01/22/2014","19","PM10","Mammoth","06-051-0001","AQS","19","."
"01/23/2014","9","PM10","Mammoth","06-051-0001","AQS","9","7"
"01/24/2014","19","PM10","Mammoth","06-051-0001","AQS","19","."
"01/25/2014","27","PM10","Mammoth","06-051-0001","AQS","27","."
"01/26/2014","19","PM10","Mammoth","06-051-0001","AQS","19","3"
"01/27/2014","18","PM10","Mammoth","06-051-0001","AQS","18","."
"01/28/2014","18","PM10","Mammoth","06-051-0001","AQS","18","."
"01/29/2014","86","PM10","Mono Shore","06-051-0011","AQS","86","3"
"01/30/2014","19","PM10","Mono Shore","06-051-0011","AQS","19","."
"01/31/2014","5","PM10","Mammoth","06-051-0001","AQS","5","."
"02/01/2014","29","PM10","Mammoth","06-051-0001","AQS","29","3"
"02/02/2014","22","PM10","Mammoth","06-051-0001","AQS","22","."
"02/03/2014","11","PM10","Mammoth","06-051-0001","AQS","11","."
"02/04/2014","44","PM10","Mammoth","06-051-0001","AQS","44","5"
"02/05/2014","16","PM10","Mammoth","06-051-0001","AQS","16","."
"02/06/2014","6","PM10","Mammoth","06-051-0001","AQS","6","."
"02/07/2014","21","PM10","Lee Vining","06-051-0005","AQS","21","3"
"02/08/2014","4","PM10","Mono Shore","06-051-0011","AQS","4","."
"02/09/2014","4","PM10","Mammoth","06-051-0001","AQS","4","."
"02/10/2014","22","PM10","Mammoth","06-051-0001","AQS","22","2"
"02/11/2014","25","PM10","Mammoth","06-051-0001","AQS","25","."
"02/12/2014","9","PM10","Mammoth","06-051-0001","AQS","9","."
"02/13/2014","7","PM10","Mammoth","06-051-0001","AQS","7","2"
"02/14/2014","6","PM10","Mammoth","06-051-0001","AQS","6","."
