"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"01/01/2010","30","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","30",".","3"
"01/02/2010","34","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","34","25","6"
"01/03/2010","39","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","39",".","6"
"01/04/2010","39","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","39",".","9"
"01/05/2010","52","PM2.5","Truckee-Fire Station","06-057-1001","AQS","38","52","9"
"01/06/2010","22","NO2","Grass Valley-Litton Building","06-057-0005","AQS",".",".","22"
"01/07/2010","21","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","21",".","7"
"01/08/2010","44","PM2.5","Truckee-Fire Station","06-057-1001","AQS","31","44","9"
"01/09/2010","31","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","31",".","7"
"01/10/2010","33","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","33",".","8"
"01/11/2010","45","PM2.5","Truckee-Fire Station","06-057-1001","AQS","29","45","8"
"01/12/2010","32","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","32",".","7"
"01/13/2010","37","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","37",".","8"
"01/14/2010","36","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","36","29","8"
"01/15/2010","35","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","35",".","13"
"01/16/2010","38","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","38",".","5"
"01/17/2010","37","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","37","20","4"
"01/18/2010","38","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","38",".","3"
"01/19/2010","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41",".","2"
"01/20/2010","43","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","43","13","3"
"01/21/2010","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40",".","16"
"01/22/2010","33","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","33",".","9"
