"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/02/2010","17","PM10","Weaverville-Courthouse","06-105-0002","AQS","17","."
"01/05/2010","30","PM10","Weaverville-Courthouse","06-105-0002","AQS","30","."
"01/08/2010","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"01/11/2010","9","PM10","Weaverville-Courthouse","06-105-0002","AQS","9","6"
"01/14/2010","1","PM2.5","Trinity","06-105-9000","AQS",".","1"
"01/15/2010","26","PM10","Weaverville-Courthouse","06-105-0002","AQS","26","."
"01/17/2010","2","PM2.5","Trinity","06-105-9000","AQS",".","2"
"01/20/2010","7","PM10","Weaverville-Courthouse","06-105-0002","AQS","7","0"
"01/23/2010","14","PM10","Weaverville-Courthouse","06-105-0002","AQS","14","0"
"01/26/2010","21","PM10","Weaverville-Courthouse","06-105-0002","AQS","21","0"
"01/29/2010","18","PM10","Weaverville-Courthouse","06-105-0002","AQS","18","9"
"02/01/2010","0","PM2.5","Trinity","06-105-9000","AQS",".","0"
"02/04/2010","8","PM10","Weaverville-Courthouse","06-105-0002","AQS","8","2"
"02/07/2010","0","PM2.5","Trinity","06-105-9000","AQS",".","0"
"02/09/2010","15","PM10","Weaverville-Courthouse","06-105-0002","AQS","15","."
"02/10/2010","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"02/13/2010","24","PM10","Weaverville-Courthouse","06-105-0002","AQS","24","8"
"02/16/2010","4","PM2.5","Trinity","06-105-9000","AQS",".","4"
"02/19/2010","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
"02/22/2010","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"02/25/2010","9","PM10","Weaverville-Courthouse","06-105-0002","AQS","9","1"
"02/28/2010","2","PM2.5","Trinity","06-105-9000","AQS",".","2"
"03/03/2010","9","PM10","Weaverville-Courthouse","06-105-0002","AQS","9","3"
"03/06/2010","6","PM2.5","Trinity","06-105-9000","AQS",".","6"
"03/09/2010","11","PM10","Weaverville-Courthouse","06-105-0002","AQS","11","6"
"03/12/2010","6","PM2.5","Trinity","06-105-9000","AQS",".","6"
"03/15/2010","21","PM10","Weaverville-Courthouse","06-105-0002","AQS","21","5"
"03/18/2010","9","PM2.5","Trinity","06-105-9000","AQS",".","9"
"03/21/2010","15","PM2.5","Trinity","06-105-9000","AQS","13","15"
"03/24/2010","21","PM2.5","Trinity","06-105-9000","AQS",".","21"
"03/27/2010","16","PM10","Weaverville-Courthouse","06-105-0002","AQS","16","."
"03/30/2010","3","PM10","Weaverville-Courthouse","06-105-0002","AQS","3","."
"04/02/2010","4","PM2.5","Trinity","06-105-9000","AQS",".","4"
"04/05/2010","4","PM2.5","Trinity","06-105-9000","AQS",".","4"
"04/08/2010","7","PM2.5","Trinity","06-105-9000","AQS",".","7"
"04/11/2010","9","PM2.5","Trinity","06-105-9000","AQS",".","9"
"04/14/2010","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"04/17/2010","15","PM2.5","Trinity","06-105-9000","AQS",".","15"
"04/20/2010","5","PM10","Weaverville-Courthouse","06-105-0002","AQS","5","2"
"04/23/2010","13","PM2.5","Trinity","06-105-9000","AQS",".","13"
"04/26/2010","23","PM2.5","Trinity","06-105-9000","AQS","14","23"
"04/29/2010","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"05/02/2010","8","PM2.5","Trinity","06-105-9000","AQS","7","8"
"05/05/2010","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"05/08/2010","6","PM2.5","Trinity","06-105-9000","AQS","6","6"
"05/11/2010","4","PM2.5","Trinity","06-105-9000","AQS",".","4"
"05/14/2010","13","PM2.5","Trinity","06-105-9000","AQS","10","13"
"05/17/2010","11","PM2.5","Trinity","06-105-9000","AQS",".","11"
"05/20/2010","8","PM2.5","Trinity","06-105-9000","AQS","6","8"
"05/23/2010","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"05/26/2010","5","PM10","Weaverville-Courthouse","06-105-0002","AQS","5","."
"06/01/2010","4","PM10","Weaverville-Courthouse","06-105-0002","AQS","4","."
"06/04/2010","2","PM2.5","Trinity","06-105-9000","AQS",".","2"
"06/07/2010","7","PM2.5","Trinity","06-105-9000","AQS",".","7"
"06/10/2010","4","PM2.5","Trinity","06-105-9000","AQS",".","4"
"06/13/2010","10","PM2.5","Trinity","06-105-9000","AQS","6","10"
"06/16/2010","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
"06/19/2010","8","PM2.5","Trinity","06-105-9000","AQS","5","8"
"06/22/2010","12","PM2.5","Trinity","06-105-9000","AQS",".","12"
"06/25/2010","19","PM2.5","Trinity","06-105-9000","AQS","11","19"
"06/28/2010","7","PM2.5","Trinity","06-105-9000","AQS",".","7"
"07/01/2010","7","PM2.5","Trinity","06-105-9000","AQS","7","7"
"07/04/2010","5","PM2.5","Trinity","06-105-9000","AQS",".","5"
"07/07/2010","16","PM2.5","Trinity","06-105-9000","AQS","12","16"
"07/10/2010","22","PM2.5","Trinity","06-105-9000","AQS",".","22"
"07/13/2010","17","PM2.5","Trinity","06-105-9000","AQS","11","17"
"07/16/2010","18","PM2.5","Trinity","06-105-9000","AQS",".","18"
"07/19/2010","11","PM2.5","Trinity","06-105-9000","AQS","9","11"
"07/22/2010","20","PM2.5","Trinity","06-105-9000","AQS",".","20"
"07/25/2010","23","PM2.5","Trinity","06-105-9000","AQS","12","23"
"07/28/2010","20","PM2.5","Trinity","06-105-9000","AQS",".","20"
"07/31/2010","14","PM2.5","Trinity","06-105-9000","AQS","8","14"
"08/03/2010","16","PM2.5","Trinity","06-105-9000","AQS",".","16"
"08/06/2010","26","PM2.5","Trinity","06-105-9000","AQS","14","26"
"08/09/2010","14","PM2.5","Trinity","06-105-9000","AQS",".","14"
"08/12/2010","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
"08/15/2010","17","PM2.5","Trinity","06-105-9000","AQS",".","17"
"08/18/2010","11","PM10","Weaverville-Courthouse","06-105-0002","AQS","11","."
"08/26/2010","14","PM10","Weaverville-Courthouse","06-105-0002","AQS","14","."
"08/30/2010","14","PM2.5","Trinity","06-105-9000","AQS","4","14"
"09/02/2010","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"09/05/2010","7","PM2.5","Trinity","06-105-9000","AQS",".","7"
"09/08/2010","2","PM2.5","Trinity","06-105-9000","AQS",".","2"
"09/11/2010","8","PM2.5","Trinity","06-105-9000","AQS","6","8"
"09/14/2010","18","PM2.5","Trinity","06-105-9000","AQS",".","18"
"09/17/2010","8","PM2.5","Trinity","06-105-9000","AQS","5","8"
"09/20/2010","4","PM2.5","Trinity","06-105-9000","AQS",".","4"
"09/23/2010","8","PM2.5","Trinity","06-105-9000","AQS","6","8"
"09/26/2010","9","PM2.5","Trinity","06-105-9000","AQS",".","9"
"09/29/2010","14","PM2.5","Trinity","06-105-9000","AQS","12","14"
"10/02/2010","20","PM2.5","Trinity","06-105-9000","AQS",".","20"
"10/05/2010","8","PM2.5","Trinity","06-105-9000","AQS","7","8"
"10/08/2010","17","PM2.5","Trinity","06-105-9000","AQS",".","17"
"10/11/2010","13","PM2.5","Trinity","06-105-9000","AQS","9","13"
"10/14/2010","13","PM2.5","Trinity","06-105-9000","AQS",".","13"
"10/17/2010","12","PM2.5","Trinity","06-105-9000","AQS","10","12"
"10/20/2010","35","PM2.5","Trinity","06-105-9000","AQS",".","35"
"10/23/2010","5","PM10","Weaverville-Courthouse","06-105-0002","AQS","5","1"
"10/26/2010","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
"10/29/2010","9","PM10","Weaverville-Courthouse","06-105-0002","AQS","9","6"
"11/01/2010","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"11/04/2010","7","PM2.5","Trinity","06-105-9000","AQS",".","7"
"11/05/2010","33","PM10","Weaverville-Courthouse","06-105-0002","AQS","33","."
"11/07/2010","7","PM2.5","Trinity","06-105-9000","AQS",".","7"
"11/10/2010","18","PM10","Weaverville-Courthouse","06-105-0002","AQS","18","4"
"11/13/2010","21","PM10","Weaverville-Courthouse","06-105-0002","AQS","21","11"
"11/16/2010","19","PM10","Weaverville-Courthouse","06-105-0002","AQS","19","9"
"11/19/2010","15","PM2.5","Trinity","06-105-9000","AQS",".","15"
"11/22/2010","10","PM10","Weaverville-Courthouse","06-105-0002","AQS","10","1"
"11/25/2010","4","PM2.5","Trinity","06-105-9000","AQS",".","4"
"11/28/2010","15","PM10","Weaverville-Courthouse","06-105-0002","AQS","15","4"
"12/01/2010","2","PM2.5","Trinity","06-105-9000","AQS",".","2"
"12/04/2010","12","PM10","Weaverville-Courthouse","06-105-0002","AQS","12","8"
"12/07/2010","6","PM2.5","Trinity","06-105-9000","AQS",".","6"
"12/10/2010","11","PM10","Weaverville-Courthouse","06-105-0002","AQS","11","1"
"12/13/2010","2","PM2.5","Trinity","06-105-9000","AQS",".","2"
"12/16/2010","25","PM10","Weaverville-Courthouse","06-105-0002","AQS","25","4"
"12/19/2010","0","PM2.5","Trinity","06-105-9000","AQS",".","0"
"12/22/2010","16","PM10","Weaverville-Courthouse","06-105-0002","AQS","16","1"
"12/25/2010","8","PM10","Weaverville-Courthouse","06-105-0002","AQS","8","5"
"12/28/2010","0","PM2.5","Trinity","06-105-9000","AQS",".","0"
"12/31/2010","14","PM10","Weaverville-Courthouse","06-105-0002","AQS","14","3"
