"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2010","20","PM10","Mammoth","06-051-0001","AQS","20","."
"01/02/2010","74","PM10","Mammoth","06-051-0001","AQS","74","1"
"01/03/2010","63","PM10","Mammoth","06-051-0001","AQS","63","."
"01/04/2010","67","PM10","Mammoth","06-051-0001","AQS","67","."
"01/05/2010","51","PM10","Mammoth","06-051-0001","AQS","51","."
"01/06/2010","41","PM10","Mammoth","06-051-0001","AQS","41","."
"01/07/2010","42","PM10","Mammoth","06-051-0001","AQS","42","."
"01/08/2010","27","PM10","Mammoth","06-051-0001","AQS","27","."
"01/09/2010","24","PM10","Mammoth","06-051-0001","AQS","24","."
"01/10/2010","27","PM10","Mammoth","06-051-0001","AQS","27","."
"01/11/2010","49","PM10","Mammoth","06-051-0001","AQS","49","."
"01/12/2010","8","PM10","Mammoth","06-051-0001","AQS","8","."
"01/13/2010","12","PM10","Mammoth","06-051-0001","AQS","12","."
"01/14/2010","28","PM10","Mammoth","06-051-0001","AQS","28","."
"01/15/2010","58","PM10","Mammoth","06-051-0001","AQS","58","."
"01/16/2010","38","PM10","Mammoth","06-051-0001","AQS","38","."
"01/17/2010","13","PM10","Mammoth","06-051-0001","AQS","13","2"
"01/18/2010","11","PM10","Mammoth","06-051-0001","AQS","11","."
"01/19/2010","6","PM10","Mammoth","06-051-0001","AQS","6","."
"01/20/2010","14","PM10","Mammoth","06-051-0001","AQS","14","."
"01/21/2010","14","PM10","Mammoth","06-051-0001","AQS","14","."
"01/22/2010","8","PM10","Mammoth","06-051-0001","AQS","8","."
"01/23/2010","14","PM10","Mammoth","06-051-0001","AQS","14","."
"01/24/2010","20","PM10","Mammoth","06-051-0001","AQS","20","."
"01/25/2010","11","PM10","Mammoth","06-051-0001","AQS","11","."
"01/26/2010","19","PM10","Mammoth","06-051-0001","AQS","19","."
"01/27/2010","44","PM10","Mammoth","06-051-0001","AQS","44","."
"01/28/2010","73","PM10","Mammoth","06-051-0001","AQS","73","."
"01/29/2010","75","PM10","Mammoth","06-051-0001","AQS","75","3"
"01/30/2010","20","PM10","Mammoth","06-051-0001","AQS","20","."
"01/31/2010","67","PM10","Mammoth","06-051-0001","AQS","67","."
"02/01/2010","55","PM10","Mammoth","06-051-0001","AQS","55","3"
"02/02/2010","53","PM10","Mammoth","06-051-0001","AQS","53","."
"02/03/2010","45","PM10","Mammoth","06-051-0001","AQS","45","."
"02/04/2010","33","PM10","Lee Vining","06-051-0005","AQS","33","4"
"02/05/2010","6","PM10","Mammoth","06-051-0001","AQS","6","."
"02/06/2010","6","PM10","Mammoth","06-051-0001","AQS","6","."
"02/07/2010","5","PM10","Mammoth","06-051-0001","AQS","5","3"
"02/08/2010","29","PM10","Mammoth","06-051-0001","AQS","29","."
"02/09/2010","31","PM10","Mammoth","06-051-0001","AQS","31","."
"02/10/2010","28","PM10","Mammoth","06-051-0001","AQS","28","3"
"02/11/2010","25","PM10","Mammoth","06-051-0001","AQS","25","."
"02/12/2010","34","PM10","Mammoth","06-051-0001","AQS","34","."
"02/13/2010","69","PM10","Mammoth","06-051-0001","AQS","69","10"
"02/14/2010","51","PM10","Mammoth","06-051-0001","AQS","51","."
"02/15/2010","54","PM10","Mammoth","06-051-0001","AQS","54","."
"02/16/2010","63","PM10","Mammoth","06-051-0001","AQS","63","11"
"02/17/2010","28","PM10","Mammoth","06-051-0001","AQS","28","."
"02/18/2010","19","PM10","Mammoth","06-051-0001","AQS","19","."
"02/19/2010","22","PM10","Mammoth","06-051-0001","AQS","22","9"
"02/20/2010","16","PM10","Mammoth","06-051-0001","AQS","16","."
"02/21/2010","13","PM10","Mammoth","06-051-0001","AQS","13","."
"02/22/2010","24","PM10","Mammoth","06-051-0001","AQS","24","8"
"02/23/2010","29","PM10","Mammoth","06-051-0001","AQS","29","."
"02/24/2010","6","PM10","Mammoth","06-051-0001","AQS","6","."
"02/25/2010","28","PM10","Mammoth","06-051-0001","AQS","28","5"
"02/26/2010","30","PM10","Mammoth","06-051-0001","AQS","30","."
"02/27/2010","9","PM10","Mammoth","06-051-0001","AQS","9","."
"02/28/2010","21","PM10","Mammoth","06-051-0001","AQS","21","2"
"03/01/2010","54","PM10","Mammoth","06-051-0001","AQS","54","."
"03/02/2010","15","PM10","Mammoth","06-051-0001","AQS","15","."
"03/03/2010","17","PM10","Lee Vining","06-051-0005","AQS","17","4"
