"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2010","91","PM2.5","Concord","06-013-0002","AQS",".","18","7",".","91","22"
"01/02/2010","64","PM2.5","Concord","06-013-0002","AQS","10","19","4","19","64","18"
"01/03/2010","65","PM2.5","Concord","06-013-0002","AQS","9","20","6",".","65","15"
"01/04/2010","82","PM2.5","Concord","06-013-0002","AQS","7","21","3",".","82","22"
"01/05/2010","89","PM2.5","Concord","06-013-0002","AQS","7","13","7",".","89","20"
"01/06/2010","93","PM2.5","Concord","06-013-0002","AQS","7","11","6",".","93","19"
"01/07/2010","93","PM2.5","Concord","06-013-0002","AQS","7","5","4",".","93","18"
"01/08/2010","67","PM2.5","Concord","06-013-0002","AQS","6","6","1","29","67","17"
"01/09/2010","67","PM2.5","Concord","06-013-0002","AQS","8","6","7",".","67","18"
"01/10/2010","64","PM2.5","Concord","06-013-0002","AQS","8","8","3",".","64","18"
"01/11/2010","64","PM2.5","Concord","06-013-0002","AQS","7","13","3",".","64","15"
"01/12/2010","31","Ozone","Concord","06-013-0002","AQS","7","31","3",".","12","12"
"01/13/2010","37","Ozone","Bethel Island","06-013-1002","AQS","3","37","3",".","29","25"
"01/14/2010","25","Ozone","Bethel Island","06-013-1002","AQS","6","25","9","10","23","23"
"01/15/2010","75","PM2.5","Concord","06-013-0002","AQS","8","8","3",".","75","22"
"01/16/2010","103","PM2.5","Concord","06-013-0002","AQS","8","14","3",".","103","21"
"01/17/2010","45","PM2.5","Concord","06-013-0002","AQS","7","35","1",".","45","15"
"01/18/2010","35","Ozone","Bethel Island","06-013-1002","AQS","3","35","3",".","18","14"
"01/19/2010","35","Ozone","Concord","06-013-0002","AQS","3","35","4",".","15","3"
"01/20/2010","37","Ozone","Concord","06-013-0002","AQS","3","37","7","6","11","2"
"01/21/2010","34","Ozone","Bethel Island","06-013-1002","AQS","5","34","3",".","16","21"
"01/22/2010","32","Ozone","Bethel Island","06-013-1002","AQS","7","32","7",".","21","25"
"01/23/2010","38","PM2.5","Concord","06-013-0002","AQS","9","30","3","6","38","21"
"01/24/2010","62","PM2.5","Concord","06-013-0002","AQS","8","19","3",".","62","19"
"01/25/2010","37","PM2.5","Concord","06-013-0002","AQS","7","28","3",".","37","25"
"01/26/2010","48","PM2.5","Concord","06-013-0002","AQS","6","22","1","12","48","23"
"01/27/2010","26","PM2.5","Concord","06-013-0002","AQS","6","20","6",".","26","21"
"01/28/2010","58","PM2.5","Concord","06-013-0002","AQS","7","10","4",".","58","25"
"01/29/2010","74","PM2.5","Concord","06-013-0002","AQS","7","23","7",".","74","21"
"01/30/2010","36","Ozone","Bethel Island","06-013-1002","AQS","5","36","4",".","20","20"
"01/31/2010","29","PM2.5","Concord","06-013-0002","AQS","6","29","4",".","29","20"
"02/01/2010","52","PM2.5","Concord","06-013-0002","AQS","6","19","4","17","52","23"
"02/02/2010","26","PM2.5","Concord","06-013-0002","AQS","6","21","4",".","26","26"
"02/03/2010","32","Ozone","Bethel Island","06-013-1002","AQS","7","32","6",".","26","20"
"02/04/2010","28","Ozone","Concord","06-013-0002","AQS","7","28","3",".",".","22"
"02/05/2010","31","Ozone","Concord","06-013-0002","AQS","6","31","4",".","13","23"
"02/06/2010","33","Ozone","Bethel Island","06-013-1002","AQS","5","33","3",".","10","11"
"02/07/2010","31","Ozone","Bethel Island","06-013-1002","AQS","5","31","6","8","14","12"
"02/08/2010","30","Ozone","Bethel Island","06-013-1002","AQS","5","30","9",".","19","19"
"02/09/2010","35","Ozone","Bethel Island","06-013-1002","AQS","5","35","4",".","8","16"
"02/10/2010","26","Ozone","Concord","06-013-0002","AQS","6","26","4",".","17","18"
"02/11/2010","27","Ozone","Concord","06-013-0002","AQS","6","27","6",".","15","23"
"02/12/2010","26","Ozone","Bethel Island","06-013-1002","AQS","5","26","4",".","11","18"
"02/13/2010","32","Ozone","Bethel Island","06-013-1002","AQS","5","32","11","9","25","19"
"02/14/2010","32","Ozone","Bethel Island","06-013-1002","AQS","5","32","9",".","23","23"
"02/15/2010","30","Ozone","Bethel Island","06-013-1002","AQS","6","30","11",".","18","22"
"02/16/2010","27","NO2","Concord","06-013-0002","AQS","6","25","7",".","18","27"
"02/17/2010","50","PM2.5","Concord","06-013-0002","AQS","6","30","7",".","50","23"
