"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2010","31","PM2.5","Ukiah-Library","06-045-0006","AQS","11","20","31"
"01/02/2010","31","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","9","31","31"
"01/03/2010","50","PM2.5","Ukiah-Library","06-045-0006","AQS","5","15","50"
"01/04/2010","50","PM2.5","Ukiah-Library","06-045-0006","AQS","5","19","50"
"01/05/2010","59","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","3","23","59"
"01/06/2010","62","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","1","11","62"
"01/07/2010","45","PM2.5","Ukiah-Library","06-045-0006","AQS","4","10","45"
"01/08/2010","55","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","3","27","55"
"01/09/2010","54","PM2.5","Ukiah-Library","06-045-0006","AQS","1","31","54"
"01/10/2010","65","PM2.5","Ukiah-Library","06-045-0006","AQS","2","19","65"
"01/11/2010","46","PM2.5","Ukiah-Library","06-045-0006","AQS","11","14","46"
"01/12/2010","15","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","13",".","15"
"01/13/2010","43","PM10","Fort Bragg-North Franklin Street","06-045-0002","AQS","13","43","33"
"01/14/2010","38","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","6","24","38"
"01/15/2010","51","PM2.5","Ukiah-Library","06-045-0006","AQS","3","28","51"
"01/16/2010","48","PM2.5","Ukiah-Library","06-045-0006","AQS","17","12","48"
"01/17/2010","27","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","27","10","17"
"01/18/2010","30","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","30","17","22"
"01/19/2010","30","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","30",".","23"
"01/20/2010","32","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","32","9","17"
"01/21/2010","25","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","25","14","24"
"01/22/2010","45","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","20","6","45"
"01/23/2010","25","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","19","25","25"
"01/24/2010","30","PM2.5","Ukiah-Library","06-045-0006","AQS","19","6","30"
"01/25/2010","19","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","19","7","18"
"01/26/2010","42","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","13","22","42"
"01/27/2010","37","PM2.5","Ukiah-Library","06-045-0006","AQS","8","14","37"
"01/28/2010","38","PM2.5","Ukiah-Library","06-045-0006","AQS","6","12","38"
"01/29/2010","48","PM2.5","Ukiah-Library","06-045-0006","AQS","15","19","48"
"01/30/2010","54","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","18","14","54"
"01/31/2010","31","PM2.5","Ukiah-Library","06-045-0006","AQS","15","15","31"
"02/01/2010","45","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","9","8","45"
"02/02/2010","45","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","19","10","45"
"02/03/2010","38","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","23","13","38"
"02/04/2010","29","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","21","9","29"
"02/05/2010","33","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","27","11","33"
"02/06/2010","16","PM2.5","Ukiah-Library","06-045-0006","AQS",".","15","16"
"02/07/2010","37","PM10","Fort Bragg-North Franklin Street","06-045-0002","AQS","19","37","31"
"02/08/2010","19","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","19","12","19"
"02/09/2010","28","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","19","18","28"
"02/10/2010","32","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","11","17","32"
"02/11/2010","25","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","25","8","25"
"02/12/2010","27","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","27","24","25"
"02/13/2010","28","PM10","Fort Bragg-North Franklin Street","06-045-0002","AQS","20","28","20"
"02/14/2010","24","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","19",".","24"
"02/15/2010","27","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","27","14","26"
"02/16/2010","33","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS",".","15","33"
"02/17/2010","25","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","19","7","25"
"02/18/2010","28","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","16","9","28"
"02/19/2010","37","PM2.5","Ukiah-Library","06-045-0006","AQS","16","14","37"
"02/20/2010","24","PM10","Fort Bragg-North Franklin Street","06-045-0002","AQS","24","24","18"
"02/21/2010","23","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","23","17","22"
