"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2010","63","PM2.5","Anaheim","06-059-0007","AQS","20","31","3","19","63","42"
"01/02/2010","55","PM2.5","Anaheim","06-059-0007","AQS","17","22","4","21","55","48"
"01/03/2010","55","PM2.5","Anaheim","06-059-0007","AQS","22","30","3","24","55","43"
"01/04/2010","55","PM2.5","Anaheim","06-059-0007","AQS","19","21","4","29","55","50"
"01/05/2010","64","PM2.5","Anaheim","06-059-0007","AQS","22","19","4","29","64","54"
"01/06/2010","60","PM2.5","Anaheim","06-059-0007","AQS","17","29","6","24","60","48"
"01/07/2010","84","PM2.5","Anaheim","06-059-0007","AQS","19","19","4","28","84","51"
"01/08/2010","87","PM2.5","Anaheim","06-059-0007","AQS","22","27","4","40","87","68"
"01/09/2010","53","PM2.5","Anaheim","06-059-0007","AQS","24","29","4","21","53","45"
"01/10/2010","70","PM2.5","Anaheim","06-059-0007","AQS","17","29","3","28","70","49"
"01/11/2010","79","PM2.5","Anaheim","06-059-0007","AQS","18","28",".","32","79","55"
"01/12/2010","73","PM2.5","Anaheim","06-059-0007","AQS","19","24","6","24","73","47"
"01/13/2010","74","PM2.5","Anaheim","06-059-0007","AQS","8","26","1","13","74","36"
"01/14/2010","59","PM2.5","Anaheim","06-059-0007","AQS","13","27","3","23","59","44"
"01/15/2010","52","PM2.5","Anaheim","06-059-0007","AQS","18","22","3","27","52","51"
"01/16/2010","54","PM2.5","Anaheim","06-059-0007","AQS","20","32","3","21","54","37"
"01/17/2010","61","PM2.5","Anaheim","06-059-0007","AQS","9","40","1","15","61","33"
"01/18/2010","55","PM2.5","Anaheim","06-059-0007","AQS","8","30","0","12","55","35"
"01/19/2010","45","PM2.5","Anaheim","06-059-0007","AQS","11","29","3","18","45","34"
"01/20/2010","34","PM2.5","Anaheim","06-059-0007","AQS","6","31","1","13","34","34"
