"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2010","75","PM2.5","Willows-Colusa Street","06-021-0003","AQS","21",".","75"
"01/02/2010","48","PM2.5","Willows-Colusa Street","06-021-0003","AQS","25","8","48"
"01/03/2010","41","PM2.5","Willows-Colusa Street","06-021-0003","AQS","16",".","41"
"01/04/2010","38","PM2.5","Willows-Colusa Street","06-021-0003","AQS","11",".","38"
"01/05/2010","35","PM2.5","Willows-Colusa Street","06-021-0003","AQS","6",".","35"
"01/06/2010","40","PM2.5","Willows-Colusa Street","06-021-0003","AQS","8",".","40"
"01/07/2010","37","PM2.5","Willows-Colusa Street","06-021-0003","AQS","6",".","37"
"01/08/2010","33","PM2.5","Willows-Colusa Street","06-021-0003","AQS","6","5","33"
"01/09/2010","31","PM2.5","Willows-Colusa Street","06-021-0003","AQS","4",".","31"
"01/10/2010","34","PM2.5","Willows-Colusa Street","06-021-0003","AQS","6",".","34"
"01/11/2010","43","PM2.5","Willows-Colusa Street","06-021-0003","AQS","7",".","43"
"01/12/2010","56","PM2.5","Willows-Colusa Street","06-021-0003","AQS","25",".","56"
"01/13/2010","34","Ozone","Willows-Colusa Street","06-021-0003","AQS","34",".","23"
"01/14/2010","25","Ozone","Willows-Colusa Street","06-021-0003","AQS","25",".","17"
"01/15/2010","55","PM2.5","Willows-Colusa Street","06-021-0003","AQS","13",".","55"
"01/16/2010","52","PM2.5","Willows-Colusa Street","06-021-0003","AQS","22",".","52"
"01/17/2010","75","PM2.5","Willows-Colusa Street","06-021-0003","AQS","31",".","75"
"01/18/2010","38","Ozone","Willows-Colusa Street","06-021-0003","AQS","38",".","18"
"01/19/2010","37","Ozone","Willows-Colusa Street","06-021-0003","AQS","37",".","21"
"01/20/2010","44","Ozone","Willows-Colusa Street","06-021-0003","AQS","44",".","11"
"01/21/2010","38","Ozone","Willows-Colusa Street","06-021-0003","AQS","38",".","18"
"01/22/2010","33","Ozone","Willows-Colusa Street","06-021-0003","AQS","33","3","20"
"01/23/2010","47","PM2.5","Willows-Colusa Street","06-021-0003","AQS","31",".","47"
"01/24/2010","36","PM2.5","Willows-Colusa Street","06-021-0003","AQS","25",".","36"
"01/25/2010","29","Ozone","Willows-Colusa Street","06-021-0003","AQS","29",".","17"
"01/26/2010","28","Ozone","Willows-Colusa Street","06-021-0003","AQS","28","2","9"
"01/27/2010","24","Ozone","Willows-Colusa Street","06-021-0003","AQS","24",".","10"
