"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/02/2010","23","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","23","9"
"01/05/2010","8","PM2.5","Redwood NP","06-015-0002","AQS",".","8"
"01/08/2010","23","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","23","15"
"01/11/2010","30","PM2.5","Redwood NP","06-015-0002","AQS",".","30"
"01/14/2010","16","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","16","6"
"01/17/2010","15","PM2.5","Redwood NP","06-015-0002","AQS",".","15"
"01/20/2010","0","PM2.5","Redwood NP","06-015-0002","AQS",".","0"
"01/22/2010","13","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","13","."
"01/23/2010","3","PM2.5","Redwood NP","06-015-0002","AQS",".","3"
"01/26/2010","12","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","12","7"
"01/29/2010","22","PM2.5","Redwood NP","06-015-0002","AQS",".","22"
"02/01/2010","7","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","7","2"
"02/07/2010","4","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","4","."
"02/13/2010","32","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","32","."
"02/19/2010","10","PM2.5","Redwood NP","06-015-0002","AQS","6","10"
"02/22/2010","13","PM2.5","Redwood NP","06-015-0002","AQS",".","13"
"02/25/2010","13","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","13","5"
"02/28/2010","16","PM2.5","Redwood NP","06-015-0002","AQS",".","16"
"03/03/2010","9","PM2.5","Redwood NP","06-015-0002","AQS","9","9"
"03/06/2010","19","PM2.5","Redwood NP","06-015-0002","AQS",".","19"
"03/09/2010","9","PM2.5","Redwood NP","06-015-0002","AQS","9","9"
"03/12/2010","9","PM2.5","Redwood NP","06-015-0002","AQS",".","9"
"03/15/2010","23","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","23","18"
"03/21/2010","8","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","8","."
"03/24/2010","18","PM2.5","Redwood NP","06-015-0002","AQS",".","18"
"03/27/2010","16","PM2.5","Redwood NP","06-015-0002","AQS","11","16"
