"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"07/22/2010","30","PM2.5","Redwood City","06-081-1001","AQS","5","24","30","10"
"07/23/2010","35","PM2.5","Redwood City","06-081-1001","AQS","3","27","35","16"
"07/24/2010","31","PM2.5","Redwood City","06-081-1001","AQS","3","30","31","10"
"07/25/2010","31","Ozone","Redwood City","06-081-1001","AQS","3","31","25","8"
"07/26/2010","35","PM2.5","Redwood City","06-081-1001","AQS","3","31","35","7"
"07/27/2010","27","Ozone","Redwood City","06-081-1001","AQS","2","27","22","8"
"07/28/2010","26","Ozone","Redwood City","06-081-1001","AQS","3","26","25","8"
"07/29/2010","21","Ozone","Redwood City","06-081-1001","AQS","3","21",".","16"
"07/30/2010","33","PM2.5","Redwood City","06-081-1001","AQS","3","16","33","15"
"07/31/2010","40","PM2.5","Redwood City","06-081-1001","AQS","3","21","40","11"
"08/01/2010","42","PM2.5","Redwood City","06-081-1001","AQS","3","26","42","14"
"08/02/2010","25","PM2.5","Redwood City","06-081-1001","AQS","3","18","25","14"
"08/03/2010","25","PM2.5","Redwood City","06-081-1001","AQS","3","17","25","13"
"08/04/2010","24","PM2.5","Redwood City","06-081-1001","AQS","3","18","24","9"
"08/05/2010","21","Ozone","Redwood City","06-081-1001","AQS","3","21","13","10"
"08/06/2010","21","PM2.5","Redwood City","06-081-1001","AQS","3","20","21","9"
"08/07/2010","20","PM2.5","Redwood City","06-081-1001","AQS","3","19","20","8"
"08/08/2010","17","Ozone","Redwood City","06-081-1001","AQS","3","17","11","6"
"08/09/2010","18","Ozone","Redwood City","06-081-1001","AQS","3","18","11","9"
"08/10/2010","20","PM2.5","Redwood City","06-081-1001","AQS","3","20","20","10"
"08/11/2010","17","Ozone","Redwood City","06-081-1001","AQS","3","17","8","12"
"08/12/2010","19","Ozone","Redwood City","06-081-1001","AQS","3","19","15","18"
"08/13/2010","20","PM2.5","Redwood City","06-081-1001","AQS","5","19","20","14"
"08/14/2010","25","Ozone","Redwood City","06-081-1001","AQS","3","25","12","12"
"08/15/2010","24","Ozone","Redwood City","06-081-1001","AQS","3","24","10","9"
"08/16/2010","19","Ozone","Redwood City","06-081-1001","AQS","3","19","14","12"
"08/17/2010","28","Ozone","Redwood City","06-081-1001","AQS",".","28","12","."
"08/18/2010","31","Ozone","Redwood City","06-081-1001","AQS","3","31","18","8"
"08/19/2010","25","PM2.5","Redwood City","06-081-1001","AQS","3","24","25","14"
"08/20/2010","27","PM2.5","Redwood City","06-081-1001","AQS","3","23","27","18"
"08/21/2010","27","Ozone","Redwood City","06-081-1001","AQS","3","27","19","6"
"08/22/2010","32","PM2.5","Redwood City","06-081-1001","AQS","5","30","32","25"
"08/23/2010","67","Ozone","Redwood City","06-081-1001","AQS","8","67","38","37"
"08/24/2010","122","Ozone","Redwood City","06-081-1001","AQS","9","122","52","45"
"08/25/2010","62","PM2.5","Redwood City","06-081-1001","AQS","9","40","62","38"
"08/26/2010","33","PM2.5","Redwood City","06-081-1001","AQS","5","27","33","15"
"08/27/2010","40","PM2.5","Redwood City","06-081-1001","AQS","6","22","40","13"
"08/28/2010","28","PM2.5","Redwood City","06-081-1001","AQS","3","28","28","9"
"08/29/2010","32","Ozone","Redwood City","06-081-1001","AQS","3","32","29","8"
"08/30/2010","26","Ozone","Redwood City","06-081-1001","AQS","5","26","25","23"
"08/31/2010","34","Ozone","Redwood City","06-081-1001","AQS","5","34","16","19"
"09/01/2010","45","Ozone","Redwood City","06-081-1001","AQS",".","45","26","33"
"09/02/2010","40","Ozone","Redwood City","06-081-1001","AQS","9","40","28","33"
"09/03/2010","30","PM2.5","Redwood City","06-081-1001","AQS","6","25","30","23"
"09/04/2010","33","PM2.5","Redwood City","06-081-1001","AQS","3","27","33","14"
"09/05/2010","54","PM2.5","Redwood City","06-081-1001","AQS","5","27","54","22"
"09/06/2010","58","PM2.5","Redwood City","06-081-1001","AQS","6","38","58","20"
"09/07/2010","35","PM2.5","Redwood City","06-081-1001","AQS","6","26","35","18"
"09/08/2010","29","Ozone","Redwood City","06-081-1001","AQS","3","29","18","8"
"09/09/2010","29","Ozone","Redwood City","06-081-1001","AQS","7","29","19","18"
"09/10/2010","37","PM2.5","Redwood City","06-081-1001","AQS","7","33","37","24"
"09/11/2010","42","Ozone","Redwood City","06-081-1001","AQS","7","42","25","23"
"09/12/2010","31","Ozone","Redwood City","06-081-1001","AQS","5","31","27","18"
"09/13/2010","38","PM2.5","Redwood City","06-081-1001","AQS","5","31","38","19"
"09/14/2010","34","PM2.5","Redwood City","06-081-1001","AQS","5","31","34","23"
"09/15/2010","27","PM2.5","Redwood City","06-081-1001","AQS","5","15","27","16"
"09/16/2010","16","NO2","Redwood City","06-081-1001","AQS","7","12","14","16"
"09/17/2010","11","NO2","Redwood City","06-081-1001","AQS","5","10","9","11"
"09/18/2010","12","Ozone","Redwood City","06-081-1001","AQS","3","12","10","9"
"09/19/2010","18","Ozone","Redwood City","06-081-1001","AQS","3","18","10","8"
"09/20/2010","24","Ozone","Redwood City","06-081-1001","AQS","6","24","15","12"
"09/21/2010","36","Ozone","Redwood City","06-081-1001","AQS","6","36","33","16"
"09/22/2010","34","Ozone","Redwood City","06-081-1001","AQS","3","34","25","16"
"09/23/2010","34","PM2.5","Redwood City","06-081-1001","AQS","7","27","34","30"
"09/24/2010","43","Ozone","Redwood City","06-081-1001","AQS","10","43","40","35"
"09/25/2010","58","Ozone","Redwood City","06-081-1001","AQS","8","58","40","32"
"09/26/2010","40","Ozone","Redwood City","06-081-1001","AQS","8","40","36","25"
"09/27/2010","52","PM2.5","Redwood City","06-081-1001","AQS","9","42","52","."
"09/28/2010","54","Ozone","Redwood City","06-081-1001","AQS","13","54","52","."
"09/29/2010","46","PM2.5","Redwood City","06-081-1001","AQS","10","23","46","."
"09/30/2010","33","PM2.5","Redwood City","06-081-1001","AQS","8","20","33","25"
"10/01/2010","25","PM2.5","Redwood City","06-081-1001","AQS","5","23","25","17"
"10/02/2010","25","PM2.5","Redwood City","06-081-1001","AQS","5","24","25","13"
"10/03/2010","31","Ozone","Redwood City","06-081-1001","AQS","5","31","30","8"
"10/04/2010","41","PM2.5","Redwood City","06-081-1001","AQS","3","31","41","13"
"10/05/2010","48","PM2.5","Redwood City","06-081-1001","AQS","7","25","48","26"
"10/06/2010","46","PM2.5","Redwood City","06-081-1001","AQS",".","33","46","29"
"10/12/2010","43","Ozone","Redwood City","06-081-1001","AQS",".","43",".","."
"10/13/2010","52","PM2.5","Redwood City","06-081-1001","AQS","10","38","52","46"
"10/14/2010","53","PM2.5","Redwood City","06-081-1001","AQS","13","39","53","49"
"10/15/2010","50","PM2.5","Redwood City","06-081-1001","AQS","9","23","50","33"
"10/16/2010","54","PM2.5","Redwood City","06-081-1001","AQS","6","24","54","18"
"10/17/2010","43","PM2.5","Redwood City","06-081-1001","AQS","3","26","43","9"
"10/18/2010","47","PM2.5","Redwood City","06-081-1001","AQS","6","21","47","28"
"10/19/2010","66","PM2.5","Redwood City","06-081-1001","AQS","6","20","66","29"
"10/20/2010","70","PM2.5","Redwood City","06-081-1001","AQS","6","24","70","24"
"10/21/2010","37","PM2.5","Redwood City","06-081-1001","AQS","6","33","37","25"
"10/22/2010","29","PM2.5","Redwood City","06-081-1001","AQS","6","20","29","24"
"10/23/2010","26","Ozone","Redwood City","06-081-1001","AQS","6","26","21","17"
"10/24/2010","25","Ozone","Redwood City","06-081-1001","AQS","3","25","15","5"
"10/25/2010","31","PM2.5","Redwood City","06-081-1001","AQS","8","29","31","27"
"10/26/2010","31","PM2.5","Redwood City","06-081-1001","AQS","6","27","31","27"
"10/27/2010","34","NO2","Redwood City","06-081-1001","AQS","10","19","28","34"
"10/28/2010","44","Ozone","Redwood City","06-081-1001","AQS","13","44","23","32"
