"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2010","80","PM2.5","Davis-UCD Campus","06-113-0004","AQS","15",".","80","12"
"01/02/2010","40","PM2.5","Davis-UCD Campus","06-113-0004","AQS","25","10","40","11"
"01/03/2010","38","PM2.5","Davis-UCD Campus","06-113-0004","AQS","16",".","38","14"
"01/04/2010","58","PM2.5","Davis-UCD Campus","06-113-0004","AQS","19",".","58","19"
"01/05/2010","55","PM2.5","Davis-UCD Campus","06-113-0004","AQS","8",".","55","13"
"01/06/2010","86","PM2.5","Davis-UCD Campus","06-113-0004","AQS","10",".","86","14"
"01/07/2010","66","PM2.5","Davis-UCD Campus","06-113-0004","AQS","4",".","66","19"
"01/08/2010","69","PM2.5","Davis-UCD Campus","06-113-0004","AQS","5","19","69","15"
"01/09/2010","31","PM2.5","Davis-UCD Campus","06-113-0004","AQS","5",".","31","14"
"01/10/2010","33","PM2.5","Davis-UCD Campus","06-113-0004","AQS","6",".","33","16"
"01/11/2010","53","PM2.5","Davis-UCD Campus","06-113-0004","AQS","6",".","53","16"
"01/12/2010","58","PM2.5","Davis-UCD Campus","06-113-0004","AQS","23",".","58","16"
"01/13/2010","35","Ozone","Davis-UCD Campus","06-113-0004","AQS","35",".","23","22"
"01/14/2010","28","Ozone","Davis-UCD Campus","06-113-0004","AQS","28","13","16","24"
"01/15/2010","59","PM2.5","Davis-UCD Campus","06-113-0004","AQS","10",".","59","18"
"01/16/2010","74","PM2.5","Davis-UCD Campus","06-113-0004","AQS","15",".","74","15"
"01/17/2010","71","PM2.5","Davis-UCD Campus","06-113-0004","AQS","30",".","71","14"
"01/18/2010","36","PM2.5","Davis-UCD Campus","06-113-0004","AQS","36",".","36","7"
"01/19/2010","52","PM2.5","Davis-UCD Campus","06-113-0004","AQS","34",".","52","7"
"01/20/2010","44","PM2.5","Davis-UCD Campus","06-113-0004","AQS","38","5","44","6"
"01/21/2010","36","Ozone","Davis-UCD Campus","06-113-0004","AQS","36","5","11","22"
"01/22/2010","30","Ozone","Davis-UCD Campus","06-113-0004","AQS","30",".","19","22"
"01/23/2010","33","PM2.5","Davis-UCD Campus","06-113-0004","AQS","31",".","33","26"
"01/24/2010","32","PM2.5","Davis-UCD Campus","06-113-0004","AQS","14",".","32","18"
"01/25/2010","52","PM2.5","Davis-UCD Campus","06-113-0004","AQS","22",".","52","22"
"01/26/2010","36","PM2.5","Davis-UCD Campus","06-113-0004","AQS","25","6","36","9"
"01/27/2010","25","Ozone","Davis-UCD Campus","06-113-0004","AQS","25",".","15","22"
"01/28/2010","57","PM2.5","Davis-UCD Campus","06-113-0004","AQS","20",".","57","18"
"01/29/2010","66","PM2.5","Davis-UCD Campus","06-113-0004","AQS","19",".","66","19"
"01/30/2010","35","Ozone","Davis-UCD Campus","06-113-0004","AQS","35",".","23","15"
"01/31/2010","30","Ozone","Davis-UCD Campus","06-113-0004","AQS","30",".","26","25"
"02/01/2010","50","PM2.5","Davis-UCD Campus","06-113-0004","AQS","23","13","50","19"
"02/02/2010","22","Ozone","Davis-UCD Campus","06-113-0004","AQS","22",".","17","11"
"02/03/2010","35","PM2.5","Davis-UCD Campus","06-113-0004","AQS","31",".","35","22"
"02/04/2010","97","PM2.5","Davis-UCD Campus","06-113-0004","AQS","27",".","97","13"
"02/05/2010","31","PM2.5","Davis-UCD Campus","06-113-0004","AQS","31",".","31","15"
"02/06/2010","30","Ozone","Davis-UCD Campus","06-113-0004","AQS","30",".","20","16"
"02/07/2010","32","Ozone","Davis-UCD Campus","06-113-0004","AQS","32","8","24","18"
