"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"01/01/2010","37","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","37","1","21","32","8"
"01/02/2010","48","PM2.5","Atascadero (original site)","06-079-8001","AQS","38","0","12","48","4"
"01/03/2010","34","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","34","3","22","24","24"
"01/04/2010","31","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","31","1","21","15","19"
"01/05/2010","43","Ozone","Red Hills","06-079-8005","AQS","43","1","21","26","21"
"01/06/2010","43","Ozone","Red Hills","06-079-8005","AQS","43","1","24","20","25"
"01/07/2010","33","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","33","1","21","22","25"
"01/08/2010","42","PM2.5","Atascadero (original site)","06-079-8001","AQS","41","0","32","42","26"
"01/09/2010","38","Ozone","Red Hills","06-079-8005","AQS","38","1","31","34","19"
"01/10/2010","46","Ozone","Red Hills","06-079-8005","AQS","46","0","21","42","23"
"01/11/2010","40","Ozone","Red Hills","06-079-8005","AQS","40","1","16","22","24"
"01/12/2010","35","Ozone","Red Hills","06-079-8005","AQS","35","0","15","34","17"
"01/13/2010","39","Ozone","Red Hills","06-079-8005","AQS","39","6","19","28","35"
"01/14/2010","39","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","39","1","11","28","17"
"01/15/2010","40","Ozone","Red Hills","06-079-8005","AQS","40","1","22","26","26"
"01/16/2010","43","Ozone","Red Hills","06-079-8005","AQS","43","0","24","29","29"
"01/17/2010","41","Ozone","Red Hills","06-079-8005","AQS","41","0","9","15","14"
"01/18/2010","39","Ozone","Paso Robles","06-079-0005","AQS","39","0","14","24","10"
"01/19/2010","41","Ozone","Carrizo Plains","06-079-8006","AQS","41","0","18","33","9"
"01/20/2010","42","Ozone","Carrizo Plains","06-079-8006","AQS","42","0","18","19","25"
"01/21/2010","44","Ozone","Carrizo Plains","06-079-8006","AQS","44","0","6","12","20"
"01/22/2010","42","Ozone","Red Hills","06-079-8005","AQS","42","0","10","11","26"
"01/23/2010","40","Ozone","Red Hills","06-079-8005","AQS","40","0","17","15","19"
"01/24/2010","38","Ozone","Red Hills","06-079-8005","AQS","38","0","15","24","17"
"01/25/2010","36","Ozone","Red Hills","06-079-8005","AQS","36","0","16","24","17"
"01/26/2010","35","Ozone","Red Hills","06-079-8005","AQS","35","0","9","20","19"
"01/27/2010","34","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","34","0","15","15","14"
"01/28/2010","32","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","32","0","16","21","23"
"01/29/2010","45","PM2.5","Atascadero (original site)","06-079-8001","AQS","40","1","19","45","18"
"01/30/2010","40","Ozone","Red Hills","06-079-8005","AQS","40","0","19","35","20"
"01/31/2010","47","PM2.5","Atascadero (original site)","06-079-8001","AQS","38","0","27","47","18"
"02/01/2010","58","PM2.5","Atascadero (original site)","06-079-8001","AQS","45","1","19","58","25"
"02/02/2010","58","PM2.5","Atascadero (original site)","06-079-8001","AQS","36","0","17","58","23"
"02/03/2010","64","PM2.5","Atascadero (original site)","06-079-8001","AQS","41","1","61","64","24"
"02/04/2010","42","PM2.5","Atascadero (original site)","06-079-8001","AQS","42","0","16","42","15"
"02/05/2010","36","Ozone","Red Hills","06-079-8005","AQS","36","0","6","10","12"
"02/06/2010","42","Ozone","Red Hills","06-079-8005","AQS","42","0","7","24","15"
"02/07/2010","35","Ozone","Carrizo Plains","06-079-8006","AQS","35","0","19","25","13"
"02/08/2010","35","PM10","Mesa2","06-079-2004","AQS","33","0","35","28","20"
"02/09/2010","43","Ozone","Red Hills","06-079-8005","AQS","43","0","8","28","21"
"02/10/2010","37","PM2.5","Atascadero (original site)","06-079-8001","AQS","37","0","24","37","24"
"02/11/2010","43","PM2.5","Atascadero (original site)","06-079-8001","AQS","36","0","23","43","17"
"02/12/2010","45","PM2.5","Atascadero (original site)","06-079-8001","AQS","38","1","37","45","24"
"02/13/2010","66","PM10","Mesa2","06-079-2004","AQS","39","1","66","54","20"
"02/14/2010","60","PM2.5","Atascadero (original site)","06-079-8001","AQS","42","1","39","60","20"
"02/15/2010","70","PM2.5","Atascadero (original site)","06-079-8001","AQS","40","1","24","70","21"
"02/16/2010","67","PM2.5","Atascadero (original site)","06-079-8001","AQS","39","1","21","67","12"
"02/17/2010","71","Ozone","Red Hills","06-079-8005","AQS","71","1","21","68","20"
"02/18/2010","49","Ozone","Red Hills","06-079-8005","AQS","49","0","9","33","19"
"02/19/2010","42","Ozone","Carrizo Plains","06-079-8006","AQS","42","0","9","22","15"
"02/20/2010","39","Ozone","Carrizo Plains","06-079-8006","AQS","39","0","20","29","16"
"02/21/2010","40","Ozone","Morro Bay","06-079-3001","AQS","40","0","8","18","5"
"02/22/2010","36","Ozone","Carrizo Plains","06-079-8006","AQS","36","0","12","26","20"
"02/23/2010","48","PM2.5","Atascadero (original site)","06-079-8001","AQS","36","0","13","48","21"
"02/24/2010","38","Ozone","Red Hills","06-079-8005","AQS","38","0","6","23","13"
"02/25/2010","37","Ozone","Carrizo Plains","06-079-8006","AQS","37","0","16","25","18"
"02/26/2010","42","Ozone","San Luis Obispo","06-079-2006","AQS","42","0","11","35","23"
"02/27/2010","43","Ozone","San Luis Obispo","06-079-2006","AQS","43","0","7","18","10"
"02/28/2010","38","Ozone","Red Hills","06-079-8005","AQS","38","0","29","26","21"
"03/01/2010","38","Ozone","Red Hills","06-079-8005","AQS","38","0","15","33","14"
"03/02/2010","38","Ozone","Morro Bay","06-079-3001","AQS","38","0","8","16","15"
"03/03/2010","45","Ozone","Carrizo Plains","06-079-8006","AQS","45","0","10","18","21"
"03/04/2010","44","Ozone","Carrizo Plains","06-079-8006","AQS","44","0","17","22","18"
"03/05/2010","42","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","42","1","8","36","25"
"03/06/2010","52","PM2.5","Atascadero (original site)","06-079-8001","AQS","40","0","8","52","20"
"03/07/2010","44","PM2.5","Mesa2","06-079-2004","AQS","44","0","44","44","9"
"03/08/2010","55","PM10","Mesa2","06-079-2004","AQS","43","1","55","51","23"
"03/09/2010","49","PM2.5","Mesa2","06-079-2004","AQS","38","1","43","49","17"
"03/10/2010","43","PM2.5","Mesa2","06-079-2004","AQS","43","1","37","43","16"
"03/11/2010","46","Ozone","Red Hills","06-079-8005","AQS","46","0",".","39","25"
"03/12/2010","46","Ozone","Red Hills","06-079-8005","AQS","46","0","18","29","12"
"03/13/2010","41","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","41","1","22","23","12"
"03/14/2010","59","PM10","Arroyo Grande CDF","06-079-2007","AQS","40","3","59","47","11"
"03/15/2010","49","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","49","1","24","28","25"
"03/16/2010","58","Ozone","Red Hills","06-079-8005","AQS","58","1","35","28","30"
"03/17/2010","61","Ozone","Red Hills","06-079-8005","AQS","61","1","48","53","24"
"03/18/2010","49","Ozone","Carrizo Plains","06-079-8006","AQS","49","1","31","40","17"
"03/19/2010","47","Ozone","Red Hills","06-079-8005","AQS","47","3","31","33","26"
"03/20/2010","50","Ozone","Red Hills","06-079-8005","AQS","50","1","21","40","21"
"03/21/2010","50","Ozone","Red Hills","06-079-8005","AQS","50","1","19","41","16"
"03/22/2010","72","PM10","Arroyo Grande CDF","06-079-2007","AQS","45","1","72","63","13"
"03/23/2010","48","Ozone","Red Hills","06-079-8005","AQS","48","1","37","43","22"
"03/24/2010","47","Ozone","Red Hills","06-079-8005","AQS","47","0","16","43","16"
"03/25/2010","64","PM10","Arroyo Grande CDF","06-079-2007","AQS","41","0","64","54","14"
"03/26/2010","49","PM10","Arroyo Grande CDF","06-079-2007","AQS","43","3","49","43","22"
"03/27/2010","61","Ozone","Red Hills","06-079-8005","AQS","61","1","30","35","26"
"03/28/2010","58","Ozone","Red Hills","06-079-8005","AQS","58","3","38","30","24"
"03/29/2010","53","PM10","Arroyo Grande CDF","06-079-2007","AQS","48","1","53","39","18"
"03/30/2010","44","Ozone","Morro Bay","06-079-3001","AQS","44","0","22","31","13"
"03/31/2010","45","Ozone","Carrizo Plains","06-079-8006","AQS","45","0","17","22","17"
"04/01/2010","48","PM10","Arroyo Grande CDF","06-079-2007","AQS","45","0","48","33","12"
"04/02/2010","50","PM10","Arroyo Grande CDF","06-079-2007","AQS","43","0","50","33","17"
"04/03/2010","50","PM10","Arroyo Grande CDF","06-079-2007","AQS","41","0","50","43","11"
"04/04/2010","44","Ozone","San Luis Obispo","06-079-2006","AQS","44","0","17","28","8"
"04/05/2010","47","Ozone","Carrizo Plains","06-079-8006","AQS","47","0","18","27","17"
"04/06/2010","51","Ozone","Carrizo Plains","06-079-8006","AQS","51","0","10","32","10"
"04/07/2010","61","Ozone","Red Hills","06-079-8005","AQS","61","1","25","35","25"
"04/08/2010","83","PM10","Arroyo Grande CDF","06-079-2007","AQS","61","3","83","81","11"
"04/09/2010","52","PM2.5","Atascadero (original site)","06-079-8001","AQS","49","0","32","52","9"
"04/10/2010","58","PM2.5","Atascadero (original site)","06-079-8001","AQS","54","0","26","58","5"
"04/11/2010","50","Ozone","Red Hills","06-079-8005","AQS","50","1","46","46","4"
"04/12/2010","44","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","44","0","12","41","23"
"04/13/2010","48","Ozone","Red Hills","06-079-8005","AQS","48","1","18","25","15"
"04/14/2010","46","Ozone","Carrizo Plains","06-079-8006","AQS","46","0","30","40","14"
"04/15/2010","58","Ozone","Carrizo Plains","06-079-8006","AQS","58","1","14","28","22"
"04/16/2010","58","Ozone","Carrizo Plains","06-079-8006","AQS","58","0","45","35","16"
"04/17/2010","57","PM10","Arroyo Grande CDF","06-079-2007","AQS","50","3","57","51","15"
"04/18/2010","90","Ozone","Red Hills","06-079-8005","AQS","90","1","22","41","9"
"04/19/2010","64","Ozone","Red Hills","06-079-8005","AQS","64","0","21","47","18"
"04/20/2010","46","Ozone","Carrizo Plains","06-079-8006","AQS","46","0","19","21","6"
"04/21/2010","47","PM10","Arroyo Grande CDF","06-079-2007","AQS","42","0","47","39","13"
"04/22/2010","37","PM2.5","Atascadero (original site)","06-079-8001","AQS","35","1","21","37","14"
"04/23/2010","45","Ozone","Red Hills","06-079-8005","AQS","45","0","31","41","13"
"04/24/2010","54","Ozone","Red Hills","06-079-8005","AQS","54","0","35","44","16"
"04/25/2010","80","Ozone","Red Hills","06-079-8005","AQS","80","4","62","60","13"
