"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2012","7","PM2.5","Redwood NP","06-015-0002","AQS",".","7"
"01/04/2012","19","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","19","15"
"01/07/2012","12","PM2.5","Redwood NP","06-015-0002","AQS",".","12"
"01/10/2012","30","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","30","23"
"01/13/2012","9","PM2.5","Redwood NP","06-015-0002","AQS",".","9"
"01/16/2012","8","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","8","6"
"01/19/2012","3","PM2.5","Redwood NP","06-015-0002","AQS",".","3"
"01/22/2012","14","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","14","2"
"01/25/2012","10","PM2.5","Redwood NP","06-015-0002","AQS",".","10"
"01/28/2012","19","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","19","7"
"01/31/2012","5","PM2.5","Redwood NP","06-015-0002","AQS",".","5"
"02/03/2012","20","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","20","12"
"02/06/2012","8","PM2.5","Redwood NP","06-015-0002","AQS",".","8"
"02/09/2012","29","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","29","20"
"02/12/2012","7","PM2.5","Redwood NP","06-015-0002","AQS",".","7"
"02/15/2012","20","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","20","11"
"02/18/2012","14","PM2.5","Redwood NP","06-015-0002","AQS",".","14"
"02/21/2012","7","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","7","6"
"02/24/2012","18","PM2.5","Redwood NP","06-015-0002","AQS",".","18"
"02/27/2012","13","PM2.5","Redwood NP","06-015-0002","AQS","12","13"
"03/01/2012","10","PM2.5","Redwood NP","06-015-0002","AQS",".","10"
"03/04/2012","11","PM2.5","Redwood NP","06-015-0002","AQS","7","11"
"03/10/2012","13","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","13","11"
"03/13/2012","10","PM2.5","Redwood NP","06-015-0002","AQS",".","10"
"03/16/2012","17","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","17","7"
"03/19/2012","5","PM2.5","Redwood NP","06-015-0002","AQS",".","5"
