"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2012","144","PM2.5","Madera-City","06-039-2010","AQS","30","28","144","25"
"01/02/2012","120","PM2.5","Madera-City","06-039-2010","AQS","24","26","120","17"
"01/03/2012","105","PM2.5","Madera-City","06-039-2010","AQS","14",".","105","24"
"01/04/2012","152","PM2.5","Madera-City","06-039-2010","AQS",".","46","152","."
"01/05/2012","153","PM2.5","Madera-City","06-039-2010","AQS","34","42","153","42"
"01/06/2012","107","PM2.5","Madera-City","06-039-2010","AQS","36","32","107","21"
"01/07/2012","132","PM2.5","Picayune Rancheria","06-039-0500","AQS","36",".","132","27"
"01/08/2012","120","PM2.5","Madera-City","06-039-2010","AQS","36",".","120","25"
"01/09/2012","94","PM2.5","Madera-City","06-039-2010","AQS","35",".","94","38"
"01/10/2012","103","PM2.5","Madera-City","06-039-2010","AQS","35",".","103","22"
"01/11/2012","114","PM2.5","Madera-City","06-039-2010","AQS","37",".","114","30"
"01/12/2012","127","PM2.5","Madera-City","06-039-2010","AQS","37","59","127","31"
"01/13/2012","134","PM2.5","Madera-City","06-039-2010","AQS","37","53","134","30"
"01/14/2012","119","PM2.5","Madera-City","06-039-2010","AQS","38","43","119","33"
"01/15/2012","86","PM2.5","Madera-City","06-039-2010","AQS","41","43","86","24"
"01/16/2012","54","PM2.5","Madera-City","06-039-2010","AQS","31","28","54","10"
"01/17/2012","68","PM2.5","Madera-City","06-039-2010","AQS","32","41","68","32"
"01/18/2012","91","PM2.5","Madera-City","06-039-2010","AQS","34","52","91","31"
"01/19/2012","109","PM2.5","Madera-City","06-039-2010","AQS","31","55","109","30"
"01/20/2012","101","PM2.5","Madera-City","06-039-2010","AQS","26",".","101","23"
"01/21/2012","41","PM2.5","Madera-City","06-039-2010","AQS","30",".","41","8"
"01/22/2012","48","PM2.5","Madera-City","06-039-2010","AQS","32","8","48","14"
"01/23/2012","55","PM2.5","Picayune Rancheria","06-039-0500","AQS","32",".","55","14"
"01/24/2012","52","PM2.5","Madera-City","06-039-2010","AQS","26","7","52","21"
"01/25/2012","68","PM2.5","Madera-City","06-039-2010","AQS","26","14","68","23"
"01/26/2012","85","PM2.5","Madera-City","06-039-2010","AQS","22","21","85","14"
"01/27/2012","58","PM2.5","Madera-City","06-039-2010","AQS","9",".","58","9"
"01/28/2012","70","PM2.5","Madera-City","06-039-2010","AQS","28","15","70","17"
"01/29/2012","81","PM2.5","Madera-City","06-039-2010","AQS","25","17","81","19"
"01/30/2012","91","PM2.5","Madera-City","06-039-2010","AQS","32",".","91","18"
"01/31/2012","99","PM2.5","Madera-City","06-039-2010","AQS","31",".","99","14"
"02/01/2012","71","PM2.5","Madera-City","06-039-2010","AQS","35","32","71","18"
"02/02/2012","65","PM2.5","Madera-City","06-039-2010","AQS","31","12","65","18"
"02/03/2012","71","PM2.5","Madera-City","06-039-2010","AQS","39","20","71","."
"02/04/2012","59","PM2.5","Madera-City","06-039-2010","AQS","41","17","59","26"
"02/05/2012","66","PM2.5","Madera-City","06-039-2010","AQS","41","17","66","30"
"02/06/2012","46","PM2.5","Madera-City","06-039-2010","AQS","39","15","46","30"
"02/07/2012","40","PM2.5","Madera-City","06-039-2010","AQS","35","38","40","25"
"02/08/2012","61","PM2.5","Madera-City","06-039-2010","AQS","32","19","61","12"
"02/09/2012","76","PM2.5","Madera-City","06-039-2010","AQS","34","25","76","25"
