"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2012","13","Ozone","Jackson-Clinton Road","06-005-0002","AQS","13","."
"01/02/2012","19","Ozone","Jackson-Clinton Road","06-005-0002","AQS","19","."
"01/03/2012","15","Ozone","Jackson-Clinton Road","06-005-0002","AQS","15","."
"01/04/2012","16","Ozone","Jackson-Clinton Road","06-005-0002","AQS","16","."
"01/05/2012","18","Ozone","Jackson-Clinton Road","06-005-0002","AQS","18","."
"01/06/2012","16","Ozone","Jackson-Clinton Road","06-005-0002","AQS","16","."
"01/07/2012","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"01/08/2012","24","Ozone","Jackson-Clinton Road","06-005-0002","AQS","24","."
"01/09/2012","19","Ozone","Jackson-Clinton Road","06-005-0002","AQS","19","."
"01/10/2012","19","Ozone","Jackson-Clinton Road","06-005-0002","AQS","19","."
"01/11/2012","19","Ozone","Jackson-Clinton Road","06-005-0002","AQS","19","."
"01/12/2012","18","Ozone","Jackson-Clinton Road","06-005-0002","AQS","18","."
"01/13/2012","17","Ozone","Jackson-Clinton Road","06-005-0002","AQS","17","."
"01/14/2012","20","Ozone","Jackson-Clinton Road","06-005-0002","AQS","20","."
"01/15/2012","27","Ozone","Jackson-Clinton Road","06-005-0002","AQS","27","."
"01/16/2012","20","Ozone","Jackson-Clinton Road","06-005-0002","AQS","20","."
"01/17/2012","21","Ozone","Jackson-Clinton Road","06-005-0002","AQS","21","."
"01/18/2012","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"01/19/2012","15","Ozone","Jackson-Clinton Road","06-005-0002","AQS","15","."
"01/20/2012","18","Ozone","Jackson-Clinton Road","06-005-0002","AQS","18","."
"01/21/2012","21","Ozone","Jackson-Clinton Road","06-005-0002","AQS","21","."
"01/22/2012","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"01/23/2012","26","Ozone","Jackson-Clinton Road","06-005-0002","AQS","26","."
"01/24/2012","8","Ozone","Jackson-Clinton Road","06-005-0002","AQS","8","."
"01/25/2012","8","Ozone","Jackson-Clinton Road","06-005-0002","AQS","8","."
"01/26/2012","6","Ozone","Jackson-Clinton Road","06-005-0002","AQS","6","."
"01/27/2012","6","Ozone","Jackson-Clinton Road","06-005-0002","AQS","6","."
"01/28/2012","13","Ozone","Jackson-Clinton Road","06-005-0002","AQS","13","."
"01/29/2012","13","Ozone","Jackson-Clinton Road","06-005-0002","AQS","13","."
"01/30/2012","19","Ozone","Jackson-Clinton Road","06-005-0002","AQS","19","."
"01/31/2012","19","Ozone","Jackson-Clinton Road","06-005-0002","AQS","19","."
"02/01/2012","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"02/02/2012","19","Ozone","Jackson-Clinton Road","06-005-0002","AQS","19","."
"02/03/2012","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"02/04/2012","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
