"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2012","107","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","107","17"
"01/02/2012","119","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","119","15"
"01/03/2012","101","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","101","30"
"01/04/2012","138","PM2.5","Merced-Coffee","06-047-0003","AQS",".","51","138","35"
"01/05/2012","133","PM2.5","Merced-M Street","06-047-2510","AQS",".",".","133","."
"01/06/2012","77","PM2.5","Merced-Coffee","06-047-0003","AQS","23",".","77","."
"01/07/2012","94","PM2.5","Merced-M Street","06-047-2510","AQS",".",".","94","."
"01/08/2012","127","PM2.5","Merced-Coffee","06-047-0003","AQS","31",".","127","."
"01/09/2012","86","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","86","."
"01/10/2012","117","PM2.5","Merced-M Street","06-047-2510","AQS",".","51","117","."
"01/11/2012","75","PM2.5","Merced-Coffee","06-047-0003","AQS","31",".","75","."
"01/12/2012","84","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","84","."
"01/13/2012","89","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","89","."
"01/14/2012","74","PM2.5","Merced-Coffee","06-047-0003","AQS","29",".","74","."
"01/15/2012","67","PM2.5","Merced-Coffee","06-047-0003","AQS","41",".","67","."
"01/16/2012","19","PM10","Merced-M Street","06-047-2510","AQS",".","19",".","."
"01/17/2012","29","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","29","."
"01/18/2012","56","PM2.5","Merced-Coffee","06-047-0003","AQS","27",".","56","."
"01/19/2012","105","PM2.5","Merced-M Street","06-047-2510","AQS","15",".","105","."
"01/20/2012","82","PM2.5","Merced-Coffee","06-047-0003","AQS","27",".","82","."
"01/21/2012","30","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","30","."
"01/22/2012","34","PM2.5","Merced-M Street","06-047-2510","AQS","30","11","34","."
"01/23/2012","28","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","28","."
"01/24/2012","39","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","39","15"
"01/25/2012","74","PM2.5","Merced-M Street","06-047-2510","AQS",".",".","74","27"
"01/26/2012","71","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","71","18"
"01/27/2012","50","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","50","."
"01/28/2012","70","PM2.5","Merced-M Street","06-047-2510","AQS",".","19","70","21"
"01/29/2012","71","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","71","26"
"01/30/2012","69","PM2.5","Merced-Coffee","06-047-0003","AQS","24",".","69","."
"01/31/2012","77","PM2.5","Merced-Coffee","06-047-0003","AQS","27",".","77","20"
"02/01/2012","59","PM2.5","Merced-Coffee","06-047-0003","AQS","31",".","59","14"
"02/02/2012","56","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","56","22"
"02/03/2012","81","PM2.5","Merced-M Street","06-047-2510","AQS",".","28","81","25"
"02/04/2012","47","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","47","23"
"02/05/2012","34","Ozone","Merced-Coffee","06-047-0003","AQS","34",".","30","25"
"02/06/2012","35","PM2.5","Merced-M Street","06-047-2510","AQS","32",".","35","17"
"02/07/2012","33","Ozone","Merced-Coffee","06-047-0003","AQS","33",".","17","15"
"02/08/2012","54","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","54","20"
"02/09/2012","64","PM2.5","Merced-Coffee","06-047-0003","AQS","38","21","64","30"
"02/10/2012","57","PM2.5","Merced-Coffee","06-047-0003","AQS","37",".","57","18"
"02/11/2012","34","Ozone","Merced-Coffee","06-047-0003","AQS","34",".","27","13"
"02/12/2012","38","PM2.5","Merced-Coffee","06-047-0003","AQS","30",".","38","14"
"02/13/2012","33","Ozone","Merced-Coffee","06-047-0003","AQS","33",".","15","15"
"02/14/2012","41","PM2.5","Merced-Coffee","06-047-0003","AQS","25",".","41","22"
"02/15/2012","33","Ozone","Merced-Coffee","06-047-0003","AQS","33","8","21","15"
"02/16/2012","31","Ozone","Merced-Coffee","06-047-0003","AQS","31",".","28","29"
"02/17/2012","52","PM2.5","Merced-Coffee","06-047-0003","AQS","37",".","52","13"
"02/18/2012","52","PM2.5","Merced-M Street","06-047-2510","AQS","32",".","52","14"
"02/19/2012","33","Ozone","Merced-Coffee","06-047-0003","AQS","33",".","21","20"
"02/20/2012","21","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","21","13"
"02/21/2012","54","PM2.5","Merced-M Street","06-047-2510","AQS","33","19","54","16"
"02/22/2012","45","PM2.5","Merced-Coffee","06-047-0003","AQS","31",".","45","14"
"02/23/2012","36","Ozone","Merced-Coffee","06-047-0003","AQS","36",".","25","25"
"02/24/2012","58","PM2.5","Merced-Coffee","06-047-0003","AQS","43",".","58","34"
"02/25/2012","49","PM2.5","Merced-Coffee","06-047-0003","AQS","38",".","49","6"
"02/26/2012","34","Ozone","Merced-Coffee","06-047-0003","AQS","34",".","18","18"
"02/27/2012","41","Ozone","Merced-Coffee","06-047-0003","AQS","41","16","23","18"
"02/28/2012","40","Ozone","Merced-Coffee","06-047-0003","AQS","40",".","21","20"
"02/29/2012","29","Ozone","Merced-Coffee","06-047-0003","AQS","29",".","28","22"
"03/01/2012","37","Ozone","Merced-Coffee","06-047-0003","AQS","37",".","17","17"
"03/02/2012","31","Ozone","Merced-Coffee","06-047-0003","AQS","31",".","19","10"
"03/03/2012","40","Ozone","Merced-Coffee","06-047-0003","AQS","40",".","30","20"
"03/04/2012","51","PM2.5","Merced-M Street","06-047-2510","AQS","48","19","51","25"
"03/05/2012","49","Ozone","Merced-Coffee","06-047-0003","AQS","49",".","30","."
"03/06/2012","40","Ozone","Merced-Coffee","06-047-0003","AQS","40",".","8","12"
"03/07/2012","43","Ozone","Merced-Coffee","06-047-0003","AQS","43",".","19","29"
"03/08/2012","46","Ozone","Merced-Coffee","06-047-0003","AQS","46",".",".","38"
"03/09/2012","48","Ozone","Merced-Coffee","06-047-0003","AQS","48",".",".","22"
"03/10/2012","61","Ozone","Merced-Coffee","06-047-0003","AQS","61","27","56","24"
"03/11/2012","41","Ozone","Merced-Coffee","06-047-0003","AQS","41",".",".","5"
"03/12/2012","41","Ozone","Merced-Coffee","06-047-0003","AQS","41",".",".","16"
"03/13/2012","35","Ozone","Merced-Coffee","06-047-0003","AQS","35",".","32","19"
"03/14/2012","30","Ozone","Merced-Coffee","06-047-0003","AQS","30",".","17","17"
"03/15/2012","31","Ozone","Merced-Coffee","06-047-0003","AQS","31",".","5","14"
"03/16/2012","33","Ozone","Merced-Coffee","06-047-0003","AQS","33","8","7","11"
"03/17/2012","40","Ozone","Merced-Coffee","06-047-0003","AQS","40",".","15","6"
"03/18/2012","40","Ozone","Merced-Coffee","06-047-0003","AQS","40",".","10","9"
"03/19/2012","40","Ozone","Merced-Coffee","06-047-0003","AQS","40",".","23","20"
"03/20/2012","44","Ozone","Merced-Coffee","06-047-0003","AQS","44",".","29","28"
"03/21/2012","43","Ozone","Merced-Coffee","06-047-0003","AQS","43",".","36","21"
"03/22/2012","36","Ozone","Merced-Coffee","06-047-0003","AQS","36","13","17","7"
"03/23/2012","41","Ozone","Merced-Coffee","06-047-0003","AQS","41",".","13","11"
"03/24/2012","45","Ozone","Merced-Coffee","06-047-0003","AQS","45",".","24","5"
"03/25/2012","41","Ozone","Merced-Coffee","06-047-0003","AQS","41",".","15","14"
"03/26/2012","41","Ozone","Merced-Coffee","06-047-0003","AQS","41",".","18","14"
"03/27/2012","39","Ozone","Merced-Coffee","06-047-0003","AQS","39",".","26","16"
"03/28/2012","39","Ozone","Merced-Coffee","06-047-0003","AQS","39","8","13","6"
"03/29/2012","50","PM2.5","Merced-Coffee","06-047-0003","AQS","44",".","50","17"
"03/30/2012","53","PM2.5","Merced-Coffee","06-047-0003","AQS","47",".","53","14"
