"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"01/01/2012","65","PM2.5","Oakland","06-001-0009","AQS","9","21","14","65","33"
"01/02/2012","73","PM2.5","Oakland","06-001-0009","AQS","16","16","14","73","39"
"01/03/2012","79","PM2.5","Oakland","06-001-0009","AQS","20","18","10","79","34"
"01/04/2012","91","SO2","Oakland West","06-001-0011","AQS","27","19","91","74","41"
"01/05/2012","54","PM2.5","Oakland","06-001-0009","AQS","16","15","3","54","34"
"01/06/2012","57","PM2.5","Oakland","06-001-0009","AQS","13","16","1","57","30"
"01/07/2012","31","PM2.5","Oakland","06-001-0009","AQS","20","31","1","31","30"
"01/08/2012","34","NO2","Oakland West","06-001-0011","AQS","9","29","3","29","34"
"01/09/2012","92","PM2.5","Oakland","06-001-0009","AQS","19","22","3","92","47"
"01/10/2012","96","PM2.5","Oakland","06-001-0009","AQS","26","25","3","96","46"
"01/11/2012","65","PM2.5","Oakland","06-001-0009","AQS","19","20","23","65","46"
"01/12/2012","44","PM2.5","Livermore","06-001-0007","AQS","20","25","3","44","42"
"01/13/2012","81","PM2.5","Livermore","06-001-0007","AQS","17","20","9","81","47"
"01/14/2012","92","PM2.5","Oakland","06-001-0009","AQS","27","19","4","92","42"
"01/15/2012","52","PM2.5","Oakland","06-001-0009","AQS","16","31","1","52","32"
"01/16/2012","33","PM2.5","Oakland","06-001-0009","AQS","8","24","0","33","33"
"01/17/2012","41","PM2.5","Oakland","06-001-0009","AQS","14","20","4","41","37"
"01/18/2012","42","PM2.5","Oakland","06-001-0009","AQS","15","21","3","42","41"
"01/19/2012","42","PM2.5","Livermore","06-001-0007","AQS","20","16","4","42","41"
"01/20/2012","29","Ozone","Livermore","06-001-0007","AQS","3","29","1","20","27"
"01/21/2012","38","PM2.5","Oakland","06-001-0009","AQS","7","31","0","38","31"
"01/22/2012","34","PM2.5","Oakland","06-001-0009","AQS","7","29","0","34","25"
"01/23/2012","31","NO2","Oakland West","06-001-0011","AQS","7","28","0","29","31"
"01/24/2012","51","PM2.5","Oakland","06-001-0009","AQS","9","16","3","51","31"
"01/25/2012","57","PM2.5","Livermore","06-001-0007","AQS","8","15","16","57","32"
"01/26/2012","43","PM2.5","Oakland","06-001-0009","AQS","8","12","6","43","25"
"01/27/2012","45","PM2.5","Oakland","06-001-0009","AQS","13","31","13","45","31"
"01/28/2012","39","PM2.5","Oakland West","06-001-0011","AQS","19","25","1","39","35"
"01/29/2012","77","PM2.5","Oakland","06-001-0009","AQS","15","25","4","77","39"
"01/30/2012","54","PM2.5","Oakland","06-001-0009","AQS","14","24","4","54","33"
"01/31/2012","36","PM2.5","Oakland","06-001-0009","AQS","7","24","9","36","29"
"02/01/2012","44","PM2.5","Oakland","06-001-0009","AQS","7","23","6","44","33"
"02/02/2012","39","PM2.5","Oakland","06-001-0009","AQS","16","28","3","39","38"
"02/03/2012","63","PM2.5","Livermore","06-001-0007","AQS","10","24","3","63","47"
"02/04/2012","77","PM2.5","Livermore","06-001-0007","AQS","13","28","1","77","43"
"02/05/2012","54","PM2.5","Livermore","06-001-0007","AQS","15","34","1","54","44"
"02/06/2012","55","PM2.5","Oakland","06-001-0009","AQS","13","32","4","55","43"
"02/07/2012","33","PM2.5","Oakland","06-001-0009","AQS","6","27","0","33","30"
"02/08/2012","60","PM2.5","Oakland","06-001-0009","AQS","8","31","9","60","38"
"02/09/2012","52","PM2.5","Livermore","06-001-0007","AQS","14","20","3","52","42"
"02/10/2012","37","NO2","Oakland West","06-001-0011","AQS","9","29","7","35","37"
"02/11/2012","30","Ozone","Livermore","06-001-0007","AQS","5","30","0","15","20"
"02/12/2012","31","PM2.5","Oakland","06-001-0009","AQS","5","31","0","31","12"
"02/13/2012","31","Ozone","Livermore","06-001-0007","AQS","7","31","0","25","29"
"02/14/2012","30","PM2.5","Oakland","06-001-0009","AQS","7","30","1","30","27"
"02/15/2012","33","NO2","Oakland","06-001-0009","AQS","7","32","0","21","33"
"02/16/2012","34","Ozone","Livermore","06-001-0007","AQS","8","34","0","27","30"
"02/17/2012","35","PM2.5","Oakland","06-001-0009","AQS","10","23","3","35","35"
"02/18/2012","32","PM2.5","Oakland","06-001-0009","AQS","6","30","0","32","25"
"02/19/2012","31","Ozone","Livermore","06-001-0007","AQS","6","31","0","28","24"
"02/20/2012","34","PM2.5","Oakland","06-001-0009","AQS","7","29","1","34","30"
"02/21/2012","58","PM2.5","Oakland","06-001-0009","AQS","13","26","7","58","29"
"02/22/2012","55","PM2.5","Oakland","06-001-0009","AQS","17","27","9","55","40"
"02/23/2012","43","PM2.5","Oakland","06-001-0009","AQS","8","39","1","43","35"
"02/24/2012","50","NO2","Oakland West","06-001-0011","AQS","10","33","4","28","50"
"02/25/2012","33","PM2.5","Oakland","06-001-0009","AQS","6","33","0","33","27"
"02/26/2012","36","Ozone","Livermore","06-001-0007","AQS","6","36","3","33","25"
"02/27/2012","33","PM2.5","Oakland","06-001-0009","AQS","8","32","0","33","31"
"02/28/2012","36","Ozone","Livermore","06-001-0007","AQS","8","36","0","25","32"
"02/29/2012","37","Ozone","Livermore","06-001-0007","AQS",".","37","1","23","20"
"03/01/2012","34","Ozone","Livermore","06-001-0007","AQS","5","34","0","32","29"
"03/02/2012","42","NO2","Oakland West","06-001-0011","AQS","8","35","1","29","42"
"03/03/2012","35","Ozone","Livermore","06-001-0007","AQS","18","35","3","31","35"
"03/04/2012","47","PM2.5","Oakland","06-001-0009","AQS","10","43","1","47","36"
"03/05/2012","42","PM2.5","Oakland","06-001-0009","AQS","8","28","1","42","29"
"03/06/2012","39","Ozone","Livermore","06-001-0007","AQS","3","39","0","21","13"
"03/07/2012","37","Ozone","Livermore","06-001-0007","AQS","7","37","20","22","33"
"03/08/2012","43","NO2","Oakland","06-001-0009","AQS","13","33","21","41","43"
"03/09/2012","56","PM2.5","Oakland","06-001-0009","AQS","10","41","9","56","37"
"03/10/2012","36","Ozone","Oakland West","06-001-0011","AQS","5","36","0","27","32"
"03/11/2012","39","Ozone","Oakland West","06-001-0011","AQS","5","39","0","28","30"
"03/12/2012","39","Ozone","Livermore","06-001-0007","AQS","8","39","3","35","35"
"03/13/2012","34","Ozone","Livermore","06-001-0007","AQS","5","34","0","10","16"
"03/14/2012","29","Ozone","Livermore","06-001-0007","AQS","5","29","0","6","19"
"03/15/2012","27","Ozone","Livermore","06-001-0007","AQS","6","27","0","13","23"
"03/16/2012","36","Ozone","Livermore","06-001-0007","AQS","5","36","0","14","17"
"03/17/2012","39","Ozone","Oakland West","06-001-0011","AQS","7","39","0","21","32"
"03/18/2012","39","Ozone","Oakland West","06-001-0011","AQS","3","39","0","17","6"
"03/19/2012","37","Ozone","Livermore","06-001-0007","AQS","6","37","1","32","37"
"03/20/2012","38","NO2","Oakland West","06-001-0011","AQS","6","33","27","35","38"
"03/21/2012","40","PM2.5","Oakland","06-001-0009","AQS","10","28","19","40","28"
"03/22/2012","39","Ozone","Livermore","06-001-0007","AQS","5","39","7","14","31"
"03/23/2012","38","Ozone","Livermore","06-001-0007","AQS","6","38","1","18","30"
"03/24/2012","39","Ozone","Livermore","06-001-0007","AQS","6","39","0","14","21"
"03/25/2012","38","Ozone","Oakland West","06-001-0011","AQS","6","38","1","18","22"
"03/26/2012","40","Ozone","Livermore","06-001-0007","AQS","7","40","1","19","34"
"03/27/2012","37","Ozone","Livermore","06-001-0007","AQS","6","37","0","18","29"
"03/28/2012","42","Ozone","Livermore","06-001-0007","AQS","6","42","10","37","31"
"03/29/2012","55","PM2.5","Oakland","06-001-0009","AQS","7","35","1","55","30"
"03/30/2012","38","PM2.5","Oakland","06-001-0009","AQS","7","35","1","38","25"
"03/31/2012","43","Ozone","Livermore","06-001-0007","AQS","5","43","0","26","9"
"04/01/2012","45","PM2.5","Oakland","06-001-0009","AQS","6","41","0","45","22"
"04/02/2012","39","Ozone","Livermore","06-001-0007","AQS","6","39","3","36","32"
"04/03/2012","41","Ozone","Oakland West","06-001-0011","AQS","5","41","1","35","37"
"04/04/2012","39","Ozone","Livermore","06-001-0007","AQS","6","39","4","25","26"
"04/05/2012","36","Ozone","Livermore","06-001-0007","AQS","6","36","0","26","32"
"04/06/2012","37","Ozone","Livermore","06-001-0007","AQS","6","37","0","29","37"
"04/07/2012","44","Ozone","Livermore","06-001-0007","AQS","7","44","1","40","42"
"04/08/2012","48","Ozone","Livermore","06-001-0007","AQS","6","48","1","40","31"
"04/09/2012","50","Ozone","Livermore","06-001-0007","AQS","7","50","1","41","35"
"04/10/2012","35","Ozone","Hayward","06-001-2001","AQS","6","35","0","27","25"
"04/11/2012","38","Ozone","Hayward","06-001-2001","AQS","5","38","1","22","30"
"04/12/2012","47","Ozone","Livermore","06-001-0007","AQS","5","47","0","30","24"
"04/13/2012","46","Ozone","Hayward","06-001-2001","AQS","5","46","0","21","28"
"04/14/2012","42","Ozone","Livermore","06-001-0007","AQS","5","42","0","30","15"
"04/15/2012","40","PM2.5","Oakland","06-001-0009","AQS","5","39","0","40","14"
