"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"01/01/2012","75","PM2.5","Atascadero (original site)","06-079-8001","AQS","41","3","38","75","28"
"01/02/2012","49","PM2.5","Atascadero (original site)","06-079-8001","AQS","36","1","19","49","22"
"01/03/2012","58","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","3","34","58","27"
"01/04/2012","59","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","4","42","59","35"
"01/05/2012","64","PM2.5","Atascadero (original site)","06-079-8001","AQS","41","4","56","64","36"
"01/06/2012","67","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","3","55","67","27"
"01/07/2012","38","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","1","23","38","17"
"01/08/2012","47","PM2.5","Atascadero (original site)","06-079-8001","AQS","40","1","33","47","29"
"01/09/2012","47","PM10","Arroyo Grande CDF","06-079-2007","AQS","41","4","47","45","38"
"01/10/2012","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","1","36","52","34"
"01/11/2012","69","PM2.5","Atascadero (original site)","06-079-8001","AQS","44","3","38","69","32"
"01/12/2012","96","PM2.5","Atascadero (original site)","06-079-8001","AQS","47","4","54","96","39"
"01/13/2012","87","PM2.5","Atascadero (original site)","06-079-8001","AQS","45","3","49","87","39"
"01/14/2012","79","PM2.5","Atascadero (original site)","06-079-8001","AQS","42","3","58","79","35"
"01/15/2012","41","Ozone","Red Hills","06-079-8005","AQS","41","3","33","39","19"
"01/16/2012","37","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","1","33","37","25"
"01/17/2012","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","3","54","55","24"
"01/18/2012","57","PM2.5","Atascadero (original site)","06-079-8001","AQS","37","3","42","57","37"
"01/19/2012","56","PM2.5","Atascadero (original site)","06-079-8001","AQS","33","3","41","56","29"
"01/20/2012","31","Ozone","Morro Bay","06-079-3001","AQS","31","1","14","20","22"
"01/21/2012","35","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","1","24","35","11"
"01/22/2012","33","Ozone","Red Hills","06-079-8005","AQS","33","1","17","28","20"
"01/23/2012","35","Ozone","Red Hills","06-079-8005","AQS","35","1","18","25","16"
"01/24/2012","29","Ozone","San Luis Obispo","06-079-2006","AQS","29","1","11","16","9"
"01/25/2012","40","PM2.5","Atascadero (original site)","06-079-8001","AQS","32","0","13","40","19"
"01/26/2012","48","PM2.5","Atascadero (original site)","06-079-8001","AQS","28","0","17","48","17"
"01/27/2012","29","Ozone","San Luis Obispo","06-079-2006","AQS","29","0","11","23","7"
"01/28/2012","50","PM2.5","Atascadero (original site)","06-079-8001","AQS","34","1","21","50","23"
"01/29/2012","52","PM2.5","Atascadero (original site)","06-079-8001","AQS","38","3","19","52","30"
"01/30/2012","41","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","1","22","41","27"
"01/31/2012","54","PM2.5","Atascadero (original site)","06-079-8001","AQS","36","0","36","54","23"
"02/01/2012","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","1","49","55","17"
"02/02/2012","35","Ozone","Carrizo Plains","06-079-8006","AQS","35","1","21","31","20"
"02/03/2012","44","Ozone","Red Hills","06-079-8005","AQS","44","0","25","38","35"
"02/04/2012","43","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","43","0","27","38","29"
"02/05/2012","47","PM2.5","Atascadero (original site)","06-079-8001","AQS","43","0","23","47","24"
"02/06/2012","43","Ozone","Atascadero (original site)","06-079-8001","AQS","43","1","20","40","25"
"02/07/2012","40","Ozone","Morro Bay","06-079-3001","AQS","40","0","34","27","22"
"02/08/2012","40","Ozone","Red Hills","06-079-8005","AQS","40","0","10","23","27"
"02/09/2012","45","Ozone","Red Hills","06-079-8005","AQS","45","3","31","44","30"
"02/10/2012","41","Ozone","Red Hills","06-079-8005","AQS","41","0","29","35","17"
"02/11/2012","37","Ozone","Morro Bay","06-079-3001","AQS","37","0","30","30","9"
"02/12/2012","41","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","33","0","38","41","12"
"02/13/2012","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","43","45","9"
"02/14/2012","32","Ozone","Red Hills","06-079-8005","AQS","32","0","27","30","22"
"02/15/2012","36","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","0","31","36","25"
"02/16/2012","40","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","1","34","40","25"
"02/17/2012","50","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","1","49","50","25"
"02/18/2012","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","0","50","54","16"
"02/19/2012","66","PM10","Arroyo Grande CDF","06-079-2007","AQS","35","0","66","58","19"
"02/20/2012","38","Ozone","Red Hills","06-079-8005","AQS","38","0","19","24","20"
"02/21/2012","40","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","25","40","14"
"02/22/2012","42","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39","0","36","42","30"
"02/23/2012","48","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","1","47","48","22"
"02/24/2012","64","Ozone","Red Hills","06-079-8005","AQS","64","0","24","47","29"
"02/25/2012","57","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","0","55","57","14"
"02/26/2012","61","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","0","61","61","12"
"02/27/2012","51","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","0","51","51","28"
"02/28/2012","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","0","31","45","20"
"02/29/2012","40","Ozone","Red Hills","06-079-8005","AQS","40","0","13","23","20"
"03/01/2012","44","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","0","39","44","28"
"03/02/2012","40","Ozone","Paso Robles","06-079-0005","AQS","40","0","11","19","19"
"03/03/2012","44","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","44","3","27","36","24"
"03/04/2012","49","Ozone","Red Hills","06-079-8005","AQS","49","1","22","42","25"
"03/05/2012","51","Ozone","Carrizo Plains","06-079-8006","AQS","51","0","20","28","28"
"03/06/2012","89","PM10","Arroyo Grande CDF","06-079-2007","AQS","41","0","89","82","13"
"03/07/2012","45","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","45","0","30","40","27"
"03/08/2012","48","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","48","7","33","34","40"
"03/09/2012","58","Ozone","Red Hills","06-079-8005","AQS","58","0","31","34","30"
