"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2012","80","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","11","19",".","80","23"
"01/02/2012","69","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","10","25",".","69","25"
"01/03/2012","44","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","10","17",".","44","25"
"01/04/2012","55","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","13","25","19","55","28"
"01/05/2012","54","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","11","29",".","54","25"
"01/06/2012","56","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","11","21",".","56","25"
"01/07/2012","34","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","10","31",".","34","20"
"01/08/2012","45","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","10","24",".","45","26"
"01/09/2012","67","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","15","21",".","67","34"
"01/10/2012","76","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","15","19","28","76","34"
"01/11/2012","64","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","17","22",".","64","33"
"01/12/2012","57","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","13","23",".","57","34"
"01/13/2012","66","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","10","19",".","66","35"
"01/14/2012","75","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","10","31",".","75","34"
"01/15/2012","56","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","8","31",".","56","26"
"01/16/2012","48","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","8","31","8","48","36"
"01/17/2012","57","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","30",".","57","37"
"01/18/2012","59","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","8","29",".","59","29"
"01/19/2012","46","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","17","7","46","25"
