"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2012","68","PM2.5","San Francisco","06-075-0005","AQS","6","19",".","68","38"
"01/02/2012","67","PM2.5","San Francisco","06-075-0005","AQS","6","19",".","67","35"
"01/03/2012","67","PM2.5","San Francisco","06-075-0005","AQS","9","8",".","67","39"
"01/04/2012","55","PM2.5","San Francisco","06-075-0005","AQS","8","11","21","55","43"
"01/05/2012","55","PM2.5","San Francisco","06-075-0005","AQS","8","19",".","55","34"
"01/06/2012","63","PM2.5","San Francisco","06-075-0005","AQS",".","10",".","63","30"
"01/07/2012","35","PM2.5","San Francisco","06-075-0005","AQS","8","28",".","35","26"
"01/08/2012","39","NO2","San Francisco","06-075-0005","AQS","6","25",".","23","39"
"01/09/2012","87","PM2.5","San Francisco","06-075-0005","AQS","9","10",".","87","52"
"01/10/2012","101","PM2.5","San Francisco","06-075-0005","AQS","10","15","44","101","50"
"01/11/2012","71","PM2.5","San Francisco","06-075-0005","AQS","11","6",".","71","45"
"01/12/2012","52","PM2.5","San Francisco","06-075-0005","AQS",".","16",".","52","41"
"01/13/2012","71","PM2.5","San Francisco","06-075-0005","AQS","14","10",".","71","51"
"01/14/2012","76","PM2.5","San Francisco","06-075-0005","AQS","14","26",".","76","39"
"01/15/2012","33","PM2.5","San Francisco","06-075-0005","AQS","6","31",".","33","16"
"01/16/2012","25","Ozone","San Francisco","06-075-0005","AQS","2","25","9","15","19"
"01/17/2012","39","NO2","San Francisco","06-075-0005","AQS","6","20",".","33","39"
"01/18/2012","43","PM2.5","San Francisco","06-075-0005","AQS","7","16",".","43","38"
"01/19/2012","52","PM2.5","San Francisco","06-075-0005","AQS","7","20",".","52","36"
"01/20/2012","31","Ozone","San Francisco","06-075-0005","AQS","5","31",".","13","25"
"01/21/2012","35","PM2.5","San Francisco","06-075-0005","AQS","3","31",".","35","27"
"01/22/2012","31","PM2.5","San Francisco","06-075-0005","AQS","5","29","13","31","22"
"01/23/2012","29","Ozone","San Francisco","06-075-0005","AQS","3","29",".","26","15"
"01/24/2012","50","NO2","San Francisco","06-075-0005","AQS","6","17",".","44","50"
"01/25/2012","53","PM2.5","San Francisco","06-075-0005","AQS","7","11",".","53","34"
"01/26/2012","27","PM2.5","San Francisco","06-075-0005","AQS","6","13",".","27","26"
"01/27/2012","46","NO2","San Francisco","06-075-0005","AQS","9","13",".","45","46"
"01/28/2012","69","NO2","San Francisco","06-075-0005","AQS","9","20","10","39","69"
"01/29/2012","65","PM2.5","San Francisco","06-075-0005","AQS","6","20",".","65","48"
"01/30/2012","58","NO2","San Francisco","06-075-0005","AQS","8","29",".","44","58"
"01/31/2012","38","NO2","San Francisco","06-075-0005","AQS","5","25",".","28","38"
"02/01/2012","53","NO2","San Francisco","06-075-0005","AQS","10","23",".","31","53"
"02/02/2012","38","PM2.5","San Francisco","06-075-0005","AQS","10","14",".","38","36"
"02/03/2012","57","PM2.5","San Francisco","06-075-0005","AQS","9","21","18","57","40"
"02/04/2012","71","PM2.5","San Francisco","06-075-0005","AQS","11","23",".","71","62"
"02/05/2012","55","PM2.5","San Francisco","06-075-0005","AQS","11","25",".","55","47"
"02/06/2012","105","NO2","San Francisco","06-075-0005","AQS","11","27",".","59","105"
"02/07/2012","35","PM2.5","San Francisco","06-075-0005","AQS","8","31",".","35","33"
"02/08/2012","62","PM2.5","San Francisco","06-075-0005","AQS","10","19",".","62","40"
"02/09/2012","55","PM2.5","San Francisco","06-075-0005","AQS",".","22","16","55","44"
"02/10/2012","53","PM2.5","San Francisco","06-075-0005","AQS","7","30",".","53","45"
"02/11/2012","28","Ozone","San Francisco","06-075-0005","AQS","3","28",".","21","19"
"02/12/2012","35","PM2.5","San Francisco","06-075-0005","AQS","5","31",".","35","17"
