"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2012","73","PM2.5","Santa Barbara","06-083-0011","AQS","6","39","6","21","73","26"
"01/02/2012","55","PM2.5","Santa Barbara","06-083-0011","AQS","7","43","4","19","55","30"
"01/03/2012","46","PM2.5","Santa Maria","06-083-1008","AQS","6","37","6","20","46","36"
"01/04/2012","53","PM2.5","Santa Barbara","06-083-0011","AQS","5","38","7","29","53","37"
"01/05/2012","57","PM2.5","Santa Barbara","06-083-0011","AQS","7","41","6","34","57","45"
"01/06/2012","57","PM2.5","Santa Barbara","06-083-0011","AQS","6","36","3","42","57","32"
"01/07/2012","70","PM2.5","Santa Barbara","06-083-0011","AQS","5","41","4","26","70","24"
"01/08/2012","48","PM2.5","Santa Barbara","06-083-0011","AQS","5","44","4","23","48","31"
"01/09/2012","44","Ozone","Lompoc HSP","06-083-1013","AQS","6","44","7","25","34","41"
"01/10/2012","52","PM2.5","Santa Barbara","06-083-0011","AQS","5","43","4","19","52","36"
"01/11/2012","54","PM2.5","Santa Barbara","06-083-0011","AQS","5","39","6","21","54","36"
"01/12/2012","44","Ozone","Lompoc HSP","06-083-1013","AQS","5","44","7","23","42","36"
"01/13/2012","44","Ozone","Lompoc HSP","06-083-1013","AQS","5","44","3","21","39","37"
"01/14/2012","52","PM2.5","Santa Barbara","06-083-0011","AQS","6","44","3","29","52","45"
"01/15/2012","54","PM2.5","Santa Barbara","06-083-0011","AQS","6","41","3","19","54","26"
"01/16/2012","43","PM2.5","Santa Barbara","06-083-0011","AQS","6","41","3","24","43","31"
"01/17/2012","45","PM2.5","Santa Barbara","06-083-0011","AQS","3","42","3","21","45","36"
"01/18/2012","52","PM2.5","Santa Barbara","06-083-0011","AQS","5","41","3","22","52","40"
"01/19/2012","56","PM2.5","Santa Barbara","06-083-0011","AQS","5","40","4","16","56","21"
"01/20/2012","45","PM2.5","Santa Barbara","06-083-0011","AQS","3","40","3","15","45","27"
"01/21/2012","38","PM2.5","Santa Barbara","06-083-0011","AQS","3","38","4","24","38","18"
"01/22/2012","47","PM2.5","Santa Barbara","06-083-0011","AQS","3","37","4","36","47","17"
"01/23/2012","39","Ozone","Lompoc HSP","06-083-1013","AQS","3","39","3","14","27","15"
"01/24/2012","34","Ozone","Carpinteria","06-083-1021","AQS","3","34","3","18","25","28"
"01/25/2012","34","Ozone","Carpinteria","06-083-1021","AQS","5","34","7","15","28","29"
"01/26/2012","28","Ozone","Carpinteria","06-083-1021","AQS","6","28","16","16","25","23"
"01/27/2012","36","Ozone","Los Flores Canyon #1","06-083-1025","AQS","7","36","3","14","27","25"
"01/28/2012","42","Ozone","Lompoc HSP","06-083-1013","AQS","7","42","3","20","35","27"
"01/29/2012","44","Ozone","Los Flores Canyon #1","06-083-1025","AQS","6","44","6","14","33","29"
"01/30/2012","45","PM2.5","Santa Barbara","06-083-0011","AQS","7","39","3","17","45","38"
"01/31/2012","57","PM2.5","Santa Barbara","06-083-0011","AQS","7","37","3","20","57","24"
"02/01/2012","57","PM2.5","Santa Barbara","06-083-0011","AQS","7","41","3","21","57","28"
"02/02/2012","51","PM2.5","Santa Barbara","06-083-0011","AQS","6","40","6","18","51","25"
"02/03/2012","46","Ozone","Lompoc HSP","06-083-1013","AQS","6","46","4","19","34","32"
"02/04/2012","49","Ozone","Lompoc HSP","06-083-1013","AQS","6","49","6","17","30","30"
"02/05/2012","47","Ozone","Lompoc HSP","06-083-1013","AQS","6","47","4","19","28","30"
"02/06/2012","46","Ozone","Lompoc HSP","06-083-1013","AQS","6","46","3","18","38","32"
"02/07/2012","45","Ozone","Lompoc HSP","06-083-1013","AQS","6","45","3","13","39","28"
"02/08/2012","44","Ozone","Lompoc HSP","06-083-1013","AQS","6","44","3","19","38","29"
"02/09/2012","44","Ozone","Lompoc HSP","06-083-1013","AQS","7","44","6","27","40","39"
"02/10/2012","41","PM2.5","Santa Barbara","06-083-0011","AQS","7","39","6","18","41","26"
"02/11/2012","41","Ozone","Lompoc HSP","06-083-1013","AQS","5","41","3","10","21","11"
"02/12/2012","40","Ozone","Carpinteria","06-083-1021","AQS","3","40","3","17","34","16"
"02/13/2012","43","Ozone","Carpinteria","06-083-1021","AQS","5","43","3","20","32","14"
"02/14/2012","39","Ozone","Carpinteria","06-083-1021","AQS","5","39","3","16","24","28"
"02/15/2012","43","Ozone","Carpinteria","06-083-1021","AQS","5","43","3","23","20","21"
"02/16/2012","42","Ozone","Carpinteria","06-083-1021","AQS","5","42","4","14","20","31"
"02/17/2012","41","Ozone","Lompoc HSP","06-083-1013","AQS","7","41","6","16","34","28"
"02/18/2012","48","PM2.5","Santa Barbara","06-083-0011","AQS","6","39","6","21","48","18"
"02/19/2012","48","PM2.5","Santa Barbara","06-083-0011","AQS","6","39","4","28","48","20"
"02/20/2012","53","PM2.5","Santa Barbara","06-083-0011","AQS","6","41","3","15","53","23"
"02/21/2012","44","Ozone","Carpinteria","06-083-1021","AQS","7","44","4","16","34","29"
"02/22/2012","45","Ozone","Carpinteria","06-083-1021","AQS","7","45","4","24","34","33"
"02/23/2012","46","Ozone","Los Flores Canyon #1","06-083-1025","AQS","7","46","3","33","31","25"
"02/24/2012","50","Ozone","Paradise Road","06-083-1014","AQS","7","50","4","29","45","24"
"02/25/2012","44","Ozone","Paradise Road","06-083-1014","AQS","6","44","3","27","40","19"
"02/26/2012","46","Ozone","Carpinteria","06-083-1021","AQS","6","46","3","21","18","18"
"02/27/2012","44","Ozone","Lompoc HSP","06-083-1013","AQS","6","44","3","20","29","25"
"02/28/2012","44","Ozone","Lompoc HSP","06-083-1013","AQS","5","44","3","22","22","22"
"02/29/2012","44","Ozone","Carpinteria","06-083-1021","AQS","5","44","4","14","19","27"
"03/01/2012","45","Ozone","Carpinteria","06-083-1021","AQS","5","45","3","18","22","25"
"03/02/2012","45","Ozone","Carpinteria","06-083-1021","AQS","6","45","3","15","18","29"
"03/03/2012","54","Ozone","Carpinteria","06-083-1021","AQS","6","54","4","20","26","27"
"03/04/2012","51","Ozone","Lompoc HSP","06-083-1013","AQS","6","51","3","16","23","27"
"03/05/2012","45","Ozone","Paradise Road","06-083-1014","AQS","8","45","4","19","37","36"
"03/06/2012","53","PM2.5","Santa Maria","06-083-1008","AQS","6","44","3","33","53","15"
"03/07/2012","48","Ozone","Lompoc HSP","06-083-1013","AQS","5","48","4","19","20","28"
"03/08/2012","58","Ozone","Lompoc HSP","06-083-1013","AQS","6","58","4","25","24","35"
"03/09/2012","64","Ozone","Lompoc HSP","06-083-1013","AQS","6","64","4","27","31","41"
"03/10/2012","51","Ozone","Carpinteria","06-083-1021","AQS","6","51","6","25","42","20"
"03/11/2012","61","Ozone","Carpinteria","06-083-1021","AQS","6","61","4","19","43","16"
"03/12/2012","58","Ozone","Carpinteria","06-083-1021","AQS","7","58","4","20","49","27"
"03/13/2012","45","Ozone","Carpinteria","06-083-1021","AQS","7","45","3","15","29","19"
"03/14/2012","38","Ozone","Lompoc HSP","06-083-1013","AQS","6","38","4","9","15","19"
"03/15/2012","35","Ozone","Lompoc HSP","06-083-1013","AQS","5","35","3","11","26","10"
"03/16/2012","35","Ozone","VAFB South Base","06-083-4003","AQS","5","35","3","10","29","10"
"03/17/2012","48","Ozone","Lompoc HSP","06-083-1013","AQS","5","48","4","10","12","8"
"03/18/2012","44","Ozone","Lompoc HSP","06-083-1013","AQS","5","44","3","15","16","8"
"03/19/2012","46","Ozone","Carpinteria","06-083-1021","AQS","6","46","4","14","22","26"
"03/20/2012","58","Ozone","Carpinteria","06-083-1021","AQS","6","58","3","14","21","29"
"03/21/2012","74","Ozone","Carpinteria","06-083-1021","AQS","6","74","3","15","28","19"
"03/22/2012","44","Ozone","VAFB South Base","06-083-4003","AQS","8","44","3","18","36","33"
"03/23/2012","43","Ozone","Lompoc HSP","06-083-1013","AQS","5","43","4","16","35","26"
"03/24/2012","45","Ozone","Lompoc HSP","06-083-1013","AQS","5","45","3","12","23","26"
"03/25/2012","48","Ozone","Lompoc HSP","06-083-1013","AQS","6","48","3","6","9","27"
"03/26/2012","49","Ozone","Carpinteria","06-083-1021","AQS","6","49","3","8","13","28"
"03/27/2012","44","Ozone","Lompoc HSP","06-083-1013","AQS","6","44","3","9","11","27"
"03/28/2012","41","Ozone","Lompoc H Street","06-083-2004","AQS","5","41","3","9","12","28"
"03/29/2012","41","Ozone","Lompoc HSP","06-083-1013","AQS","5","41","3","15","33","25"
"03/30/2012","54","PM2.5","Santa Barbara","06-083-0011","AQS","6","42","4","20","54","25"
"03/31/2012","44","Ozone","VAFB South Base","06-083-4003","AQS","6","44","3","12","35","24"
"04/01/2012","48","PM2.5","Santa Maria","06-083-1008","AQS","5","48","3","28","48","23"
"04/02/2012","51","Ozone","Carpinteria","06-083-1021","AQS","5","51","3","28","30","34"
"04/03/2012","58","Ozone","Carpinteria","06-083-1021","AQS","3","58","3","25","40","34"
"04/04/2012","54","Ozone","Carpinteria","06-083-1021","AQS","3","54","3","27","50","31"
"04/05/2012","49","Ozone","Carpinteria","06-083-1021","AQS","3","49","3","25","38","11"
"04/06/2012","51","Ozone","Carpinteria","06-083-1021","AQS","5","51","3","19","31","28"
"04/07/2012","74","Ozone","Paradise Road","06-083-1014","AQS","3","74","3","20","33","15"
"04/08/2012","100","Ozone","Paradise Road","06-083-1014","AQS","3","100","3","18","40","11"
"04/09/2012","80","Ozone","Paradise Road","06-083-1014","AQS","3","80","4","19","41","25"
"04/10/2012","51","Ozone","Paradise Road","06-083-1014","AQS","3","51","3","13","24","21"
"04/11/2012","43","Ozone","Lompoc HSP","06-083-1013","AQS","8","43","3","7","10","15"
"04/12/2012","44","Ozone","Santa Maria","06-083-1008","AQS","9","44","3","12","15","20"
"04/13/2012","51","Ozone","Lompoc HSP","06-083-1013","AQS","5","51","3","10","23","15"
"04/14/2012","49","Ozone","Carpinteria","06-083-1021","AQS","10","49","3","18","29","17"
"04/15/2012","54","Ozone","Carpinteria","06-083-1021","AQS","11","54","4","26","33","17"
"04/16/2012","58","Ozone","Carpinteria","06-083-1021","AQS","7","58","7","20","35","19"
"04/17/2012","49","Ozone","El Capitan","06-083-0008","AQS","7","49","3","20","42","21"
