"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2012","73","PM2.5","Redwood City","06-081-1001","AQS","11","17","73","26"
"01/02/2012","79","PM2.5","Redwood City","06-081-1001","AQS","16","13","79","28"
"01/03/2012","70","PM2.5","Redwood City","06-081-1001","AQS","16","5","70","29"
"01/04/2012","69","PM2.5","Redwood City","06-081-1001","AQS","17","11","69","34"
"01/05/2012","52","PM2.5","Redwood City","06-081-1001","AQS",".",".","52","."
"01/06/2012","56","PM2.5","Redwood City","06-081-1001","AQS","10","12","56","25"
"01/07/2012","44","PM2.5","Redwood City","06-081-1001","AQS","11","23","44","36"
"01/08/2012","30","PM2.5","Redwood City","06-081-1001","AQS","8","27","30","30"
"01/09/2012","69","PM2.5","Redwood City","06-081-1001","AQS","16","10","69","40"
"01/10/2012","98","PM2.5","Redwood City","06-081-1001","AQS","16","8","98","42"
"01/11/2012","74","PM2.5","Redwood City","06-081-1001","AQS","16","5","74","38"
"01/12/2012","55","PM2.5","Redwood City","06-081-1001","AQS",".",".","55","43"
"01/13/2012","76","PM2.5","Redwood City","06-081-1001","AQS","17","12","76","42"
"01/14/2012","82","PM2.5","Redwood City","06-081-1001","AQS","17","12","82","41"
"01/15/2012","40","PM2.5","Redwood City","06-081-1001","AQS","16","32","40","26"
"01/16/2012","32","NO2","Redwood City","06-081-1001","AQS","8","24","29","32"
"01/17/2012","32","NO2","Redwood City","06-081-1001","AQS","11","22","23","32"
"01/18/2012","34","NO2","Redwood City","06-081-1001","AQS","14","24","31","34"
"01/19/2012","34","PM2.5","Redwood City","06-081-1001","AQS","14","21","34","33"
"01/20/2012","29","Ozone","Redwood City","06-081-1001","AQS","6","29","5","21"
"01/21/2012","31","Ozone","Redwood City","06-081-1001","AQS","7","31","27","25"
"01/22/2012","28","Ozone","Redwood City","06-081-1001","AQS","7","28","27","20"
"01/23/2012","30","Ozone","Redwood City","06-081-1001","AQS","6","30","17","15"
"01/24/2012","38","PM2.5","Redwood City","06-081-1001","AQS","8","17","38","27"
"01/25/2012","50","PM2.5","Redwood City","06-081-1001","AQS","10","16","50","30"
"01/26/2012","25","PM2.5","Redwood City","06-081-1001","AQS","9","11","25","24"
"01/27/2012","39","PM2.5","Redwood City","06-081-1001","AQS","9","19","39","33"
"01/28/2012","35","PM2.5","Redwood City","06-081-1001","AQS","10","24","35","28"
"01/29/2012","66","PM2.5","Redwood City","06-081-1001","AQS","11","20","66","32"
"01/30/2012","44","PM2.5","Redwood City","06-081-1001","AQS","15","22","44","37"
"01/31/2012","25","PM2.5","Redwood City","06-081-1001","AQS","7","24","25","18"
"02/01/2012","31","PM2.5","Redwood City","06-081-1001","AQS","8","22","31","29"
"02/02/2012","36","NO2","Redwood City","06-081-1001","AQS","13","25","31","36"
"02/03/2012","45","PM2.5","Redwood City","06-081-1001","AQS","16","19","45","36"
"02/04/2012","60","PM2.5","Redwood City","06-081-1001","AQS","9","23","60","38"
"02/05/2012","55","PM2.5","Redwood City","06-081-1001","AQS","9","25","55","35"
"02/06/2012","40","NO2","Redwood City","06-081-1001","AQS","15","20",".","40"
"02/07/2012","30","Ozone","Redwood City","06-081-1001","AQS","6","30",".","25"
"02/08/2012","34","NO2","Redwood City","06-081-1001","AQS","10","19",".","34"
"02/09/2012","37","NO2","Redwood City","06-081-1001","AQS","13","15","30","37"
"02/10/2012","30","NO2","Redwood City","06-081-1001","AQS","11","28",".","30"
"02/11/2012","29","Ozone","Redwood City","06-081-1001","AQS","5","29",".","7"
"02/12/2012","31","Ozone","Redwood City","06-081-1001","AQS","6","31",".","16"
"02/13/2012","30","Ozone","Redwood City","06-081-1001","AQS","6","30",".","22"
"02/14/2012","29","Ozone","Redwood City","06-081-1001","AQS","9","29",".","25"
"02/15/2012","20","PM2.5","Redwood City","06-081-1001","AQS",".",".","20","."
"02/16/2012","29","NO2","Redwood City","06-081-1001","AQS","8","28","19","29"
"02/17/2012","31","PM2.5","Redwood City","06-081-1001","AQS",".",".","31","."
"02/18/2012","31","Ozone","Redwood City","06-081-1001","AQS","6","31","30","14"
"02/19/2012","31","Ozone","Redwood City","06-081-1001","AQS","6","31","25","20"
"02/20/2012","28","PM2.5","Redwood City","06-081-1001","AQS","7","26","28","23"
"02/21/2012","44","PM2.5","Redwood City","06-081-1001","AQS",".",".","44","25"
"02/22/2012","35","PM2.5","Redwood City","06-081-1001","AQS","17","19","35","27"
"02/23/2012","34","NO2","Redwood City","06-081-1001","AQS","9","28","28","34"
"02/24/2012","36","NO2","Redwood City","06-081-1001","AQS","8","32","19","36"
"02/25/2012","32","PM2.5","Redwood City","06-081-1001","AQS","6","31","32","26"
"02/26/2012","36","Ozone","Redwood City","06-081-1001","AQS","6","36","28","21"
"02/27/2012","36","NO2","Redwood City","06-081-1001","AQS","10","32","27","36"
"02/28/2012","37","Ozone","Redwood City","06-081-1001","AQS","7","37","23","33"
"02/29/2012","37","Ozone","Redwood City","06-081-1001","AQS",".","37","16","."
"03/01/2012","35","Ozone","Redwood City","06-081-1001","AQS","6","35","18","26"
"03/02/2012","33","NO2","Redwood City","06-081-1001","AQS","9","31","21","33"
"03/03/2012","33","NO2","Redwood City","06-081-1001","AQS","8","32","29","33"
"03/04/2012","45","PM2.5","Redwood City","06-081-1001","AQS","9","41","45","36"
"03/05/2012","30","Ozone","Redwood City","06-081-1001","AQS","9","30","23","22"
"03/06/2012","34","Ozone","Redwood City","06-081-1001","AQS","5","34","20","14"
"03/07/2012","35","Ozone","Redwood City","06-081-1001","AQS","6","35","15","28"
"03/08/2012","42","NO2","Redwood City","06-081-1001","AQS","11","32","31","42"
"03/09/2012","44","PM2.5","Redwood City","06-081-1001","AQS","9","34","44","29"
"03/10/2012","36","Ozone","Redwood City","06-081-1001","AQS","7","36","22","33"
"03/11/2012","39","Ozone","Redwood City","06-081-1001","AQS","6","39","18","25"
"03/12/2012","38","Ozone","Redwood City","06-081-1001","AQS","9","38","28","25"
"03/13/2012","32","Ozone","Redwood City","06-081-1001","AQS","5","32","3","11"
"03/14/2012","24","Ozone","Redwood City","06-081-1001","AQS","6","24","6","20"
"03/15/2012","30","Ozone","Redwood City","06-081-1001","AQS","7","30","10","25"
"03/16/2012","30","Ozone","Redwood City","06-081-1001","AQS","3","30","8","8"
"03/17/2012","41","Ozone","Redwood City","06-081-1001","AQS","6","41","13","22"
"03/18/2012","39","Ozone","Redwood City","06-081-1001","AQS","2","39","13","5"
"03/19/2012","33","Ozone","Redwood City","06-081-1001","AQS","8","33","15","28"
"03/20/2012","27","Ozone","Redwood City","06-081-1001","AQS","6","27","20","27"
"03/21/2012","22","PM2.5","Redwood City","06-081-1001","AQS","7","21","22","21"
"03/22/2012","39","Ozone","Redwood City","06-081-1001","AQS","5","39","12","19"
"03/23/2012","39","Ozone","Redwood City","06-081-1001","AQS","6","39","10","23"
"03/24/2012","38","Ozone","Redwood City","06-081-1001","AQS","5","38","6","11"
"03/25/2012","37","Ozone","Redwood City","06-081-1001","AQS","5","37","10","12"
"03/26/2012","39","Ozone","Redwood City","06-081-1001","AQS","7","39","12","27"
"03/27/2012","35","Ozone","Redwood City","06-081-1001","AQS","5","35","10","21"
"03/28/2012","39","Ozone","Redwood City","06-081-1001","AQS","7","39","29","23"
"03/29/2012","43","PM2.5","Redwood City","06-081-1001","AQS","8","30","43","21"
"03/30/2012","32","Ozone","Redwood City","06-081-1001","AQS","7","32","24","17"
"03/31/2012","43","Ozone","Redwood City","06-081-1001","AQS","3","43","18","5"
"04/01/2012","42","PM2.5","Redwood City","06-081-1001","AQS","5","40","42","16"
"04/02/2012","34","Ozone","Redwood City","06-081-1001","AQS","8","34","25","25"
"04/03/2012","39","Ozone","Redwood City","06-081-1001","AQS","6","39","23","25"
"04/04/2012","37","Ozone","Redwood City","06-081-1001","AQS","6","37","14","28"
"04/05/2012","36","Ozone","Redwood City","06-081-1001","AQS","5","36","14","20"
"04/06/2012","31","Ozone","Redwood City","06-081-1001","AQS","7","31","18","24"
"04/07/2012","42","Ozone","Redwood City","06-081-1001","AQS","6","42","27","25"
"04/08/2012","42","Ozone","Redwood City","06-081-1001","AQS","6","42","30","21"
"04/09/2012","45","Ozone","Redwood City","06-081-1001","AQS","8","45","29","30"
"04/10/2012","30","Ozone","Redwood City","06-081-1001","AQS","6","30","15","23"
"04/11/2012","37","Ozone","Redwood City","06-081-1001","AQS","6","37","9","26"
"04/12/2012","46","Ozone","Redwood City","06-081-1001","AQS","5","46","20","17"
"04/13/2012","45","Ozone","Redwood City","06-081-1001","AQS","5","45","13","19"
"04/14/2012","42","Ozone","Redwood City","06-081-1001","AQS","5","42","18","13"
"04/15/2012","34","Ozone","Redwood City","06-081-1001","AQS","6","34","28","15"
"04/16/2012","34","Ozone","Redwood City","06-081-1001","AQS","7","34","23","27"
"04/17/2012","32","Ozone","Redwood City","06-081-1001","AQS","5","32","18","16"
"04/18/2012","35","Ozone","Redwood City","06-081-1001","AQS","5","35","23","21"
"04/19/2012","23","Ozone","Redwood City","06-081-1001","AQS","5","23","18","17"
"04/20/2012","25","Ozone","Redwood City","06-081-1001","AQS","7","25","22","25"
"04/21/2012","35","PM2.5","Redwood City","06-081-1001","AQS","6","33","35","21"
"04/22/2012","31","Ozone","Redwood City","06-081-1001","AQS","6","31","19","24"
"04/23/2012","29","Ozone","Redwood City","06-081-1001","AQS","3","29","9","5"
"04/24/2012","23","Ozone","Redwood City","06-081-1001","AQS","3","23","7","16"
"04/25/2012","18","Ozone","Redwood City","06-081-1001","AQS","5","18","9","13"
"04/26/2012","43","Ozone","Redwood City","06-081-1001","AQS","3","43","10","10"
"04/27/2012","33","Ozone","Redwood City","06-081-1001","AQS","3","33","24","20"
"04/28/2012","32","Ozone","Redwood City","06-081-1001","AQS","5","32","28","12"
"04/29/2012","39","PM2.5","Redwood City","06-081-1001","AQS","5","27","39","11"
"04/30/2012","35","Ozone","Redwood City","06-081-1001","AQS","5","35","28","15"
"05/01/2012","41","Ozone","Redwood City","06-081-1001","AQS","5","41","28","18"
"05/02/2012","43","Ozone","Redwood City","06-081-1001","AQS","6","43","19","23"
"05/03/2012","30","Ozone","Redwood City","06-081-1001","AQS","3","30","10","18"
"05/04/2012","40","Ozone","Redwood City","06-081-1001","AQS","3","40","15","12"
"05/05/2012","44","Ozone","Redwood City","06-081-1001","AQS","5","44","35","25"
"05/06/2012","50","Ozone","Redwood City","06-081-1001","AQS","6","50","38","21"
"05/07/2012","52","PM2.5","Redwood City","06-081-1001","AQS","7","49","52","23"
"05/08/2012","56","PM2.5","Redwood City","06-081-1001","AQS","5","38","56","18"
"05/09/2012","60","PM2.5","Redwood City","06-081-1001","AQS","6","32","60","28"
"05/10/2012","55","PM2.5","Redwood City","06-081-1001","AQS","5","50","55","16"
"05/11/2012","62","PM2.5","Redwood City","06-081-1001","AQS","6","37","62","26"
"05/12/2012","48","PM2.5","Redwood City","06-081-1001","AQS","5","35","48","22"
"05/13/2012","42","PM2.5","Redwood City","06-081-1001","AQS","3","36","42","8"
"05/14/2012","33","Ozone","Redwood City","06-081-1001","AQS","5","33","28","25"
"05/15/2012","33","PM2.5","Redwood City","06-081-1001","AQS","5","30","33","18"
"05/16/2012","40","PM2.5","Redwood City","06-081-1001","AQS","3","30","40","19"
"05/17/2012","56","PM2.5","Redwood City","06-081-1001","AQS","3","37","56","20"
"05/18/2012","58","PM2.5","Redwood City","06-081-1001","AQS","5","33","58","22"
"05/19/2012","53","PM2.5","Redwood City","06-081-1001","AQS","5","39","53","19"
"05/20/2012","34","PM2.5","Redwood City","06-081-1001","AQS","5","34","34","12"
"05/21/2012","24","Ozone","Redwood City","06-081-1001","AQS","3","24","10","9"
"05/22/2012","36","Ozone","Redwood City","06-081-1001","AQS","3","36","18","15"
"05/23/2012","35","Ozone","Redwood City","06-081-1001","AQS","3","35","29","8"
"05/24/2012","35","Ozone","Redwood City","06-081-1001","AQS","5","35","20","20"
"05/25/2012","33","Ozone","Redwood City","06-081-1001","AQS","3","33","21","10"
"05/26/2012","32","Ozone","Redwood City","06-081-1001","AQS","5","32","19","10"
"05/27/2012","31","Ozone","Redwood City","06-081-1001","AQS","3","31","20","6"
"05/28/2012","37","Ozone","Redwood City","06-081-1001","AQS","3","37","14","5"
