"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2012","74","PM2.5","San Rafael","06-041-0001","AQS","8","25",".","74","36"
"01/02/2012","54","PM2.5","San Rafael","06-041-0001","AQS","8","22",".","54","29"
"01/03/2012","47","PM2.5","San Rafael","06-041-0001","AQS","8","12",".","47","29"
"01/04/2012","40","PM2.5","San Rafael","06-041-0001","AQS","9","12","13","40","34"
"01/05/2012","34","PM2.5","San Rafael","06-041-0001","AQS","8","19",".","34","33"
"01/06/2012","54","PM2.5","San Rafael","06-041-0001","AQS","8","10",".","54","25"
"01/07/2012","42","NO2","San Rafael","06-041-0001","AQS","9","27",".","35","42"
"01/08/2012","31","NO2","San Rafael","06-041-0001","AQS","9","21",".","25","31"
"01/09/2012","77","PM2.5","San Rafael","06-041-0001","AQS","10","23",".","77","43"
"01/10/2012","81","PM2.5","San Rafael","06-041-0001","AQS","10","24","30","81","42"
"01/11/2012","46","PM2.5","San Rafael","06-041-0001","AQS","11","14",".","46","43"
"01/12/2012","49","NO2","San Rafael","06-041-0001","AQS","13","19",".","40","49"
"01/13/2012","56","PM2.5","San Rafael","06-041-0001","AQS","11","21",".","56","41"
"01/14/2012","68","PM2.5","San Rafael","06-041-0001","AQS","10","19",".","68","37"
"01/15/2012","38","PM2.5","San Rafael","06-041-0001","AQS","9","29",".","38","29"
"01/16/2012","35","NO2","San Rafael","06-041-0001","AQS","6","26","7","23","35"
"01/17/2012","43","NO2","San Rafael","06-041-0001","AQS","9","18",".","35","43"
"01/18/2012","46","PM2.5","San Rafael","06-041-0001","AQS","10","14",".","46","36"
"01/19/2012","40","PM2.5","San Rafael","06-041-0001","AQS","10","19",".","40","34"
"01/20/2012","31","Ozone","San Rafael","06-041-0001","AQS","7","31",".","13","24"
"01/21/2012","35","PM2.5","San Rafael","06-041-0001","AQS","6","31",".","35","25"
"01/22/2012","30","PM2.5","San Rafael","06-041-0001","AQS","7","28","9","30","21"
"01/23/2012","27","PM2.5","San Rafael","06-041-0001","AQS","5","26",".","27","17"
"01/24/2012","35","PM2.5","San Rafael","06-041-0001","AQS","7","14",".","35","26"
"01/25/2012","40","PM2.5","San Rafael","06-041-0001","AQS","6","16",".","40","23"
"01/26/2012","21","NO2","San Rafael","06-041-0001","AQS","5","15",".","17","21"
"01/27/2012","31","PM2.5","San Rafael","06-041-0001","AQS","8","13",".","31","27"
"01/28/2012","36","PM2.5","San Rafael","06-041-0001","AQS","8","27","9","36","31"
"01/29/2012","52","PM2.5","San Rafael","06-041-0001","AQS","8","25",".","52","25"
"01/30/2012","37","PM2.5","San Rafael","06-041-0001","AQS","8","21",".","37","32"
"01/31/2012","40","PM2.5","San Rafael","06-041-0001","AQS","5","22",".","40","21"
"02/01/2012","25","NO2","San Rafael","06-041-0001","AQS",".","23",".","19","25"
"02/02/2012","28","NO2","San Rafael","06-041-0001","AQS","7","19",".","24","28"
"02/03/2012","46","PM2.5","San Rafael","06-041-0001","AQS","8","25","12","46","32"
"02/04/2012","44","PM2.5","San Rafael","06-041-0001","AQS","8","31",".","44","33"
"02/05/2012","35","PM2.5","San Rafael","06-041-0001","AQS","8","34",".","35","31"
"02/06/2012","35","PM2.5","San Rafael","06-041-0001","AQS","7","22",".","35","35"
"02/07/2012","30","PM2.5","San Rafael","06-041-0001","AQS","6","20",".","30","27"
"02/08/2012","29","PM2.5","San Rafael","06-041-0001","AQS","7","25",".","29","25"
"02/09/2012","32","NO2","San Rafael","06-041-0001","AQS","7","29","9","30","32"
"02/10/2012","29","NO2","San Rafael","06-041-0001","AQS","6","26",".","27","29"
"02/11/2012","27","Ozone","San Rafael","06-041-0001","AQS","5","27",".","17","13"
"02/12/2012","34","Ozone","San Rafael","06-041-0001","AQS","5","34",".","21","14"
"02/13/2012","33","Ozone","San Rafael","06-041-0001","AQS","5","33",".","28","16"
"02/14/2012","30","Ozone","San Rafael","06-041-0001","AQS","5","30",".","26","23"
"02/15/2012","30","NO2","San Rafael","06-041-0001","AQS","6","29","7","20","30"
"02/16/2012","39","NO2","San Rafael","06-041-0001","AQS","7","31",".","20","39"
"02/17/2012","36","PM2.5","San Rafael","06-041-0001","AQS","7","26",".","36","25"
"02/18/2012","36","PM2.5","San Rafael","06-041-0001","AQS","3","29",".","36","7"
"02/19/2012","29","Ozone","San Rafael","06-041-0001","AQS","5","29",".","28","14"
"02/20/2012","28","PM2.5","San Rafael","06-041-0001","AQS","5","24",".","28","18"
"02/21/2012","30","PM2.5","San Rafael","06-041-0001","AQS","7","12","9","30","24"
"02/22/2012","31","PM2.5","San Rafael","06-041-0001","AQS","10","22",".","31","27"
"02/23/2012","28","Ozone","San Rafael","06-041-0001","AQS","5","28",".","24","27"
"02/24/2012","45","PM2.5","Point Reyes NS Ranger Station","06-041-0002","AQS","8","32",".","45","40"
"02/25/2012","37","PM2.5","San Rafael","06-041-0001","AQS","3","31",".","37","12"
"02/26/2012","33","Ozone","San Rafael","06-041-0001","AQS","5","33",".","32","22"
"02/27/2012","28","NO2","San Rafael","06-041-0001","AQS","6","27","15","26","28"
"02/28/2012","37","Ozone","San Rafael","06-041-0001","AQS","3","37",".","26","22"
"02/29/2012","30","Ozone","San Rafael","06-041-0001","AQS",".","30",".","25","25"
"03/01/2012","31","Ozone","San Rafael","06-041-0001","AQS","5","31",".","24","26"
"03/02/2012","34","NO2","San Rafael","06-041-0001","AQS","7","30",".","24","34"
"03/03/2012","32","Ozone","San Rafael","06-041-0001","AQS","7","32",".","22","26"
"03/04/2012","41","Ozone","San Rafael","06-041-0001","AQS","6","41","8","28","29"
"03/05/2012","31","Ozone","San Rafael","06-041-0001","AQS","7","31",".","23","26"
"03/06/2012","34","Ozone","San Rafael","06-041-0001","AQS","3","34",".","20","16"
"03/07/2012","38","Ozone","San Rafael","06-041-0001","AQS","5","38",".","19","32"
"03/08/2012","33","Ozone","San Rafael","06-041-0001","AQS","7","33",".","28","33"
"03/09/2012","44","Ozone","San Rafael","06-041-0001","AQS","7","44",".","42","34"
"03/10/2012","32","Ozone","San Rafael","06-041-0001","AQS","3","32","10","25","28"
"03/11/2012","36","Ozone","San Rafael","06-041-0001","AQS","3","36",".","26","15"
"03/12/2012","39","Ozone","San Rafael","06-041-0001","AQS","6","39",".","33","29"
"03/13/2012","36","Ozone","San Rafael","06-041-0001","AQS","3","36",".","10","5"
"03/14/2012","31","Ozone","San Rafael","06-041-0001","AQS","5","31",".","7","8"
"03/15/2012","27","Ozone","San Rafael","06-041-0001","AQS","5","27",".","7","15"
"03/16/2012","27","Ozone","San Rafael","06-041-0001","AQS","5","27","3","14","19"
"03/17/2012","40","Ozone","San Rafael","06-041-0001","AQS","6","40",".","23","19"
"03/18/2012","39","Ozone","San Rafael","06-041-0001","AQS","3","39",".","20","8"
"03/19/2012","32","Ozone","San Rafael","06-041-0001","AQS","5","32",".","21","31"
"03/20/2012","28","Ozone","San Rafael","06-041-0001","AQS","5","28",".","24","28"
"03/21/2012","24","PM2.5","San Rafael","06-041-0001","AQS",".",".",".","24","."
"03/22/2012","36","Ozone","San Rafael","06-041-0001","AQS","3","36","6","15","20"
"03/23/2012","40","Ozone","San Rafael","06-041-0001","AQS","6","40",".","18","32"
"03/24/2012","37","Ozone","San Rafael","06-041-0001","AQS","5","37",".","13","14"
"03/25/2012","38","Ozone","San Rafael","06-041-0001","AQS","5","38",".","13","10"
"03/26/2012","40","Ozone","San Rafael","06-041-0001","AQS","6","40",".","14","26"
"03/27/2012","40","Ozone","San Rafael","06-041-0001","AQS","3","40",".","12","23"
"03/28/2012","37","PM2.5","San Rafael","06-041-0001","AQS","5","37","18","37","20"
"03/29/2012","40","PM2.5","San Rafael","06-041-0001","AQS","5","31",".","40","29"
"03/30/2012","33","Ozone","San Rafael","06-041-0001","AQS","3","33",".","31","16"
"03/31/2012","42","Ozone","San Rafael","06-041-0001","AQS","3","42",".","34","14"
"04/01/2012","43","PM2.5","San Rafael","06-041-0001","AQS","3","38",".","43","10"
