"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2012","47","Ozone","Davenport","06-087-0003","AQS","47","24"
"01/02/2012","55","PM2.5","Santa Cruz","06-087-0007","AQS","46","55"
"01/03/2012","44","PM2.5","Santa Cruz","06-087-0007","AQS","17","44"
"01/04/2012","41","PM2.5","Santa Cruz","06-087-0007","AQS","20","41"
"01/05/2012","46","PM2.5","Santa Cruz","06-087-0007","AQS","31","46"
"01/06/2012","36","PM2.5","Santa Cruz","06-087-0007","AQS","24","36"
"01/07/2012","31","Ozone","Davenport","06-087-0003","AQS","31","20"
"01/08/2012","31","Ozone","Davenport","06-087-0003","AQS","31","18"
"01/09/2012","32","Ozone","Davenport","06-087-0003","AQS","32","27"
"01/10/2012","32","PM2.5","Santa Cruz","06-087-0007","AQS","28","32"
"01/11/2012","41","PM2.5","Santa Cruz","06-087-0007","AQS","31","41"
"01/12/2012","30","PM2.5","Santa Cruz","06-087-0007","AQS","29","30"
"01/13/2012","32","Ozone","Davenport","06-087-0003","AQS","32","29"
"01/14/2012","36","PM2.5","Santa Cruz","06-087-0007","AQS","33","36"
"01/15/2012","35","Ozone","Davenport","06-087-0003","AQS","35","26"
"01/16/2012","32","Ozone","Davenport","06-087-0003","AQS","32","10"
"01/17/2012","32","Ozone","Davenport","06-087-0003","AQS","32","19"
"01/18/2012","32","Ozone","Davenport","06-087-0003","AQS","32","20"
"01/19/2012","43","PM2.5","Santa Cruz","06-087-0007","AQS","31","43"
"01/20/2012","32","Ozone","Davenport","06-087-0003","AQS","32","13"
"01/21/2012","34","Ozone","Davenport","06-087-0003","AQS","34","21"
"01/22/2012","33","Ozone","Davenport","06-087-0003","AQS","33","21"
"01/23/2012","36","Ozone","Davenport","06-087-0003","AQS","36","14"
"01/24/2012","25","Ozone","Davenport","06-087-0003","AQS","25","23"
"01/25/2012","37","PM2.5","Santa Cruz","06-087-0007","AQS","25","37"
"01/26/2012","37","PM2.5","Santa Cruz","06-087-0007","AQS","18","37"
"01/27/2012","23","Ozone","Davenport","06-087-0003","AQS","23","20"
"01/28/2012","27","Ozone","Davenport","06-087-0003","AQS","27","19"
"01/29/2012","29","Ozone","Davenport","06-087-0003","AQS","29","26"
"01/30/2012","41","PM2.5","Santa Cruz","06-087-0007","AQS","30","41"
"01/31/2012","29","Ozone","Davenport","06-087-0003","AQS","29","20"
"02/01/2012","27","PM2.5","Santa Cruz","06-087-0007","AQS","25","27"
