"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/01/2012","87","PM2.5","Quincy-N Church Street","06-063-1006","AQS","87"
"01/04/2012","105","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","105"
"01/07/2012","89","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","89"
"01/10/2012","95","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","95"
"01/13/2012","84","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","84"
"01/16/2012","107","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","107"
"01/19/2012","93","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","93"
"01/22/2012","84","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","84"
"01/25/2012","124","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","124"
"01/28/2012","89","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","89"
"01/31/2012","102","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","102"
"02/03/2012","79","PM2.5","Quincy-N Church Street","06-063-1006","AQS","79"
"02/06/2012","98","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","98"
"02/09/2012","91","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","91"
"02/12/2012","92","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","92"
"02/15/2012","87","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","87"
"02/18/2012","80","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","80"
"02/21/2012","89","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","89"
"02/24/2012","40","PM2.5","Quincy-N Church Street","06-063-1006","AQS","40"
"02/27/2012","84","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","84"
"03/01/2012","56","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","56"
"03/04/2012","105","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","105"
"03/07/2012","80","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","80"
"03/10/2012","110","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","110"
"03/13/2012","50","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","50"
"03/16/2012","4","PM2.5","Quincy-N Church Street","06-063-1006","AQS","4"
"03/19/2012","49","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","49"
"03/22/2012","38","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","38"
"03/25/2012","60","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","60"
"03/28/2012","24","PM2.5","Quincy-N Church Street","06-063-1006","AQS","24"
"03/31/2012","21","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","21"
"04/03/2012","63","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","63"
"04/06/2012","25","PM2.5","Quincy-N Church Street","06-063-1006","AQS","25"
"04/09/2012","71","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","71"
"04/12/2012","16","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","16"
"04/15/2012","80","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","80"
"04/21/2012","17","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","17"
"04/24/2012","33","PM2.5","Quincy-N Church Street","06-063-1006","AQS","33"
"04/27/2012","45","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","45"
"04/30/2012","32","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","32"
"05/03/2012","38","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","38"
"05/06/2012","35","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","35"
"05/09/2012","30","PM2.5","Quincy-N Church Street","06-063-1006","AQS","30"
"05/12/2012","17","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","17"
"05/15/2012","30","PM2.5","Quincy-N Church Street","06-063-1006","AQS","30"
"05/18/2012","35","PM2.5","Quincy-N Church Street","06-063-1006","AQS","35"
"05/21/2012","27","PM2.5","Quincy-N Church Street","06-063-1006","AQS","27"
"05/24/2012","18","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","18"
"05/27/2012","29","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","29"
"05/30/2012","20","PM2.5","Quincy-N Church Street","06-063-1006","AQS","20"
"06/02/2012","27","PM2.5","Quincy-N Church Street","06-063-1006","AQS","27"
"06/05/2012","25","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","25"
"06/08/2012","14","PM2.5","Quincy-N Church Street","06-063-1006","AQS","14"
"06/11/2012","14","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","14"
"06/14/2012","19","PM2.5","Quincy-N Church Street","06-063-1006","AQS","19"
"06/17/2012","20","PM2.5","Quincy-N Church Street","06-063-1006","AQS","20"
"06/20/2012","17","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","17"
"06/23/2012","4","PM2.5","Quincy-N Church Street","06-063-1006","AQS","4"
