"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2011","44","PM2.5","Paradise - Theater","06-007-2002","AQS","3","32",".","44","9"
"01/02/2011","35","PM2.5","Paradise - Theater","06-007-2002","AQS","11","33",".","35","17"
"01/03/2011","117","PM2.5","Chico-Manzanita Ave.","06-007-0002","AQS","19","34","40","117","26"
"01/04/2011","57","PM2.5","Paradise - Theater","06-007-2002","AQS","16","34",".","57","25"
"01/05/2011","59","PM2.5","Paradise - Theater","06-007-2002","AQS","17","32",".","59","25"
"01/06/2011","69","PM2.5","Paradise - Theater","06-007-2002","AQS","24","28",".","69","21"
"01/07/2011","71","PM2.5","Paradise - Theater","06-007-2002","AQS","5","8",".","71","17"
"01/08/2011","75","PM2.5","Paradise - Theater","06-007-2002","AQS","5","11",".","75","10"
"01/09/2011","74","PM2.5","Chico-Manzanita Ave.","06-007-0002","AQS","9","29","22","74","21"
"01/10/2011","63","PM2.5","Paradise - Theater","06-007-2002","AQS","10","34",".","63","20"
"01/11/2011","53","PM2.5","Paradise - Theater","06-007-2002","AQS","10","35",".","53","20"
"01/12/2011","57","PM2.5","Paradise - Theater","06-007-2002","AQS","7","31",".","57","24"
"01/13/2011","55","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","10","26",".","55","19"
"01/14/2011","44","PM2.5","Paradise - Theater","06-007-2002","AQS","6","31",".","44","18"
"01/15/2011","59","PM2.5","Chico-Manzanita Ave.","06-007-0002","AQS","7","22","21","59","15"
"01/16/2011","68","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","5","7",".","68","11"
"01/17/2011","43","Ozone","Paradise - Airport","06-007-0007","AQS","5","43",".","32","9"
"01/18/2011","46","PM2.5","Chico-Manzanita Ave.","06-007-0002","AQS","7","41",".","46","21"
"01/19/2011","43","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","6","41",".","43","19"
"01/20/2011","58","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","7","40",".","58","25"
"01/21/2011","83","PM2.5","Chico-Manzanita Ave.","06-007-0002","AQS","10","31","33","83","28"
"01/22/2011","49","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","10","42",".","49","21"
"01/23/2011","85","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","10","40",".","85","25"
"01/24/2011","69","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","10","36",".","69","27"
"01/25/2011","75","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","10","41",".","75","24"
"01/26/2011","91","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","13","37",".","91","27"
"01/27/2011","132","PM2.5","Chico-Manzanita Ave.","06-007-0002","AQS","19","31","46","132","29"
"01/28/2011","63","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","16","30",".","63","18"
"01/29/2011","62","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","5","22",".","62","12"
"01/30/2011","50","PM2.5","Paradise - Theater","06-007-2002","AQS","9","32",".","50","17"
"01/31/2011","51","PM2.5","Paradise - Theater","06-007-2002","AQS","13","38",".","51","23"
"02/01/2011","42","Ozone","Paradise - Airport","06-007-0007","AQS","11","42",".","25","29"
"02/02/2011","87","PM2.5","Chico-Manzanita Ave.","06-007-0002","AQS","14","42","33","87","31"
"02/03/2011","63","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","15","39",".","63","30"
"02/04/2011","75","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","11","39",".","75","25"
"02/05/2011","45","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","9","39",".","45","14"
"02/06/2011","37","Ozone","Paradise - Airport","06-007-0007","AQS","5","37",".","29","18"
"02/07/2011","59","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","6","41",".","59","22"
"02/08/2011","40","Ozone","Paradise - Airport","06-007-0007","AQS","2","40","6","10","13"
"02/09/2011","39","Ozone","Paradise - Airport","06-007-0007","AQS","6","39",".","15","25"
"02/10/2011","40","Ozone","Paradise - Airport","06-007-0007","AQS","9","40",".","34","28"
"02/11/2011","61","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","8","42",".","61","29"
"02/12/2011","74","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","9","46",".","74","22"
"02/13/2011","61","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","7","47",".","61","21"
"02/14/2011","44","Ozone","Paradise - Airport","06-007-0007","AQS","2","44","10","34","10"
"02/15/2011","40","Ozone","Paradise - Airport","06-007-0007","AQS","2","40",".","31","8"
"02/16/2011","39","Ozone","Paradise - Airport","06-007-0007","AQS","2","39",".","12","12"
"02/17/2011","40","Ozone","Paradise - Airport","06-007-0007","AQS","2","40",".","15","23"
"02/18/2011","38","Ozone","Paradise - Airport","06-007-0007","AQS","3","38",".","33","15"
"02/19/2011","39","PM2.5","Paradise - Theater","06-007-2002","AQS","5","37",".","39","13"
"02/20/2011","70","PM2.5","Chico-Manzanita Ave.","06-007-0002","AQS","11","37","19","70","19"
"02/21/2011","53","PM2.5","Paradise - Theater","06-007-2002","AQS","6","37",".","53","20"
"02/22/2011","52","PM2.5","Paradise - Theater","06-007-2002","AQS","10","39",".","52","17"
"02/23/2011","39","Ozone","Paradise - Airport","06-007-0007","AQS","7","39",".","36","29"
"02/24/2011","38","Ozone","Paradise - Airport","06-007-0007","AQS","5","38",".","31","17"
"02/25/2011","40","Ozone","Paradise - Airport","06-007-0007","AQS","3","40",".","20","9"
"02/26/2011","46","PM2.5","Paradise - Theater","06-007-2002","AQS","5","40","10","46","13"
"02/27/2011","40","Ozone","Paradise - Airport","06-007-0007","AQS","8","40",".","34","18"
"02/28/2011","47","PM2.5","Paradise - Theater","06-007-2002","AQS","3","42",".","47","10"
"03/01/2011","47","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","5","46",".","47","18"
"03/02/2011","42","Ozone","Paradise - Airport","06-007-0007","AQS","2","42",".","34","8"
"03/03/2011","49","PM2.5","Paradise - Theater","06-007-2002","AQS","2","42",".","49","14"
"03/04/2011","42","PM2.5","Paradise - Theater","06-007-2002","AQS","5","36","12","42","20"
"03/05/2011","38","Ozone","Paradise - Airport","06-007-0007","AQS","5","38",".","36","14"
"03/06/2011","38","Ozone","Paradise - Airport","06-007-0007","AQS","3","38",".","23","9"
"03/07/2011","41","Ozone","Paradise - Airport","06-007-0007","AQS","3","41",".","14","18"
"03/08/2011","38","Ozone","Paradise - Airport","06-007-0007","AQS","2","38",".","27","14"
"03/09/2011","50","PM2.5","Paradise - Theater","06-007-2002","AQS","3","36",".","50","12"
"03/10/2011","39","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","3","31","9","39","8"
"03/11/2011","39","Ozone","Paradise - Airport","06-007-0007","AQS","3","39",".","35","15"
"03/12/2011","49","PM2.5","Paradise - Theater","06-007-2002","AQS","3","44",".","49","17"
"03/13/2011","38","PM2.5","TRAFFIC, RURAL PAVED ROAD","06-007-4001","AQS","3","38",".","38","6"
"03/14/2011","38","PM2.5","Paradise - Theater","06-007-2002","AQS","5","36",".","38","15"
"03/15/2011","44","Ozone","Paradise - Airport","06-007-0007","AQS","5","44",".","32","9"
"03/16/2011","44","PM2.5","Paradise - Theater","06-007-2002","AQS","3","42","6","44","11"
"03/17/2011","47","PM2.5","Paradise - Theater","06-007-2002","AQS","6","44",".","47","19"
"03/18/2011","49","Ozone","Paradise - Airport","06-007-0007","AQS","2","49",".","28","8"
"03/19/2011","48","Ozone","Paradise - Airport","06-007-0007","AQS","2","48",".","18","4"
"03/20/2011","49","Ozone","Paradise - Airport","06-007-0007","AQS","5","49",".",".","13"
"03/21/2011","41","Ozone","Paradise - Airport","06-007-0007","AQS","5","41",".","32","10"
"03/22/2011","43","Ozone","Paradise - Airport","06-007-0007","AQS","2","43","8","29","8"
"03/23/2011","42","Ozone","Paradise - Airport","06-007-0007","AQS","3","42",".","20","6"
"03/24/2011","45","Ozone","Paradise - Airport","06-007-0007","AQS","3","45",".","20","6"
