"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"01/01/2011","38","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","1","13","38","9"
"01/02/2011","38","Ozone","Red Hills","06-079-8005","AQS","38","1","8","28","13"
"01/03/2011","37","Ozone","Red Hills","06-079-8005","AQS","37","1","13","35","24"
"01/04/2011","43","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","3","16","43","20"
"01/05/2011","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","3","21","53","17"
"01/06/2011","44","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","3","20","44","24"
"01/07/2011","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","1","31","53","26"
"01/08/2011","62","PM2.5","Atascadero (original site)","06-079-8001","AQS","31","1","25","62","20"
"01/09/2011","47","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","28","3","14","47","8"
"01/10/2011","55","PM2.5","Atascadero (original site)","06-079-8001","AQS","30","1","19","55","22"
"01/11/2011","72","PM2.5","Atascadero (original site)","06-079-8001","AQS","38","1","31","72","29"
"01/12/2011","47","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","4","25","47","29"
"01/13/2011","57","PM2.5","Atascadero (original site)","06-079-8001","AQS","38","3","25","57","23"
"01/14/2011","36","PM2.5","Atascadero (original site)","06-079-8001","AQS","32","1","12","36","16"
"01/15/2011","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","33","1","19","45","20"
"01/16/2011","39","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","28","4","31","39","16"
"01/17/2011","38","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","32","3","27","38","19"
"01/18/2011","45","PM2.5","Atascadero (original site)","06-079-8001","AQS","31","1","23","45","17"
"01/19/2011","67","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","31","3","66","67","19"
"01/20/2011","58","PM2.5","Atascadero (original site)","06-079-8001","AQS","31","1","28","58","23"
"01/21/2011","53","PM2.5","Atascadero (original site)","06-079-8001","AQS","36","4","36","53","36"
"01/22/2011","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","1","33","56","17"
"01/23/2011","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","1","28","56","30"
"01/24/2011","46","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","3","28","46","29"
"01/25/2011","47","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","3","30","47","28"
"01/26/2011","47","Ozone","Red Hills","06-079-8005","AQS","47","1","27","43","35"
"01/27/2011","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","1","35","53","36"
"01/28/2011","49","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","1","27","49","37"
"01/29/2011","43","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39","1","21","43","16"
"01/30/2011","41","Ozone","Red Hills","06-079-8005","AQS","41","1","19","35","14"
"01/31/2011","42","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","32","1","41","42","22"
"02/01/2011","53","PM2.5","Atascadero (original site)","06-079-8001","AQS","34","1","21","53","19"
"02/02/2011","59","PM2.5","Atascadero (original site)","06-079-8001","AQS","39","1","30","59","29"
"02/03/2011","46","PM2.5","Atascadero (original site)","06-079-8001","AQS","40","1","26","46","26"
"02/04/2011","60","PM2.5","Atascadero (original site)","06-079-8001","AQS","45","3","30","60","36"
"02/05/2011","60","PM2.5","Atascadero (original site)","06-079-8001","AQS","43","3","20","60","31"
"02/06/2011","59","PM2.5","Atascadero (original site)","06-079-8001","AQS","42","1","24","59","20"
"02/07/2011","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","4","31","53","25"
"02/08/2011","40","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","40","3","21","30","22"
"02/09/2011","41","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","41","1","25","40","25"
"02/10/2011","51","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","1","31","51","31"
"02/11/2011","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","1","36","54","32"
"02/12/2011","54","Ozone","Red Hills","06-079-8005","AQS","54","3","31","48","35"
"02/13/2011","58","Ozone","Red Hills","06-079-8005","AQS","58","1","25","41","17"
"02/14/2011","42","Ozone","Red Hills","06-079-8005","AQS","42","1","11","28","15"
"02/15/2011","44","Ozone","Red Hills","06-079-8005","AQS","44","1","13","25","24"
"02/16/2011","43","Ozone","Red Hills","06-079-8005","AQS","43","1","13","26","22"
"02/17/2011","42","Ozone","Red Hills","06-079-8005","AQS","42","1","9","23","13"
"02/18/2011","41","Ozone","Red Hills","06-079-8005","AQS","41","1","21","10","16"
"02/19/2011","42","Ozone","Red Hills","06-079-8005","AQS","42","1","6","24","15"
"02/20/2011","39","Ozone","Red Hills","06-079-8005","AQS","39","1","9","32","22"
"02/21/2011","42","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","42","1","13","38","20"
"02/22/2011","59","PM10","Arroyo Grande CDF","06-079-2007","AQS","42","1","59","51","27"
"02/23/2011","58","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","1","58","58","24"
"02/24/2011","43","Ozone","San Luis Obispo","06-079-2006","AQS","43","1","28","41","15"
"02/25/2011","44","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","44","1","8","25","10"
"02/26/2011","41","Ozone","San Luis Obispo","06-079-2006","AQS","41","1","22","33","14"
"02/27/2011","50","PM2.5","Atascadero (original site)","06-079-8001","AQS","43","1","24","50","21"
"02/28/2011","45","PM2.5","Atascadero (original site)","06-079-8001","AQS","45","1","18","45","25"
"03/01/2011","44","Ozone","Red Hills","06-079-8005","AQS","44","1","15","35","20"
"03/02/2011","41","Ozone","Red Hills","06-079-8005","AQS","41","1","6","20","15"
"03/03/2011","40","Ozone","Red Hills","06-079-8005","AQS","40","1","17","20","18"
"03/04/2011","48","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","4","44","48","10"
"03/05/2011","45","Ozone","Red Hills","06-079-8005","AQS","45","3","21","40","15"
"03/06/2011","44","Ozone","Red Hills","06-079-8005","AQS","44","1","9","28","8"
"03/07/2011","68","PM10","Arroyo Grande CDF","06-079-2007","AQS","44","1","68","62","6"
"03/08/2011","41","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39",".","30","41","15"
"03/09/2011","45","Ozone","Red Hills","06-079-8005","AQS","45",".","20","44","21"
"03/10/2011","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44",".","42","55","13"
"03/11/2011","77","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","1","75","77","10"
"03/12/2011","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","1","51","54","20"
"03/13/2011","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","1","49","56","15"
"03/14/2011","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","1","31","45","13"
"03/15/2011","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","1","38","45","14"
"03/16/2011","59","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","0","51","59","12"
"03/17/2011","69","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","48","1","59","69","20"
"03/18/2011","47","Ozone","Red Hills","06-079-8005","AQS","47","1","19","38","19"
"03/19/2011","50","Ozone","Red Hills","06-079-8005","AQS","50","0","7","25","8"
"03/20/2011","54","Ozone","Red Hills","06-079-8005","AQS","54","0","6","22","11"
"03/21/2011","49","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","49","0","8","23","28"
"03/22/2011","46","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","46","1","13","30","16"
"03/23/2011","44","Ozone","Red Hills","06-079-8005","AQS","44","0","12","29","8"
"03/24/2011","46","Ozone","Red Hills","06-079-8005","AQS","46","0","12","29","14"
"03/25/2011","47","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","47","0","18","45","28"
"03/26/2011","38","Ozone","Paso Robles","06-079-0005","AQS","38","0","11","32","8"
"03/27/2011","49","PM10","Arroyo Grande CDF","06-079-2007","AQS","44","1","49","48","11"
"03/28/2011","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","1","54","55","12"
"03/29/2011","64","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","1","58","64","8"
"03/30/2011","45","Ozone","Red Hills","06-079-8005","AQS","45","0","20","29","9"
"03/31/2011","58","Ozone","Red Hills","06-079-8005","AQS","58","1","30","52","22"
"04/01/2011","63","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","54","1","37","63","21"
"04/02/2011","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","19","45","10"
"04/03/2011","65","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","0","47","65","11"
"04/04/2011","51","Ozone","Red Hills","06-079-8005","AQS","51","1","27","50","15"
"04/05/2011","60","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","54","0","47","60","15"
"04/06/2011","98","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","1","90","98","22"
"04/07/2011","49","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","3","31","49","22"
"04/08/2011","48","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","48","0","12","34","13"
"04/09/2011","62","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","0","44","62","13"
"04/10/2011","58","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","51","1","35","58","12"
"04/11/2011","78","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","1","62","78","14"
"04/12/2011","80","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","1","69","80","11"
"04/13/2011","63","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","0","51","63","11"
"04/14/2011","75","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","74","4","61","75","21"
"04/15/2011","83","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","74","3","68","83","12"
"04/16/2011","77","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","6","73","77","10"
"04/17/2011","72","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","4","67","72","3"
"04/18/2011","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","28","0","21","53","7"
"04/19/2011","40","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","0","12","40","8"
"04/20/2011","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","1","19","45","8"
"04/21/2011","49","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","0","44","49","9"
"04/22/2011","60","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","1","45","60","10"
"04/23/2011","48","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","1","20","48","10"
"04/24/2011","35","Ozone","San Luis Obispo","06-079-2006","AQS","35","0","15","34","8"
"04/25/2011","70","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","1","55","70","13"
"04/26/2011","98","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","54","1","90","98","6"
"04/27/2011","91","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","74","4","81","91","13"
"04/28/2011","97","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","58","1","88","97","20"
"04/29/2011","95","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","48","1","84","95","11"
"04/30/2011","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","51","1","39","54","14"
"05/01/2011","77","Ozone","Red Hills","06-079-8005","AQS","77","1","50","63","15"
"05/02/2011","84","Ozone","Red Hills","06-079-8005","AQS","84","1","27","49","20"
"05/03/2011","93","Ozone","Red Hills","06-079-8005","AQS","93","3","72","87","25"
"05/04/2011","105","Ozone","Red Hills","06-079-8005","AQS","105","4","38","55","26"
"05/05/2011","126","Ozone","Red Hills","06-079-8005","AQS","126","1","42","69","26"
"05/06/2011","80","Ozone","Red Hills","06-079-8005","AQS","80","0","33","59","23"
"05/07/2011","60","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","58","0","45","60","4"
"05/08/2011","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","0","37","54","5"
"05/09/2011","62","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","50","0","51","62","16"
"05/10/2011","63","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","1","44","63","12"
"05/11/2011","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","0","29","56","9"
"05/12/2011","74","Ozone","Carrizo Plains","06-079-8006","AQS","74","1","28","53","12"
"05/13/2011","64","Ozone","Red Hills","06-079-8005","AQS","64","0","44","60","15"
"05/14/2011","46","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","0","22","46","2"
"05/15/2011","44","Ozone","San Luis Obispo","06-079-2006","AQS","44","0","11","30","8"
"05/16/2011","43","Ozone","Red Hills","06-079-8005","AQS","43","0","10","29","9"
"05/17/2011","39","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","39","0","11","28","13"
"05/18/2011","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","0","54","55","10"
"05/19/2011","59","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","1","44","59","14"
"05/20/2011","61","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","58","0","39","61","11"
"05/21/2011","75","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","50","0","65","75","7"
"05/22/2011","77","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","74","1","65","77","4"
"05/23/2011","84","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","51","0","73","84","14"
"05/24/2011","84","Ozone","Carrizo Plains","06-079-8006","AQS","84","1","58","69","20"
"05/25/2011","54","Ozone","Carrizo Plains","06-079-8006","AQS","54","1","19","40","17"
"05/26/2011","89","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","0","82","89","17"
"05/27/2011","89","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","1","83","89","7"
"05/28/2011","78","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","1","67","78","8"
"05/29/2011","72","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","0","72","72","6"
"05/30/2011","68","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","1","62","68","6"
"05/31/2011","47","Ozone","Carrizo Plains","06-079-8006","AQS","47","1","14","25","11"
"06/01/2011","47","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","1","34","47","11"
"06/02/2011","72","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","1","65","72","14"
"06/03/2011","47","Ozone","Carrizo Plains","06-079-8006","AQS","47","1","20","34","16"
"06/04/2011","44","Ozone","Red Hills","06-079-8005","AQS","44","0","20","37","6"
"06/05/2011","41","Ozone","San Luis Obispo","06-079-2006","AQS","41","0","20","32","8"
"06/06/2011","41","Ozone","Carrizo Plains","06-079-8006","AQS","41","0","21","35","8"
"06/07/2011","62","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","48","0","54","62","10"
"06/08/2011","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","50","0","34","52","6"
"06/09/2011","67","Ozone","Carrizo Plains","06-079-8006","AQS","67","0","38","60","6"
"06/10/2011","63","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","61","0","51","63","6"
"06/11/2011","67","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","50","0","58","67","3"
"06/12/2011","38","Ozone","Carrizo Plains","06-079-8006","AQS","38","0","16","33","4"
"06/13/2011","49","Ozone","Carrizo Plains","06-079-8006","AQS","49","0","17","38","9"
"06/14/2011","74","Ozone","Red Hills","06-079-8005","AQS","74","0","19","38","21"
"06/15/2011","97","Ozone","Carrizo Plains","06-079-8006","AQS","97","1","34","56","25"
"06/16/2011","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","0","30","52","5"
"06/17/2011","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","1","30","52","10"
"06/18/2011","58","Ozone","Carrizo Plains","06-079-8006","AQS","58","0","19","42","3"
"06/19/2011","61","Ozone","Red Hills","06-079-8005","AQS","61","1","11","23","7"
"06/20/2011","97","Ozone","Red Hills","06-079-8005","AQS","97","0","17","35","17"
"06/21/2011","97","Ozone","Carrizo Plains","06-079-8006","AQS","97","1","21","24","16"
"06/22/2011","129","Ozone","Carrizo Plains","06-079-8006","AQS","129","0","18","20","13"
"06/23/2011","50","Ozone","Carrizo Plains","06-079-8006","AQS","50","0","22","45","8"
"06/24/2011","90","Ozone","Red Hills","06-079-8005","AQS","90","0","40","40","9"
"06/25/2011","97","Ozone","Carrizo Plains","06-079-8006","AQS","97","1","58","56","4"
"06/26/2011","77","Ozone","Carrizo Plains","06-079-8006","AQS","77","1","43","50","10"
"06/27/2011","80","Ozone","Carrizo Plains","06-079-8006","AQS","80","1","22","39","12"
"06/28/2011","34","Ozone","Carrizo Plains","06-079-8006","AQS","34","1","11","17","8"
"06/29/2011","64","PM10","Arroyo Grande CDF","06-079-2007","AQS","41","1","64","41","8"
"06/30/2011","70","PM2.5","Mesa2","06-079-2004","AQS","58","7","70","70","9"
"07/01/2011","93","Ozone","Carrizo Plains","06-079-8006","AQS","93",".","42","56","16"
"07/02/2011","122","Ozone","Carrizo Plains","06-079-8006","AQS","122",".","39","56","11"
"07/03/2011","129","Ozone","Carrizo Plains","06-079-8006","AQS","129",".","36","45","10"
"07/04/2011","87","Ozone","Carrizo Plains","06-079-8006","AQS","87",".","32","53","15"
"07/05/2011","77","Ozone","Carrizo Plains","06-079-8006","AQS","77",".","31","48","16"
"07/06/2011","87","Ozone","Carrizo Plains","06-079-8006","AQS","87",".","29","44","18"
"07/07/2011","61","Ozone","Carrizo Plains","06-079-8006","AQS","61",".","21","24","11"
"07/08/2011","42","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41",".","18","42","8"
"07/09/2011","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","54","1","38","54","8"
"07/10/2011","69","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","58","1","57","69","6"
"07/11/2011","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","32","1","36","53","8"
"07/12/2011","41","Ozone","Carrizo Plains","06-079-8006","AQS","41","1","18","31","5"
"07/13/2011","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","26","1","35","55","6"
"07/14/2011","63","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","32","1","54","63","7"
"07/15/2011","37","Ozone","Carrizo Plains","06-079-8006","AQS","37","1","20","33","8"
"07/16/2011","42","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","1","26","42","7"
"07/17/2011","57","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","1","52","57","8"
"07/18/2011","43","Ozone","Red Hills","06-079-8005","AQS","43","1","31","41","8"
"07/19/2011","49","Ozone","Red Hills","06-079-8005","AQS","49","1","15","33","12"
