"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"01/01/2011","30","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","30",".","9"
"01/02/2011","30","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","30",".","5"
"01/03/2011","61","PM2.5","Truckee-Fire Station","06-057-1001","AQS","27","61","8"
"01/04/2011","35","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","35","10","13"
"01/05/2011","35","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","35",".","15"
"01/06/2011","60","PM2.5","Truckee-Fire Station","06-057-1001","AQS","30","60","18"
"01/07/2011","31","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","31",".","16"
"01/08/2011","29","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","29",".","11"
"01/09/2011","50","PM2.5","Truckee-Fire Station","06-057-1001","AQS","28","50","8"
"01/10/2011","30","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","30",".","21"
"01/11/2011","31","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","31",".","11"
"01/12/2011","31","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","31","27","11"
"01/13/2011","28","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","28",".","13"
"01/14/2011","29","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","29",".","8"
"01/15/2011","49","PM2.5","Truckee-Fire Station","06-057-1001","AQS","29","49","3"
"01/16/2011","28","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","28",".","3"
"01/17/2011","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40",".","8"
"01/18/2011","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41","40","8"
"01/19/2011","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41",".","7"
"01/20/2011","39","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","39",".","26"
"01/21/2011","51","PM2.5","Truckee-Fire Station","06-057-1001","AQS","34","51","18"
"01/22/2011","42","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","42",".","2"
"01/23/2011","42","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","42",".","6"
"01/24/2011","41","PM2.5","Truckee-Fire Station","06-057-1001","AQS","36","41","19"
