"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"01/01/2011","58","PM2.5","Livermore","06-001-0007","AQS","2","26","0","58","18"
"01/02/2011","35","PM2.5","Livermore","06-001-0007","AQS","3","28","0","35","24"
"01/03/2011","59","PM2.5","Livermore","06-001-0007","AQS","6","18","1","59","39"
"01/04/2011","72","PM2.5","Livermore","06-001-0007","AQS","13","18","3","72","35"
"01/05/2011","72","PM2.5","Livermore","06-001-0007","AQS","15","19","3","72","36"
"01/06/2011","60","PM2.5","Oakland West","06-001-0011","AQS","8","14","3","60","34"
"01/07/2011","71","PM2.5","Oakland","06-001-0009","AQS","8","13","1","71","30"
"01/08/2011","67","PM2.5","Oakland","06-001-0009","AQS","8","6","3","67","25"
"01/09/2011","61","PM2.5","Livermore","06-001-0007","AQS","10","22","3","61","27"
"01/10/2011","69","PM2.5","Livermore","06-001-0007","AQS","14","24","4","69","36"
"01/11/2011","81","PM2.5","Livermore","06-001-0007","AQS","8","13","1","81","34"
"01/12/2011","74","PM2.5","Livermore","06-001-0007","AQS","7","20","6","74","34"
"01/13/2011","74","PM2.5","Oakland West","06-001-0011","AQS","13","12","3","74","38"
"01/14/2011","50","PM2.5","Livermore","06-001-0007","AQS","10","20","3","50","28"
"01/15/2011","52","PM2.5","Oakland","06-001-0009","AQS","17","18","6","52","29"
"01/16/2011","77","PM2.5","Oakland","06-001-0009","AQS","10","14","3","77","24"
"01/17/2011","82","PM2.5","Oakland","06-001-0009","AQS","10","7","4","82","27"
"01/18/2011","59","PM2.5","Oakland","06-001-0009","AQS","13","24","4","59","32"
"01/19/2011","52","PM2.5","Oakland West","06-001-0011","AQS","8","23",".","52","27"
"01/20/2011","62","PM2.5","Livermore","06-001-0007","AQS","11","28","3","62","36"
"01/21/2011","84","PM2.5","Oakland","06-001-0009","AQS","13","21","4","84","44"
"01/22/2011","78","PM2.5","Oakland West","06-001-0011","AQS","10","27","6","78","42"
"01/23/2011","53","PM2.5","Livermore","06-001-0007","AQS","10","26","1","53","37"
"01/24/2011","70","PM2.5","Oakland West","06-001-0011","AQS","14","22","4","70","43"
"01/25/2011","68","PM2.5","Oakland West","06-001-0011","AQS","14","21","6","68","40"
"01/26/2011","61","PM2.5","Oakland West","06-001-0011","AQS","8","31","9","61","36"
"01/27/2011","73","PM2.5","Oakland West","06-001-0011","AQS","10","18","4","73","36"
"01/28/2011","79","PM2.5","Livermore","06-001-0007","AQS","9","29","4","79","33"
"01/29/2011","39","PM2.5","Livermore","06-001-0007","AQS","11","32","1","39","18"
"01/30/2011","34","Ozone","Livermore","06-001-0007","AQS","14","34","1","30","24"
"01/31/2011","48","PM2.5","Livermore","06-001-0007","AQS","17","13","3","48","29"
"02/01/2011","45","PM2.5","Oakland","06-001-0009","AQS","5","35","9","45","34"
"02/02/2011","43","NO2","Oakland West","06-001-0011","AQS","8","33","14","30","43"
"02/03/2011","58","PM2.5","Livermore","06-001-0007","AQS","11","20","4","58","46"
"02/04/2011","67","PM2.5","Livermore","06-001-0007","AQS","13","26","6","67","43"
"02/05/2011","56","PM2.5","Oakland","06-001-0009","AQS","13","33","4","56","37"
"02/06/2011","32","Ozone","Livermore","06-001-0007","AQS","8","32","3","27","29"
"02/07/2011","51","PM2.5","Oakland","06-001-0009","AQS","10","34","4","51","34"
"02/08/2011","35","Ozone","Livermore","06-001-0007","AQS","5","35","0","19","31"
"02/09/2011","43","NO2","Oakland","06-001-0009","AQS","6","31","3","33","43"
"02/10/2011","47","PM2.5","Livermore","06-001-0007","AQS","11","28","4","47","44"
"02/11/2011","71","PM2.5","Livermore","06-001-0007","AQS","13","29","17","71","47"
"02/12/2011","70","PM2.5","Livermore","06-001-0007","AQS","14","30","6","70","44"
"02/13/2011","69","PM2.5","Livermore","06-001-0007","AQS","8","36","3","69","34"
"02/14/2011","34","Ozone","Oakland West","06-001-0011","AQS","2","34","0","25","25"
"02/15/2011","40","Ozone","Livermore","06-001-0007","AQS","2","40","1","26","31"
"02/16/2011","36","Ozone","Livermore","06-001-0007","AQS","1","36","1","20","22"
"02/17/2011","35","Ozone","Livermore","06-001-0007","AQS","3","35","0","20","24"
"02/18/2011","35","NO2","Oakland West","06-001-0011","AQS","5","31","1","26","35"
"02/19/2011","31","NO2","Oakland","06-001-0009","AQS","6","28","1","28","31"
"02/20/2011","42","PM2.5","Livermore","06-001-0007","AQS","7","33","3","42","32"
"02/21/2011","33","Ozone","Livermore","06-001-0007","AQS","7","33","1","32","28"
"02/22/2011","37","PM2.5","Livermore","06-001-0007","AQS","6","30","4","37","37"
"02/23/2011","34","PM2.5","Oakland","06-001-0009","AQS","5","31","3","34","27"
"02/24/2011","37","NO2","Oakland West","06-001-0011","AQS","3","35","1","31","37"
"02/25/2011","35","Ozone","Livermore","06-001-0007","AQS","3","35","1","18","28"
"02/26/2011","53","PM2.5","Livermore","06-001-0007","AQS","6","33","1","53","33"
"02/27/2011","43","PM2.5","Livermore","06-001-0007","AQS","9","32","1","43","32"
"02/28/2011","41","PM2.5","Livermore","06-001-0007","AQS","5","34","1","41","38"
"03/01/2011","42","PM2.5","Livermore","06-001-0007","AQS",".","36","4","42","35"
"03/02/2011","31","Ozone","Livermore","06-001-0007","AQS","2","31","4","15","27"
"03/03/2011","35","Ozone","Livermore","06-001-0007","AQS","5","35","3","29","32"
"03/04/2011","40","PM2.5","Livermore","06-001-0007","AQS","8","30","3","40","37"
