"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2011","22","PM10","Mammoth","06-051-0001","AQS","22","."
"01/02/2011","11","PM10","Mammoth","06-051-0001","AQS","11","."
"01/03/2011","14","PM10","Mammoth","06-051-0001","AQS","14","3"
"01/04/2011","39","PM10","Mammoth","06-051-0001","AQS","39","."
"01/05/2011","52","PM10","Mammoth","06-051-0001","AQS","52","."
"01/06/2011","59","PM10","Mammoth","06-051-0001","AQS","59","3"
"01/07/2011","54","PM10","Mammoth","06-051-0001","AQS","54","."
"01/08/2011","20","PM10","Mammoth","06-051-0001","AQS","20","."
"01/09/2011","25","PM10","Mammoth","06-051-0001","AQS","25","4"
"01/10/2011","74","PM10","Mammoth","06-051-0001","AQS","74","."
"01/11/2011","19","PM10","Mammoth","06-051-0001","AQS","19","."
"01/12/2011","87","PM10","Mammoth","06-051-0001","AQS","87","0"
"01/13/2011","25","PM10","Mammoth","06-051-0001","AQS","25","."
"01/14/2011","63","PM10","Mammoth","06-051-0001","AQS","63","."
"01/15/2011","53","PM10","Mammoth","06-051-0001","AQS","53","1"
"01/16/2011","4","PM10","Mono Shore","06-051-0011","AQS","4","."
"01/17/2011","45","PM10","Mammoth","06-051-0001","AQS","45","."
"01/18/2011","59","PM10","Mammoth","06-051-0001","AQS","59","4"
"01/19/2011","33","PM10","Mammoth","06-051-0001","AQS","33","."
"01/20/2011","63","PM10","Mammoth","06-051-0001","AQS","63","."
"01/21/2011","62","PM10","Mammoth","06-051-0001","AQS","62","2"
"01/22/2011","44","PM10","Mammoth","06-051-0001","AQS","44","."
"01/23/2011","53","PM10","Mammoth","06-051-0001","AQS","53","."
"01/24/2011","52","PM10","Mammoth","06-051-0001","AQS","52","4"
"01/25/2011","52","PM10","Mammoth","06-051-0001","AQS","52","."
"01/26/2011","53","PM10","Mammoth","06-051-0001","AQS","53","."
"01/27/2011","53","PM10","Mammoth","06-051-0001","AQS","53","4"
"01/28/2011","54","PM10","Mammoth","06-051-0001","AQS","54","."
"01/29/2011","29","PM10","Mammoth","06-051-0001","AQS","29","."
"01/30/2011","26","PM10","Lee Vining","06-051-0005","AQS","26","2"
"01/31/2011","33","PM10","Mammoth","06-051-0001","AQS","33","."
"02/01/2011","41","PM10","Mammoth","06-051-0001","AQS","41","."
"02/02/2011","59","PM10","Mammoth","06-051-0001","AQS","59","5"
"02/03/2011","56","PM10","Mammoth","06-051-0001","AQS","56","."
"02/04/2011","47","PM10","Mammoth","06-051-0001","AQS","47","."
"02/05/2011","22","PM10","Mammoth","06-051-0001","AQS","22","3"
"02/06/2011","20","PM10","Mammoth","06-051-0001","AQS","20","."
"02/07/2011","72","PM10","Mono Shore","06-051-0011","AQS","72","."
"02/08/2011","45","PM10","Mammoth","06-051-0001","AQS","45","9"
"02/09/2011","25","PM10","Mammoth","06-051-0001","AQS","25","."
"02/10/2011","40","PM10","Mammoth","06-051-0001","AQS","40","."
"02/11/2011","38","PM10","Mammoth","06-051-0001","AQS","38","3"
"02/12/2011","27","PM10","Mammoth","06-051-0001","AQS","27","."
"02/13/2011","20","PM10","Mammoth","06-051-0001","AQS","20","."
"02/14/2011","82","PM10","Mono Shore","06-051-0011","AQS","82","5"
"02/15/2011","550","PM10","Mono Shore","06-051-0011","AQS","550","."
"02/16/2011","150","PM10","Mono Shore","06-051-0011","AQS","150","."
"02/17/2011","9","PM10","Lee Vining","06-051-0005","AQS","9","3"
"02/18/2011","5","PM10","Mammoth","06-051-0001","AQS","5","."
"02/19/2011","18","PM10","Mammoth","06-051-0001","AQS","18","."
"02/20/2011","21","PM10","Mammoth","06-051-0001","AQS","21","3"
"02/21/2011","56","PM10","Mammoth","06-051-0001","AQS","56","."
"02/22/2011","44","PM10","Mammoth","06-051-0001","AQS","44","."
"02/23/2011","52","PM10","Mammoth","06-051-0001","AQS","52","6"
"02/24/2011","23","PM10","Mammoth","06-051-0001","AQS","23","."
"02/25/2011","11","PM10","Mono Shore","06-051-0011","AQS","11","."
"02/26/2011","6","PM10","Mammoth","06-051-0001","AQS","6","2"
"02/27/2011","57","PM10","Mammoth","06-051-0001","AQS","57","."
"02/28/2011","64","PM10","Mammoth","06-051-0001","AQS","64","."
"03/01/2011","41","PM10","Mammoth","06-051-0001","AQS","41","7"
"03/02/2011","16","PM10","Mono Shore","06-051-0011","AQS","16","."
"03/03/2011","13","PM10","Mammoth","06-051-0001","AQS","13","."
"03/04/2011","50","PM10","Mammoth","06-051-0001","AQS","50","9"
"03/05/2011","26","PM10","Mammoth","06-051-0001","AQS","26","."
"03/06/2011","8","PM10","Mammoth","06-051-0001","AQS","8","."
"03/07/2011","45","PM10","Mono Shore","06-051-0011","AQS","45","4"
"03/08/2011","41","PM10","Mammoth","06-051-0001","AQS","41","."
"03/09/2011","55","PM10","Mammoth","06-051-0001","AQS","55","."
"03/10/2011","812","PM10","Mono Shore","06-051-0011","AQS","812","10"
"03/11/2011","12","PM10","Mammoth","06-051-0001","AQS","12","."
"03/12/2011","20","PM10","Mammoth","06-051-0001","AQS","20","."
"03/13/2011","15","PM10","Mammoth","06-051-0001","AQS","15","8"
"03/14/2011","8","PM10","Mammoth","06-051-0001","AQS","8","."
"03/15/2011","366","PM10","Mono Shore","06-051-0011","AQS","366","."
"03/16/2011","12","PM10","Mammoth","06-051-0001","AQS","12","8"
"03/17/2011","22","PM10","Mammoth","06-051-0001","AQS","22","."
"03/18/2011","89","PM10","Mono Shore","06-051-0011","AQS","89","."
"03/19/2011","9","PM10","Mammoth","06-051-0001","AQS","9","4"
"03/20/2011","6","PM10","Mammoth","06-051-0001","AQS","6","."
"03/21/2011","6","PM10","Mammoth","06-051-0001","AQS","6","."
"03/22/2011","22","PM10","Mammoth","06-051-0001","AQS","22","8"
"03/23/2011","10","PM10","Mammoth","06-051-0001","AQS","10","."
"03/24/2011","9","PM10","Mono Shore","06-051-0011","AQS","9","."
"03/25/2011","10","PM10","Mammoth","06-051-0001","AQS","10","3"
"03/26/2011","7","PM10","Mammoth","06-051-0001","AQS","7","."
"03/27/2011","7","PM10","Mammoth","06-051-0001","AQS","7","."
"03/28/2011","39","PM10","Mammoth","06-051-0001","AQS","39","6"
"03/29/2011","37","PM10","Mammoth","06-051-0001","AQS","37","."
"03/30/2011","40","PM10","Mammoth","06-051-0001","AQS","40","."
"03/31/2011","41","PM10","Mammoth","06-051-0001","AQS","41","4"
"04/01/2011","27","PM10","Mammoth","06-051-0001","AQS","27","."
"04/02/2011","29","PM10","Mono Shore","06-051-0011","AQS","29","."
"04/03/2011","25","PM10","Mono Shore","06-051-0011","AQS","25","10"
"04/04/2011","24","PM10","Mammoth","06-051-0001","AQS","24","."
"04/05/2011","13","PM10","Mono Shore","06-051-0011","AQS","13","."
"04/06/2011","51","PM10","Mono Shore","06-051-0011","AQS","51","7"
"04/07/2011","14","PM10","Mono Shore","06-051-0011","AQS","14","."
"04/08/2011","13","PM10","Mammoth","06-051-0001","AQS","13","."
"04/09/2011","17","PM10","Mammoth","06-051-0001","AQS","17","6"
"04/10/2011","33","PM10","Mammoth","06-051-0001","AQS","33","."
"04/11/2011","22","PM10","Mammoth","06-051-0001","AQS","22","."
"04/12/2011","22","PM2.5","Hoover Wilderness","06-051-9000","AQS","17","22"
"04/13/2011","52","PM10","Mono Shore","06-051-0011","AQS","52","."
"04/14/2011","44","PM10","Mammoth","06-051-0001","AQS","44","."
"04/15/2011","31","PM10","Mono Shore","06-051-0011","AQS","31","10"
"04/16/2011","12","PM10","Mammoth","06-051-0001","AQS","12","."
"04/17/2011","11","PM10","Mammoth","06-051-0001","AQS","11","."
"04/18/2011","91","PM10","Mono Shore","06-051-0011","AQS","91","5"
"04/19/2011","12","PM10","Mammoth","06-051-0001","AQS","12","."
"04/20/2011","1271","PM10","Mono Shore","06-051-0011","AQS","1271","."
