"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/03/2011","7","PM10","Weaverville-Courthouse","06-105-0002","AQS","7","."
"01/06/2011","15","PM10","Weaverville-Courthouse","06-105-0002","AQS","15","."
"01/09/2011","24","PM10","Weaverville-Courthouse","06-105-0002","AQS","24","."
"01/12/2011","1","PM2.5","Trinity","06-105-9000","AQS",".","1"
"01/15/2011","15","PM10","Weaverville-Courthouse","06-105-0002","AQS","15","2"
"01/18/2011","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"01/21/2011","31","PM10","Weaverville-Courthouse","06-105-0002","AQS","31","5"
"01/24/2011","7","PM2.5","Trinity","06-105-9000","AQS",".","7"
"01/27/2011","37","PM10","Weaverville-Courthouse","06-105-0002","AQS","37","5"
"01/30/2011","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"02/02/2011","34","PM10","Weaverville-Courthouse","06-105-0002","AQS","34","6"
"02/05/2011","6","PM2.5","Trinity","06-105-9000","AQS",".","6"
"02/08/2011","20","PM10","Weaverville-Courthouse","06-105-0002","AQS","20","4"
"02/11/2011","5","PM2.5","Trinity","06-105-9000","AQS",".","5"
"02/14/2011","19","PM10","Weaverville-Courthouse","06-105-0002","AQS","19","6"
"02/17/2011","0","PM2.5","Trinity","06-105-9000","AQS",".","0"
"02/20/2011","13","PM10","Weaverville-Courthouse","06-105-0002","AQS","13","3"
"02/23/2011","4","PM2.5","Trinity","06-105-9000","AQS",".","4"
"02/26/2011","16","PM10","Weaverville-Courthouse","06-105-0002","AQS","16","3"
"03/01/2011","19","PM10","Weaverville-Courthouse","06-105-0002","AQS","19","."
"03/04/2011","11","PM10","Weaverville-Courthouse","06-105-0002","AQS","11","2"
"03/07/2011","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"03/10/2011","22","PM10","Weaverville-Courthouse","06-105-0002","AQS","22","8"
"03/13/2011","11","PM10","Weaverville-Courthouse","06-105-0002","AQS","11","6"
"03/16/2011","4","PM2.5","Trinity","06-105-9000","AQS","3","4"
"03/19/2011","8","PM10","Weaverville-Courthouse","06-105-0002","AQS","8","1"
"03/22/2011","10","PM10","Weaverville-Courthouse","06-105-0002","AQS","10","7"
"03/25/2011","1","PM2.5","Trinity","06-105-9000","AQS",".","1"
"03/28/2011","16","PM10","Weaverville-Courthouse","06-105-0002","AQS","16","5"
"03/31/2011","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
"04/03/2011","9","PM10","Weaverville-Courthouse","06-105-0002","AQS","9","6"
"04/06/2011","13","PM2.5","Trinity","06-105-9000","AQS",".","13"
"04/09/2011","13","PM2.5","Trinity","06-105-9000","AQS","12","13"
"04/12/2011","9","PM2.5","Trinity","06-105-9000","AQS",".","9"
"04/15/2011","11","PM2.5","Trinity","06-105-9000","AQS","7","11"
"04/18/2011","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"04/21/2011","8","PM10","Weaverville-Courthouse","06-105-0002","AQS","8","6"
"04/24/2011","6","PM2.5","Trinity","06-105-9000","AQS",".","6"
"04/27/2011","12","PM2.5","Trinity","06-105-9000","AQS","6","12"
"04/30/2011","4","PM2.5","Trinity","06-105-9000","AQS",".","4"
"05/03/2011","10","PM2.5","Trinity","06-105-9000","AQS","7","10"
"05/06/2011","9","PM2.5","Trinity","06-105-9000","AQS",".","9"
"05/09/2011","6","PM10","Weaverville-Courthouse","06-105-0002","AQS","6","3"
"05/12/2011","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
