"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2011","54","PM2.5","Corcoran-Patterson","06-031-0004","AQS","26","12","54","10"
"01/02/2011","42","PM2.5","Corcoran-Patterson","06-031-0004","AQS","30","19","42","12"
"01/03/2011","36","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","10","36","30"
"01/04/2011","53","PM2.5","Hanford-Irwin","06-031-1004","AQS","18","8","53","."
"01/05/2011","63","PM2.5","Hanford-Irwin","06-031-1004","AQS","17","10","63","15"
"01/06/2011","100","PM2.5","Hanford-Irwin","06-031-1004","AQS","18","24","100","."
"01/07/2011","81","PM2.5","Corcoran-Patterson","06-031-0004","AQS","13","19","81","."
"01/08/2011","79","PM2.5","Corcoran-Patterson","06-031-0004","AQS","19","22","79","11"
"01/09/2011","70","PM2.5","Corcoran-Patterson","06-031-0004","AQS","18","19","70","9"
"01/10/2011","70","PM2.5","Corcoran-Patterson","06-031-0004","AQS","26","13","70","26"
"01/11/2011","86","PM2.5","Hanford-Irwin","06-031-1004","AQS","17","25","86","21"
"01/12/2011","102","PM2.5","Hanford-Irwin","06-031-1004","AQS","22","29","102","30"
"01/13/2011","116","PM2.5","Hanford-Irwin","06-031-1004","AQS","19","35","116","24"
"01/14/2011","116","PM2.5","Hanford-Irwin","06-031-1004","AQS","8","35","116","18"
"01/15/2011","60","PM2.5","Hanford-Irwin","06-031-1004","AQS","19","19","60","12"
"01/16/2011","108","PM2.5","Corcoran-Patterson","06-031-0004","AQS","22","25","108","8"
"01/17/2011","95","PM2.5","Hanford-Irwin","06-031-1004","AQS","18","16","95","8"
"01/18/2011","72","PM2.5","Hanford-Irwin","06-031-1004","AQS","14","15","72","15"
"01/19/2011","75","PM2.5","Hanford-Irwin","06-031-1004","AQS","18","16","75","18"
"01/20/2011","88","PM2.5","Corcoran-Patterson","06-031-0004","AQS","19","21","88","21"
"01/21/2011","81","PM2.5","Hanford-Irwin","06-031-1004","AQS","14","22","81","16"
"01/22/2011","114","PM2.5","Hanford-Irwin","06-031-1004","AQS","15","25","114","22"
"01/23/2011","105","PM2.5","Hanford-Irwin","06-031-1004","AQS","26","30","105","33"
"01/24/2011","86","PM2.5","Hanford-Irwin","06-031-1004","AQS","24","14","86","."
"01/25/2011","80","PM2.5","Hanford-Irwin","06-031-1004","AQS","22","12","80","10"
"01/26/2011","85","PM2.5","Corcoran-Patterson","06-031-0004","AQS","22","21","85","12"
"01/27/2011","75","PM2.5","Hanford-Irwin","06-031-1004","AQS","20","21","75","11"
"01/28/2011","72","PM2.5","Corcoran-Patterson","06-031-0004","AQS","16","12","72","13"
"01/29/2011","72","PM2.5","Hanford-Irwin","06-031-1004","AQS","19","9","72","10"
"01/30/2011","54","PM2.5","Corcoran-Patterson","06-031-0004","AQS","30","15","54","27"
"01/31/2011","55","PM2.5","Hanford-Irwin","06-031-1004","AQS","24","13","55","25"
"02/01/2011","64","PM2.5","Corcoran-Patterson","06-031-0004","AQS","25","18","64","24"
"02/02/2011","77","PM2.5","Hanford-Irwin","06-031-1004","AQS","30","31","77","29"
"02/03/2011","90","PM2.5","Hanford-Irwin","06-031-1004","AQS","33","35","90","33"
"02/04/2011","102","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","34","102","25"
"02/05/2011","125","PM2.5","Hanford-Irwin","06-031-1004","AQS","36","45","125","29"
"02/06/2011","134","PM2.5","Hanford-Irwin","06-031-1004","AQS","41","39","134","18"
"02/07/2011","109","PM2.5","Hanford-Irwin","06-031-1004","AQS","36","38","109","38"
"02/08/2011","34","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","25","34","28"
"02/09/2011","55","PM2.5","Corcoran-Patterson","06-031-0004","AQS","31","32","55","37"
"02/10/2011","69","PM2.5","Hanford-Irwin","06-031-1004","AQS","36","28","69","38"
"02/11/2011","80","PM2.5","Hanford-Irwin","06-031-1004","AQS","34","41","80","41"
"02/12/2011","87","PM2.5","Hanford-Irwin","06-031-1004","AQS","39","36","87","37"
"02/13/2011","97","PM2.5","Hanford-Irwin","06-031-1004","AQS","43","32","97","23"
"02/14/2011","49","PM2.5","Hanford-Irwin","06-031-1004","AQS","34","22","49","24"
"02/15/2011","38","Ozone","Hanford-Irwin","06-031-1004","AQS","38","14","37","19"
"02/16/2011","36","Ozone","Hanford-Irwin","06-031-1004","AQS","36","6","16","8"
"02/17/2011","35","Ozone","Santa Rosa Rancheria","06-031-0500","AQS","35","10","20","16"
"02/18/2011","25","Ozone","Santa Rosa Rancheria","06-031-0500","AQS","25","17","20","20"
"02/19/2011","40","Ozone","Hanford-Irwin","06-031-1004","AQS","40","5","7","12"
"02/20/2011","38","PM2.5","Corcoran-Patterson","06-031-0004","AQS","36","10","38","18"
"02/21/2011","38","Ozone","Hanford-Irwin","06-031-1004","AQS","38","11","37","27"
"02/22/2011","51","PM2.5","Corcoran-Patterson","06-031-0004","AQS","36","15","51","31"
"02/23/2011","47","PM2.5","Corcoran-Patterson","06-031-0004","AQS","39","18","47","18"
"02/24/2011","40","Ozone","Hanford-Irwin","06-031-1004","AQS","40","13","38","14"
"02/25/2011","34","Ozone","Hanford-Irwin","06-031-1004","AQS","34","7","23","12"
"02/26/2011","42","Ozone","Hanford-Irwin","06-031-1004","AQS","42","6","17","14"
"02/27/2011","40","Ozone","Hanford-Irwin","06-031-1004","AQS","40","11","25","17"
"02/28/2011","52","PM2.5","Corcoran-Patterson","06-031-0004","AQS","42","19","52","33"
"03/01/2011","65","PM2.5","Corcoran-Patterson","06-031-0004","AQS","33","25","65","27"
"03/02/2011","35","PM2.5","Corcoran-Patterson","06-031-0004","AQS","33","10","35","12"
"03/03/2011","36","Ozone","Hanford-Irwin","06-031-1004","AQS","36","6","26","12"
"03/04/2011","58","PM2.5","Corcoran-Patterson","06-031-0004","AQS","31","19","58","27"
"03/05/2011","62","PM2.5","Corcoran-Patterson","06-031-0004","AQS","39","18","62","19"
