"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/03/2011","73","PM2.5","Quincy-N Church Street","06-063-1006","AQS","73"
"01/06/2011","85","PM2.5","Quincy-N Church Street","06-063-1006","AQS","85"
"01/09/2011","67","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","67"
"01/12/2011","153","PM2.5","Quincy-N Church Street","06-063-1006","AQS","153"
"01/15/2011","84","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","84"
"01/18/2011","76","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","76"
"01/21/2011","88","PM2.5","Quincy-N Church Street","06-063-1006","AQS","88"
"01/24/2011","82","PM2.5","Quincy-N Church Street","06-063-1006","AQS","82"
"01/27/2011","81","PM2.5","Quincy-N Church Street","06-063-1006","AQS","81"
"01/30/2011","55","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","55"
"02/02/2011","73","PM2.5","Quincy-N Church Street","06-063-1006","AQS","73"
"02/05/2011","60","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","60"
"02/08/2011","17","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","17"
"02/11/2011","70","PM2.5","Quincy-N Church Street","06-063-1006","AQS","70"
"02/14/2011","46","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","46"
"02/17/2011","25","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","25"
"02/20/2011","57","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","57"
"02/23/2011","35","PM2.5","Quincy-N Church Street","06-063-1006","AQS","35"
"02/26/2011","57","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","57"
"03/01/2011","76","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","76"
"03/04/2011","65","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","65"
"03/07/2011","23","PM2.5","Quincy-N Church Street","06-063-1006","AQS","23"
"03/10/2011","68","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","68"
"03/13/2011","66","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","66"
"03/16/2011","38","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","38"
"03/19/2011","37","PM2.5","Quincy-N Church Street","06-063-1006","AQS","37"
"03/22/2011","50","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","50"
"03/25/2011","48","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","48"
"03/28/2011","43","PM2.5","Quincy-N Church Street","06-063-1006","AQS","43"
"03/31/2011","39","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","39"
"04/03/2011","33","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","33"
"04/06/2011","29","PM2.5","Quincy-N Church Street","06-063-1006","AQS","29"
"04/09/2011","57","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","57"
"04/12/2011","50","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","50"
"04/15/2011","45","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","45"
"04/18/2011","10","PM2.5","Quincy-N Church Street","06-063-1006","AQS","10"
"04/21/2011","19","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","19"
"04/24/2011","19","PM2.5","Quincy-N Church Street","06-063-1006","AQS","19"
"04/27/2011","29","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","29"
"04/30/2011","28","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","28"
"05/03/2011","25","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","25"
"05/06/2011","20","PM2.5","Quincy-N Church Street","06-063-1006","AQS","20"
"05/09/2011","21","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","21"
"05/12/2011","18","PM2.5","Quincy-N Church Street","06-063-1006","AQS","18"
"05/15/2011","16","PM2.5","Quincy-N Church Street","06-063-1006","AQS","16"
"05/18/2011","23","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","23"
"05/21/2011","38","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","38"
"05/24/2011","25","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","25"
"05/26/2011","25","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","25"
"05/27/2011","25","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","25"
"05/30/2011","26","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","26"
"06/02/2011","25","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","25"
"06/05/2011","9","PM2.5","Quincy-N Church Street","06-063-1006","AQS","9"
"06/08/2011","41","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","41"
"06/11/2011","30","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","30"
"06/14/2011","25","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","25"
"06/17/2011","18","PM2.5","Quincy-N Church Street","06-063-1006","AQS","18"
"06/20/2011","17","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","17"
"06/23/2011","31","PM2.5","Quincy-N Church Street","06-063-1006","AQS","31"
"06/26/2011","26","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","26"
"06/29/2011","9","PM2.5","Quincy-N Church Street","06-063-1006","AQS","9"
"07/02/2011","19","PM2.5","Quincy-N Church Street","06-063-1006","AQS","19"
"07/05/2011","28","PM2.5","Quincy-N Church Street","06-063-1006","AQS","28"
"07/08/2011","4","PM2.5","Quincy-N Church Street","06-063-1006","AQS","4"
"07/11/2011","20","PM2.5","Quincy-N Church Street","06-063-1006","AQS","20"
"07/14/2011","17","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","17"
"07/17/2011","14","PM2.5","Quincy-N Church Street","06-063-1006","AQS","14"
"07/20/2011","14","PM2.5","Quincy-N Church Street","06-063-1006","AQS","14"
"07/23/2011","30","PM2.5","Quincy-N Church Street","06-063-1006","AQS","30"
