"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2011","30","Ozone","Redwood City","06-081-1001","AQS","6","30","27","17"
"01/02/2011","30","Ozone","Redwood City","06-081-1001","AQS","5","30","27","19"
"01/03/2011","63","PM2.5","Redwood City","06-081-1001","AQS","8","17","63","22"
"01/04/2011","58","PM2.5","Redwood City","06-081-1001","AQS","13","10","58","31"
"01/05/2011","53","PM2.5","Redwood City","06-081-1001","AQS","14","10","53","36"
"01/06/2011","63","PM2.5","Redwood City","06-081-1001","AQS","16","6","63","34"
"01/07/2011","68","PM2.5","Redwood City","06-081-1001","AQS","10","8","68","26"
"01/08/2011","60","PM2.5","Redwood City","06-081-1001","AQS","7","10","60","20"
"01/09/2011","45","PM2.5","Redwood City","06-081-1001","AQS","7","17","45","26"
"01/10/2011","48","PM2.5","Redwood City","06-081-1001","AQS","13","19","48","34"
"01/11/2011","66","PM2.5","Redwood City","06-081-1001","AQS","10","3","66","29"
"01/12/2011","71","PM2.5","Redwood City","06-081-1001","AQS","11","9","71","33"
"01/13/2011","28","NO2","Redwood City","06-081-1001","AQS","11","1",".","28"
"01/14/2011","47","PM2.5","Redwood City","06-081-1001","AQS","11","12","47","29"
"01/15/2011","64","PM2.5","Redwood City","06-081-1001","AQS","14","6","64","27"
"01/16/2011","76","PM2.5","Redwood City","06-081-1001","AQS","16","6","76","21"
"01/17/2011","66","PM2.5","Redwood City","06-081-1001","AQS","13","3","66","25"
"01/18/2011","43","PM2.5","Redwood City","06-081-1001","AQS","11","7","43","31"
"01/19/2011","35","PM2.5","Redwood City","06-081-1001","AQS","11","15","35","25"
"01/20/2011","43","PM2.5","Redwood City","06-081-1001","AQS","10","18","43","37"
"01/21/2011","72","PM2.5","Redwood City","06-081-1001","AQS","14","10","72","36"
"01/22/2011","48","PM2.5","Redwood City","06-081-1001","AQS","11","21","48","34"
"01/23/2011","39","PM2.5","Redwood City","06-081-1001","AQS","10","25","39","34"
"01/24/2011","63","PM2.5","Redwood City","06-081-1001","AQS","14","8","63","39"
"01/25/2011","54","PM2.5","Redwood City","06-081-1001","AQS","15","16","54","38"
"01/26/2011","58","PM2.5","Redwood City","06-081-1001","AQS","13","21","58","35"
"01/27/2011","63","PM2.5","Redwood City","06-081-1001","AQS","16","10","63","36"
"01/28/2011","67","PM2.5","Redwood City","06-081-1001","AQS","13","25","67","25"
"01/29/2011","37","PM2.5","Redwood City","06-081-1001","AQS","6","34","37","18"
"01/30/2011","35","Ozone","Redwood City","06-081-1001","AQS","7","35","25","21"
"01/31/2011","38","PM2.5","Redwood City","06-081-1001","AQS","14","14","38","24"
"02/01/2011","37","NO2","Redwood City","06-081-1001","AQS","9","31","33","37"
"02/02/2011","26","PM2.5","Redwood City","06-081-1001","AQS",".",".","26","."
"02/03/2011","42","PM2.5","Redwood City","06-081-1001","AQS","14","17","42","40"
"02/04/2011","56","PM2.5","Redwood City","06-081-1001","AQS","15","7","56","41"
"02/05/2011","32","PM2.5","Redwood City","06-081-1001","AQS","15","24","32","28"
"02/06/2011","31","NO2","Redwood City","06-081-1001","AQS","7","29","13","31"
"02/07/2011","38","PM2.5","Redwood City","06-081-1001","AQS","14","27","38","28"
"02/08/2011","31","Ozone","Redwood City","06-081-1001","AQS","6","31","13","26"
"02/09/2011","34","NO2","Redwood City","06-081-1001","AQS","9","29","23","34"
