"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2011","40","PM2.5","Vallejo","06-095-0004","AQS","3","27","0",".","40","9"
"01/02/2011","27","Ozone","Vallejo","06-095-0004","AQS","5","27","0",".","20","13"
"01/03/2011","44","PM2.5","Vallejo","06-095-0004","AQS","9","20","1","13","44","28"
"01/04/2011","53","PM2.5","Vallejo","06-095-0004","AQS","10","19","3",".","53","27"
"01/05/2011","54","PM2.5","Vallejo","06-095-0004","AQS","14","23","1",".","54","25"
"01/06/2011","62","PM2.5","Vallejo","06-095-0004","AQS","9","15","1",".","62","25"
"01/07/2011","76","PM2.5","Vallejo","06-095-0004","AQS","6","19","0",".","76","24"
"01/08/2011","63","PM2.5","Vallejo","06-095-0004","AQS","6","19","0",".","63","14"
"01/09/2011","57","PM2.5","Vallejo","06-095-0004","AQS","15","19","1","11","57","30"
"01/10/2011","64","PM2.5","Vallejo","06-095-0004","AQS","18","20","1",".","64","23"
"01/11/2011","66","PM2.5","Vallejo","06-095-0004","AQS","5","17","1",".","66","14"
"01/12/2011","55","PM2.5","Vallejo","06-095-0004","AQS","5","22","0",".","55","24"
"01/13/2011","73","PM2.5","Vallejo","06-095-0004","AQS","9","11","1",".","73","26"
"01/14/2011","57","PM2.5","Vallejo","06-095-0004","AQS","20","18","7",".","57","23"
"01/15/2011","61","PM2.5","Vallejo","06-095-0004","AQS","22","8","3","14","61","19"
"01/16/2011","75","PM2.5","Vallejo","06-095-0004","AQS","6","13","1",".","75","13"
"01/17/2011","57","PM2.5","Vallejo","06-095-0004","AQS","6","10","0",".","57","13"
"01/18/2011","53","PM2.5","Vallejo","06-095-0004","AQS","15","16","1",".","53","25"
"01/19/2011","51","PM2.5","Vallejo","06-095-0004","AQS","17","32","3",".","51","28"
"01/20/2011","55","PM2.5","Vallejo","06-095-0004","AQS","9","26","1",".","55","29"
"01/21/2011","80","PM2.5","Vallejo","06-095-0004","AQS","15","24","3","15","80","35"
"01/22/2011","75","PM2.5","Vallejo","06-095-0004","AQS","16","35","3",".","75","30"
"01/23/2011","61","PM2.5","Vallejo","06-095-0004","AQS","13","23","1",".","61","28"
"01/24/2011","76","PM2.5","Vallejo","06-095-0004","AQS","17","26","3",".","76","35"
"01/25/2011","90","PM2.5","Vallejo","06-095-0004","AQS","19","19","1",".","90","31"
"01/26/2011","76","PM2.5","Vallejo","06-095-0004","AQS","15","15","3",".","76","29"
"01/27/2011","71","PM2.5","Vallejo","06-095-0004","AQS","7","9","1","20","71","27"
"01/28/2011","64","PM2.5","Vallejo","06-095-0004","AQS","7","25","3",".","64","23"
"01/29/2011","53","PM2.5","Vallejo","06-095-0004","AQS","7","31","1",".","53","23"
"01/30/2011","38","PM2.5","Vallejo","06-095-0004","AQS","10","31","1",".","38","28"
"01/31/2011","53","PM2.5","Vallejo","06-095-0004","AQS","15","19","3",".","53","26"
"02/01/2011","35","NO2","Vallejo","06-095-0004","AQS","6","34","3",".","30","35"
"02/02/2011","43","PM2.5","Vallejo","06-095-0004","AQS","10","36","3","7","43","37"
"02/03/2011","65","PM2.5","Vallejo","06-095-0004","AQS","17","19","4",".","65","35"
"02/04/2011","80","PM2.5","Vallejo","06-095-0004","AQS","17","17","3",".","80","32"
"02/05/2011","60","PM2.5","Vallejo","06-095-0004","AQS","19","33","3",".","60","29"
"02/06/2011","33","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","9","33","3",".","24","29"
"02/07/2011","38","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","11","38","3",".","35","25"
"02/08/2011","38","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","5","38","0","3","23","37"
"02/09/2011","40","NO2","Vallejo","06-095-0004","AQS","9","33","1",".","30","40"
"02/10/2011","55","PM2.5","Vallejo","06-095-0004","AQS","14","31","4",".","55","37"
"02/11/2011","61","PM2.5","Vallejo","06-095-0004","AQS","16","33","4",".","61","37"
"02/12/2011","68","PM2.5","Vallejo","06-095-0004","AQS","11","39","1",".","68","31"
"02/13/2011","59","PM2.5","Vallejo","06-095-0004","AQS","7","43","4",".","59","25"
"02/14/2011","35","Ozone","Vallejo","06-095-0004","AQS","6","35","3","6","21","12"
"02/15/2011","40","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","5","40","3",".","20","9"
"02/16/2011","37","Ozone","Vallejo","06-095-0004","AQS","3","37","1",".","12","14"
"02/17/2011","32","Ozone","Vallejo","06-095-0004","AQS","6","32","3",".","20","27"
"02/18/2011","39","PM2.5","Vallejo","06-095-0004","AQS","9","35","1",".","39","33"
"02/19/2011","32","PM2.5","Vallejo","06-095-0004","AQS","9","30","3",".","32","30"
"02/20/2011","58","PM2.5","Vallejo","06-095-0004","AQS","19","31","3","9","58","25"
"02/21/2011","39","PM2.5","Vallejo","06-095-0004","AQS","11","36","4",".","39","24"
"02/22/2011","37","PM2.5","Vallejo","06-095-0004","AQS","13","33","3",".","37","32"
"02/23/2011","34","Ozone","Vallejo","06-095-0004","AQS","13","34","3",".","31","26"
"02/24/2011","34","Ozone","Vallejo","06-095-0004","AQS","5","34","1",".","23","25"
"02/25/2011","37","Ozone","Vallejo","06-095-0004","AQS","5","37","1",".","13","9"
"02/26/2011","36","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","7","36","1","11","35","31"
"02/27/2011","53","PM2.5","Vallejo","06-095-0004","AQS","14","32","3",".","53","30"
"02/28/2011","41","PM2.5","Vallejo","06-095-0004","AQS","8","36","1",".","41","37"
"03/01/2011","39","PM2.5","Vallejo","06-095-0004","AQS",".","37","4",".","39","32"
"03/02/2011","31","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","5","31","1",".","21","25"
"03/03/2011","37","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","8","37","1",".","26","30"
"03/04/2011","35","PM2.5","Vallejo","06-095-0004","AQS","11","32","4","8","35","23"
"03/05/2011","34","PM2.5","Vallejo","06-095-0004","AQS","8","31","1",".","34","19"
"03/06/2011","32","Ozone","Vallejo","06-095-0004","AQS","5","32","0",".","23","13"
"03/07/2011","37","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS",".","37",".",".","13","."
"03/08/2011","32","Ozone","Vallejo","06-095-0004","AQS","3","32","0",".","20","23"
"03/09/2011","32","PM2.5","Vallejo","06-095-0004","AQS","6","26","1",".","32","27"
"03/10/2011","31","Ozone","Vallejo","06-095-0004","AQS","7","31","1","9","30","28"
"03/11/2011","38","Ozone","Vallejo","06-095-0004","AQS","5","38","1",".","24","6"
"03/12/2011","38","Ozone","Vallejo","06-095-0004","AQS","5","38","1",".","25","17"
"03/13/2011","31","PM2.5","Vallejo","06-095-0004","AQS","7","25","3",".","31","23"
"03/14/2011","27","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","5","27","0",".","21","16"
"03/15/2011","36","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","5","36","1",".","23","20"
"03/16/2011","42","Ozone","Vallejo","06-095-0004","AQS","3","42","0","9","29","12"
"03/17/2011","42","PM2.5","Vallejo","06-095-0004","AQS","9","41","4",".","42","27"
"03/18/2011","43","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","6","43","6",".","30","23"
"03/19/2011","45","Ozone","Vallejo","06-095-0004","AQS","6","45","3",".","18","19"
"03/20/2011","44","Ozone","Vallejo","06-095-0004","AQS","5","44","0",".","20","22"
"03/21/2011","42","Ozone","Vallejo","06-095-0004","AQS","10","42","1",".","25","25"
"03/22/2011","40","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","5","40","1","9","24","32"
"03/23/2011","42","Ozone","Vallejo","06-095-0004","AQS","5","42","1",".","20","21"
"03/24/2011","41","Ozone","Vallejo","06-095-0004","AQS","5","41","1",".","26","9"
"03/25/2011","38","Ozone","Vallejo","06-095-0004","AQS","6","38","1",".","22","32"
"03/26/2011","46","Ozone","Vallejo","06-095-0004","AQS","5","46","1",".","23","32"
"03/27/2011","39","Ozone","Vallejo","06-095-0004","AQS","9","39","1",".","37","28"
"03/28/2011","35","Ozone","Vallejo","06-095-0004","AQS","5","35","0","5","19","25"
"03/29/2011","34","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","6","34","1",".","22","20"
"03/30/2011","26","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","5","26","1",".","21","23"
"03/31/2011","34","Ozone","Vallejo","06-095-0004","AQS","8","34","3",".","30","29"
"04/01/2011","42","Ozone","Vallejo","06-095-0004","AQS","9","42","1",".","36","28"
"04/02/2011","45","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","3","45","0",".","30","10"
"04/03/2011","44","Ozone","Vallejo","06-095-0004","AQS","5","44","1",".","25","32"
"04/04/2011","44","Ozone","Vallejo","06-095-0004","AQS","9","44","3",".","30","30"
"04/05/2011","35","PM2.5","Vallejo","06-095-0004","AQS","3","35","1","14","35","14"
"04/06/2011","49","Ozone","Vallejo","06-095-0004","AQS","6","49","0",".","33","25"
"04/07/2011","45","Ozone","Vallejo","06-095-0004","AQS","3","45","0",".","20","11"
"04/08/2011","44","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","7","44","1",".","23","33"
"04/09/2011","43","PM2.5","Vallejo","06-095-0004","AQS","11","40","1","11","43","29"
"04/10/2011","44","Ozone","Vallejo","06-095-0004","AQS","3","44","0",".","29","8"
"04/11/2011","44","Ozone","Vallejo","06-095-0004","AQS","3","44","0",".","30","8"
"04/12/2011","41","Ozone","Vallejo","06-095-0004","AQS","3","41","0",".","28","21"
"04/13/2011","48","Ozone","Vallejo","06-095-0004","AQS","3","48","0",".","19","8"
"04/14/2011","42","Ozone","Vallejo","06-095-0004","AQS","5","42","0",".","33","21"
"04/15/2011","37","Ozone","Fairfield","06-095-0005","AQS","5","37","1","10","30","15"
"04/16/2011","31","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","3","31","1",".","11","4"
"04/17/2011","25","Ozone","Vallejo","06-095-0004","AQS","3","25","0",".","3","3"
"04/18/2011","26","Ozone","Vallejo","06-095-0004","AQS","3","26","0",".","15","7"
"04/19/2011","37","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","3","37","1",".","14","8"
"04/20/2011","34","Ozone","Vallejo","06-095-0004","AQS","3","34","0",".","26","8"
"04/21/2011","39","Ozone","Vallejo","06-095-0004","AQS","3","39","0","6","15","7"
"04/22/2011","37","Ozone","Vallejo","06-095-0004","AQS","3","37","1",".","32","14"
"04/23/2011","42","Ozone","Vallejo","06-095-0004","AQS","3","42","1",".","25","6"
"04/24/2011","39","Ozone","Vallejo","06-095-0004","AQS","3","39","0",".","6","3"
"04/25/2011","39","Ozone","Vallejo","06-095-0004","AQS","5","39","1",".","24","8"
"04/26/2011","41","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","3","41","0",".","26","14"
"04/27/2011","43","Ozone","Fairfield","06-095-0005","AQS","3","43","0",".","28","7"
"04/28/2011","39","Ozone","Vallejo","06-095-0004","AQS","3","39","1",".","28","12"
"04/29/2011","41","Ozone","Fairfield","06-095-0005","AQS","5","41","1",".","23","27"
"04/30/2011","45","Ozone","Vallejo","06-095-0004","AQS","5","45","0","6","23","28"
"05/01/2011","48","Ozone","Vallejo","06-095-0004","AQS","8","48","1",".","28","24"
"05/02/2011","49","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","3","49","1",".","30","11"
"05/03/2011","58","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","5","58","0","15","31","34"
"05/04/2011","67","Ozone","Fairfield","06-095-0005","AQS","7","67","3",".","35","29"
"05/05/2011","77","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","7","77","1",".","45","26"
"05/06/2011","40","Ozone","Vallejo","06-095-0004","AQS","3","40","1",".","35","15"
"05/07/2011","42","Ozone","Vallejo","06-095-0004","AQS","3","42","0",".","20","2"
"05/08/2011","41","Ozone","Vallejo","06-095-0004","AQS","3","41","0",".","10","2"
"05/09/2011","42","Ozone","Fairfield","06-095-0005","AQS","5","42","0","7","17","13"
"05/10/2011","40","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","8","40","3",".","38","25"
"05/11/2011","39","Ozone","Vallejo","06-095-0004","AQS",".","39",".",".","21","."
"05/12/2011","36","Ozone","Vallejo","06-095-0004","AQS","3","36","0",".","15","8"
"05/13/2011","47","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","3","47","1",".","34","12"
"05/14/2011","43","Ozone","Vallejo","06-095-0004","AQS","3","43","0",".","28","3"
"05/15/2011","42","Ozone","Vallejo","06-095-0004","AQS","3","42","3","5","9","14"
"05/16/2011","40","Ozone","Fairfield","06-095-0005","AQS","3","40","3",".","11","15"
"05/17/2011","36","Ozone","Fairfield","06-095-0005","AQS","3","36","1",".","13","12"
"05/18/2011","34","Ozone","Fairfield","06-095-0005","AQS",".","34",".",".","13","."
"05/19/2011","46","PM2.5","Vallejo","06-095-0004","AQS","5","37","1",".","46","17"
"05/20/2011","46","PM2.5","Vallejo","06-095-0004","AQS","3","38","1",".","46","8"
"05/21/2011","42","PM2.5","Vallejo","06-095-0004","AQS","3","39","1","14","42","8"
"05/22/2011","41","Ozone","Vallejo","06-095-0004","AQS","3","41","0",".","31","4"
"05/23/2011","40","Ozone","Vallejo","06-095-0004","AQS","3","40","0",".","28","4"
"05/24/2011","44","Ozone","Fairfield","06-095-0005","AQS","3","44","1",".","34","10"
"05/25/2011","41","Ozone","Vallejo","06-095-0004","AQS","3","41","1",".","18","11"
"05/26/2011","40","Ozone","Fairfield","06-095-0005","AQS","3","40","1",".","14","25"
"05/27/2011","40","Ozone","Fairfield","06-095-0005","AQS","3","40","0","7","27","9"
"05/28/2011","38","Ozone","Fairfield","06-095-0005","AQS","3","38","0",".","20","3"
"05/29/2011","39","Ozone","Vacaville-Ulatis Drive","06-095-3003","AQS","3","39","0",".","16","2"
"05/30/2011","37","Ozone","Fairfield","06-095-0005","AQS","3","37","0",".","24","2"
"05/31/2011","39","Ozone","Fairfield","06-095-0005","AQS","3","39","4",".","14","13"
