"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2013","101","PM2.5","Merced-M Street","06-047-2510","AQS","20",".","101","19"
"01/02/2013","61","PM2.5","Merced-Coffee","06-047-0003","AQS","14",".","61","27"
"01/03/2013","66","PM2.5","Merced-Coffee","06-047-0003","AQS","16",".","66","25"
"01/04/2013","90","PM2.5","Merced-Coffee","06-047-0003","AQS","14",".","90","."
"01/05/2013","117","PM2.5","Merced-Coffee","06-047-0003","AQS","21",".","117","."
"01/06/2013","60","PM2.5","Merced-Coffee","06-047-0003","AQS","19",".","60","."
"01/07/2013","68","PM2.5","Merced-M Street","06-047-2510","AQS","16",".","68","."
"01/08/2013","48","PM2.5","Merced-Coffee","06-047-0003","AQS","18",".","48","."
"01/09/2013","63","PM2.5","Merced-Coffee","06-047-0003","AQS","28",".","63","."
"01/10/2013","28","Ozone","Merced-Coffee","06-047-0003","AQS","28","6","21","."
"01/11/2013","46","PM2.5","Merced-Coffee","06-047-0003","AQS","23",".","46","."
"01/12/2013","63","PM2.5","Merced-Coffee","06-047-0003","AQS","22",".","63","."
"01/13/2013","84","PM2.5","Merced-M Street","06-047-2510","AQS","23",".","84","."
"01/14/2013","59","PM2.5","Merced-Coffee","06-047-0003","AQS","21",".","59","."
"01/15/2013","68","PM2.5","Merced-Coffee","06-047-0003","AQS","22",".","68","."
"01/16/2013","78","PM2.5","Merced-Coffee","06-047-0003","AQS","19","46","78","."
"01/17/2013","76","PM2.5","Merced-Coffee","06-047-0003","AQS","20",".","76","."
"01/18/2013","137","PM2.5","Merced-M Street","06-047-2510","AQS","19",".","137","."
"01/19/2013","124","PM2.5","Merced-M Street","06-047-2510","AQS","20",".","124","."
"01/20/2013","72","PM2.5","Merced-Coffee","06-047-0003","AQS","24",".","72","."
"01/21/2013","76","PM2.5","Merced-Coffee","06-047-0003","AQS","24",".","76","."
"01/22/2013","125","PM2.5","Merced-M Street","06-047-2510","AQS","18","47","125","."
"01/23/2013","81","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","81","."
"01/24/2013","99","PM2.5","Merced-Coffee","06-047-0003","AQS","6",".","99","."
"01/25/2013","75","PM2.5","Merced-M Street","06-047-2510","AQS","6",".","75","16"
"01/26/2013","53","PM2.5","Merced-Coffee","06-047-0003","AQS","26",".","53","12"
"01/27/2013","26","Ozone","Merced-Coffee","06-047-0003","AQS","26",".","19","18"
"01/28/2013","30","PM2.5","Merced-Coffee","06-047-0003","AQS","25",".","30","16"
"01/29/2013","30","PM2.5","Merced-Coffee","06-047-0003","AQS","20",".","30","25"
"01/30/2013","57","PM2.5","Merced-Coffee","06-047-0003","AQS","24",".","57","25"
"01/31/2013","90","PM2.5","Merced-M Street","06-047-2510","AQS","23",".","90","33"
"02/01/2013","73","PM2.5","Merced-Coffee","06-047-0003","AQS","26",".","73","31"
"02/02/2013","90","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","90","20"
"02/03/2013","77","PM2.5","Merced-M Street","06-047-2510","AQS","27","29","77","16"
"02/04/2013","58","PM2.5","Merced-Coffee","06-047-0003","AQS","27",".","58","32"
"02/05/2013","54","PM2.5","Merced-Coffee","06-047-0003","AQS","20",".","54","11"
"02/06/2013","61","PM2.5","Merced-M Street","06-047-2510","AQS","16",".","61","9"
"02/07/2013","54","PM2.5","Merced-Coffee","06-047-0003","AQS","25",".","54","15"
"02/08/2013","33","PM2.5","Merced-Coffee","06-047-0003","AQS","25",".","33","22"
"02/09/2013","70","PM2.5","Merced-M Street","06-047-2510","AQS","25","21","70","12"
"02/10/2013","63","PM2.5","Merced-Coffee","06-047-0003","AQS","30",".","63","18"
"02/11/2013","58","PM2.5","Merced-Coffee","06-047-0003","AQS","27",".","58","19"
"02/12/2013","75","PM2.5","Merced-M Street","06-047-2510","AQS","29","31","75","36"
"02/13/2013","65","PM2.5","Merced-Coffee","06-047-0003","AQS","29",".","65","21"
"02/14/2013","68","PM2.5","Merced-Coffee","06-047-0003","AQS","28",".","68","34"
"02/15/2013","69","PM2.5","Merced-M Street","06-047-2510","AQS","33","31","69","34"
"02/16/2013","77","PM2.5","Merced-Coffee","06-047-0003","AQS","26",".","77","26"
"02/17/2013","57","PM2.5","Merced-Coffee","06-047-0003","AQS","30",".","57","12"
"02/18/2013","56","PM2.5","Merced-M Street","06-047-2510","AQS","28",".","56","10"
"02/19/2013","28","Ozone","Merced-Coffee","06-047-0003","AQS","28",".","15","13"
"02/20/2013","29","PM2.5","Merced-Coffee","06-047-0003","AQS","22",".","29","16"
"02/21/2013","54","PM2.5","Merced-Coffee","06-047-0003","AQS","24","18","54","22"
"02/22/2013","59","PM2.5","Merced-Coffee","06-047-0003","AQS","25",".","59","15"
"02/23/2013","44","PM2.5","Merced-Coffee","06-047-0003","AQS","31",".","44","11"
"02/24/2013","31","PM2.5","Merced-Coffee","06-047-0003","AQS","28",".","31","14"
"02/25/2013","48","PM2.5","Merced-Coffee","06-047-0003","AQS","29",".","48","18"
"02/26/2013","48","PM2.5","Merced-Coffee","06-047-0003","AQS","28",".","48","29"
"02/27/2013","66","PM2.5","Merced-M Street","06-047-2510","AQS","32","27","66","23"
"02/28/2013","28","Ozone","Merced-Coffee","06-047-0003","AQS","28",".",".","25"
"03/01/2013","55","PM2.5","Merced-Coffee","06-047-0003","AQS","33",".","55","25"
"03/02/2013","73","PM2.5","Merced-Coffee","06-047-0003","AQS","39",".","73","12"
"03/03/2013","52","PM2.5","Merced-Coffee","06-047-0003","AQS","29",".","52","."
"03/04/2013","40","PM2.5","Merced-Coffee","06-047-0003","AQS","27",".","40","16"
"03/05/2013","44","PM2.5","Merced-Coffee","06-047-0003","AQS","29",".","44","13"
"03/06/2013","27","PM2.5","Merced-Coffee","06-047-0003","AQS","22",".","27","14"
"03/07/2013","29","PM2.5","Merced-Coffee","06-047-0003","AQS","23",".","29","17"
"03/08/2013","36","PM2.5","Merced-Coffee","06-047-0003","AQS","22",".","36","9"
"03/09/2013","38","PM2.5","Merced-Coffee","06-047-0003","AQS","26",".","38","14"
"03/10/2013","52","PM2.5","Merced-Coffee","06-047-0003","AQS","30",".","52","16"
"03/11/2013","50","PM2.5","Merced-Coffee","06-047-0003","AQS","31","24","50","16"
"03/12/2013","59","PM2.5","Merced-Coffee","06-047-0003","AQS","38",".","59","18"
"03/13/2013","62","PM2.5","Merced-Coffee","06-047-0003","AQS","41",".","62","30"
"03/14/2013","62","PM2.5","Merced-Coffee","06-047-0003","AQS","42",".","62","13"
"03/16/2013","32","Ozone","Merced-Coffee","06-047-0003","AQS","32",".",".","16"
"03/17/2013","34","Ozone","Merced-Coffee","06-047-0003","AQS","34","14","15","8"
"03/18/2013","30","Ozone","Merced-Coffee","06-047-0003","AQS","30",".",".","22"
"03/19/2013","35","Ozone","Merced-Coffee","06-047-0003","AQS","35",".",".","16"
"03/20/2013","35","PM2.5","Merced-Coffee","06-047-0003","AQS","27",".","35","13"
"03/21/2013","31","PM2.5","Merced-Coffee","06-047-0003","AQS","27",".","31","8"
"03/22/2013","42","PM2.5","Merced-Coffee","06-047-0003","AQS","38",".","42","14"
"03/23/2013","45","PM2.5","Merced-Coffee","06-047-0003","AQS","38","18","45","18"
"03/24/2013","50","PM2.5","Merced-Coffee","06-047-0003","AQS","41",".","50","16"
"03/25/2013","49","PM2.5","Merced-Coffee","06-047-0003","AQS","38",".","49","16"
"03/26/2013","32","PM2.5","Merced-Coffee","06-047-0003","AQS","31",".","32","16"
"03/27/2013","29","Ozone","Merced-Coffee","06-047-0003","AQS","29",".","22","6"
"03/28/2013","30","PM2.5","Merced-Coffee","06-047-0003","AQS","30",".","30","10"
"03/29/2013","44","PM2.5","Merced-Coffee","06-047-0003","AQS","34","18","44","12"
"03/30/2013","42","PM2.5","Merced-Coffee","06-047-0003","AQS","33",".","42","16"
"03/31/2013","31","Ozone","Merced-Coffee","06-047-0003","AQS","31",".","28","4"
"04/01/2013","34","PM2.5","Merced-Coffee","06-047-0003","AQS","30",".","34","11"
"04/02/2013","30","PM2.5","Merced-Coffee","06-047-0003","AQS","30",".","30","18"
"04/03/2013","35","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","35","15"
"04/04/2013","30","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","30","."
"04/05/2013","23","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","23","."
"04/06/2013","24","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","24","."
"04/07/2013","28","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","28","."
"04/08/2013","11","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","11","."
"04/09/2013","13","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","13","."
"04/10/2013","40","PM2.5","Merced-Coffee","06-047-0003","AQS",".","19","40","."
"04/11/2013","35","PM2.5","Merced-Coffee","06-047-0003","AQS","31",".","35","."
"04/12/2013","47","PM2.5","Merced-Coffee","06-047-0003","AQS","37",".","47","21"
"04/13/2013","45","PM2.5","Merced-Coffee","06-047-0003","AQS","36",".","45","16"
"04/14/2013","35","Ozone","Merced-Coffee","06-047-0003","AQS","35",".","28","4"
"04/15/2013","34","Ozone","Merced-Coffee","06-047-0003","AQS","34",".","17","8"
"04/16/2013","19","PM10","Merced-M Street","06-047-2510","AQS",".","19","14","7"
"04/17/2013","13","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","13","8"
"04/18/2013","25","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","25","14"
"04/19/2013","28","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","28","19"
"04/20/2013","42","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","42","23"
"04/21/2013","40","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","40","16"
"04/22/2013","46","PM2.5","Merced-Coffee","06-047-0003","AQS",".","37","46","20"
"04/23/2013","32","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","32","9"
"04/24/2013","34","PM2.5","Merced-Coffee","06-047-0003","AQS",".","33","34","."
"04/25/2013","51","Ozone","Merced-Coffee","06-047-0003","AQS","51",".","41","5"
"04/26/2013","61","Ozone","Merced-Coffee","06-047-0003","AQS","61",".","44","8"
"04/27/2013","77","Ozone","Merced-Coffee","06-047-0003","AQS","77",".","55","14"
"04/28/2013","77","Ozone","Merced-Coffee","06-047-0003","AQS","77","31","55","16"
"04/29/2013","61","Ozone","Merced-Coffee","06-047-0003","AQS","61",".",".","20"
"04/30/2013","67","Ozone","Merced-Coffee","06-047-0003","AQS","67",".",".","8"
"05/01/2013","31","NO2","Merced-Coffee","06-047-0003","AQS",".",".",".","31"
"05/02/2013","129","Ozone","Merced-Coffee","06-047-0003","AQS","129",".","71","."
"05/03/2013","133","Ozone","Merced-Coffee","06-047-0003","AQS","133",".","62","27"
"05/04/2013","112","Ozone","Merced-Coffee","06-047-0003","AQS","112","42","58","25"
"05/05/2013","47","Ozone","Merced-Coffee","06-047-0003","AQS","47",".","42","9"
"05/06/2013","47","Ozone","Merced-Coffee","06-047-0003","AQS","47",".","27","12"
"05/07/2013","47","PM2.5","Merced-Coffee","06-047-0003","AQS","47",".","47","12"
"05/08/2013","54","Ozone","Merced-Coffee","06-047-0003","AQS","54",".","49","17"
"05/09/2013","64","Ozone","Merced-Coffee","06-047-0003","AQS","64",".","48","6"
"05/10/2013","80","Ozone","Merced-Coffee","06-047-0003","AQS","80","23","50","7"
"05/11/2013","105","Ozone","Merced-Coffee","06-047-0003","AQS","105",".","56","15"
"05/12/2013","90","Ozone","Merced-Coffee","06-047-0003","AQS","90",".","30","9"
"05/13/2013","84","Ozone","Merced-Coffee","06-047-0003","AQS","84",".","33","16"
"05/14/2013","54","Ozone","Merced-Coffee","06-047-0003","AQS","54",".","45","13"
"05/15/2013","64","Ozone","Merced-Coffee","06-047-0003","AQS","64",".","48","12"
"05/16/2013","46","Ozone","Merced-Coffee","06-047-0003","AQS","46","16","25","10"
