"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2013","6","PM2.5","Redwood NP","06-015-0002","AQS",".","6"
"01/04/2013","26","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","26","7"
"01/07/2013","2","PM2.5","Redwood NP","06-015-0002","AQS",".","2"
"01/10/2013","3","PM2.5","Redwood NP","06-015-0002","AQS",".","3"
"01/12/2013","8","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","8","."
"01/13/2013","4","PM2.5","Redwood NP","06-015-0002","AQS",".","4"
"01/16/2013","18","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","18","8"
"01/19/2013","12","PM2.5","Redwood NP","06-015-0002","AQS",".","12"
"01/22/2013","22","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","22","7"
"01/25/2013","5","PM2.5","Redwood NP","06-015-0002","AQS",".","5"
"01/28/2013","7","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","7","3"
"01/31/2013","7","PM2.5","Redwood NP","06-015-0002","AQS",".","7"
"02/03/2013","21","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","21","20"
"02/06/2013","17","PM2.5","Redwood NP","06-015-0002","AQS",".","17"
"02/09/2013","19","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","19","10"
"02/12/2013","14","PM2.5","Redwood NP","06-015-0002","AQS",".","14"
"02/15/2013","17","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","17","11"
"02/18/2013","13","PM2.5","Redwood NP","06-015-0002","AQS",".","13"
"02/21/2013","20","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","20","13"
"02/24/2013","19","PM2.5","Redwood NP","06-015-0002","AQS",".","19"
"02/27/2013","15","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","15","13"
"03/02/2013","4","PM2.5","Redwood NP","06-015-0002","AQS",".","4"
"03/05/2013","10","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","10","6"
"03/08/2013","9","PM2.5","Redwood NP","06-015-0002","AQS",".","9"
"03/11/2013","14","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","14","10"
"03/14/2013","4","PM2.5","Redwood NP","06-015-0002","AQS",".","4"
"03/17/2013","12","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","12","8"
"03/20/2013","5","PM2.5","Redwood NP","06-015-0002","AQS",".","5"
"03/23/2013","15","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","15","12"
"03/26/2013","17","PM2.5","Redwood NP","06-015-0002","AQS",".","17"
"03/29/2013","7","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","7","5"
"04/01/2013","3","PM2.5","Redwood NP","06-015-0002","AQS",".","3"
"04/04/2013","10","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","10","."
"04/07/2013","13","PM2.5","Redwood NP","06-015-0002","AQS",".","13"
"04/10/2013","12","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","12","10"
"04/13/2013","17","PM2.5","Redwood NP","06-015-0002","AQS",".","17"
"04/16/2013","16","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","16","14"
"04/19/2013","8","PM2.5","Redwood NP","06-015-0002","AQS",".","8"
"04/22/2013","19","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","19","17"
"04/25/2013","17","PM2.5","Redwood NP","06-015-0002","AQS",".","17"
"04/28/2013","14","PM2.5","Redwood NP","06-015-0002","AQS","11","14"
"05/01/2013","23","PM2.5","Redwood NP","06-015-0002","AQS",".","23"
"05/04/2013","20","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","20","18"
"05/07/2013","8","PM2.5","Redwood NP","06-015-0002","AQS",".","8"
"05/10/2013","5","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","5","4"
"05/13/2013","6","PM2.5","Redwood NP","06-015-0002","AQS",".","6"
"05/16/2013","13","PM2.5","Redwood NP","06-015-0002","AQS","9","13"
"05/19/2013","20","PM2.5","Redwood NP","06-015-0002","AQS",".","20"
"05/22/2013","14","PM2.5","Redwood NP","06-015-0002","AQS","10","14"
"05/25/2013","13","PM2.5","Redwood NP","06-015-0002","AQS",".","13"
"05/28/2013","8","PM2.5","Redwood NP","06-015-0002","AQS","4","8"
"05/31/2013","19","PM2.5","Redwood NP","06-015-0002","AQS",".","19"
"06/03/2013","56","PM2.5","Redwood NP","06-015-0002","AQS",".","56"
"06/06/2013","3","PM2.5","Redwood NP","06-015-0002","AQS",".","3"
"06/09/2013","72","PM2.5","Redwood NP","06-015-0002","AQS","42","72"
"06/12/2013","14","PM2.5","Redwood NP","06-015-0002","AQS",".","14"
"06/15/2013","10","PM2.5","Redwood NP","06-015-0002","AQS","6","10"
"06/18/2013","7","PM2.5","Redwood NP","06-015-0002","AQS",".","7"
"06/21/2013","9","PM2.5","Redwood NP","06-015-0002","AQS","7","9"
"06/24/2013","4","PM2.5","Redwood NP","06-015-0002","AQS",".","4"
"06/27/2013","6","PM2.5","Redwood NP","06-015-0002","AQS","3","6"
"06/30/2013","6","PM2.5","Redwood NP","06-015-0002","AQS",".","6"
"07/03/2013","35","PM2.5","Redwood NP","06-015-0002","AQS","21","35"
"07/06/2013","52","PM2.5","Redwood NP","06-015-0002","AQS",".","52"
"07/08/2013","6","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","6","."
"07/09/2013","18","PM2.5","Redwood NP","06-015-0002","AQS",".","18"
"07/12/2013","30","PM2.5","Redwood NP","06-015-0002","AQS",".","30"
"07/15/2013","15","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","15","14"
"07/18/2013","16","PM2.5","Redwood NP","06-015-0002","AQS",".","16"
"07/21/2013","12","PM2.5","Redwood NP","06-015-0002","AQS","8","12"
"07/24/2013","16","PM2.5","Redwood NP","06-015-0002","AQS",".","16"
"07/27/2013","47","PM2.5","Redwood NP","06-015-0002","AQS","18","47"
"07/30/2013","11","PM2.5","Redwood NP","06-015-0002","AQS",".","11"
"08/02/2013","15","PM2.5","Redwood NP","06-015-0002","AQS",".","15"
