"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2013","67","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","10","27",".","67","30"
"01/02/2013","54","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","16",".","54","30"
"01/03/2013","61","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","10","19",".","61","28"
"01/04/2013","63","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","20","19","63","25"
"01/05/2013","79","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","10","24",".","79","23"
"01/06/2013","45","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","8","24",".","45","19"
"01/07/2013","53","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","11","21",".","53","25"
"01/08/2013","68","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","11","12",".","68","22"
"01/09/2013","76","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","34",".","76","27"
"01/10/2013","47","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","10","33","8","47","30"
"01/11/2013","55","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","33",".","55","35"
"01/12/2013","50","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","29",".","50","22"
"01/13/2013","60","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","7","27",".","60","27"
"01/14/2013","44","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","8","28",".","44","30"
"01/15/2013","66","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","20",".","66","37"
"01/16/2013","75","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","20","22","75","30"
"01/17/2013","75","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","21",".","75","33"
"01/18/2013","65","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","21",".","65","36"
"01/19/2013","59","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","26",".","59","31"
"01/20/2013","62","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","25",".","62","30"
"01/21/2013","67","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","21",".","67","32"
"01/22/2013","68","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","9","19","19","68","32"
"01/23/2013","84","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","10","15",".","84","27"
"01/24/2013","85","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","8","11",".","85","22"
"01/25/2013","59","PM2.5","Santa Rosa - 5th St","06-097-0003","AQS","8","11",".","59","17"
"01/26/2013","35","Ozone","Healdsburg-Municipal Airport","06-097-1003","AQS","8","35",".","27","24"
"01/27/2013","32","Ozone","Healdsburg-Municipal Airport","06-097-1003","AQS","7","32",".","26","26"
