"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2013","103","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","14","29","0","14","103","31"
"01/02/2013","87","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","24","0","14","87","36"
"01/03/2013","92","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","19","20","0","16","92","30"
"01/04/2013","97","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","17","22","0","29","97","33"
"01/05/2013","96","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","20","19","1","18","96","26"
"01/06/2013","96","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","16","32","0","6","96","31"
"01/07/2013","80","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","19","18","0","10","80","26"
"01/08/2013","63","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","16","22","1","11","63","28"
"01/09/2013","64","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","24","0","10","64","25"
"01/10/2013","55","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","14","31","0","15","55","34"
"01/11/2013","59","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","17","30","0","11","59","33"
"01/12/2013","70","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","14","31","1","6","70","34"
"01/13/2013","109","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","23","31","1","5","109","31"
"01/14/2013","43","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","33","0","8","43","38"
"01/15/2013","76","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","31","0","15","76","37"
"01/16/2013","116","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","18","25","1","39","116","42"
"01/17/2013","118","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","26","28","1","16","118","41"
"01/18/2013","93","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","23","24","1","11","93","37"
"01/19/2013","89","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","22","29","1","18","89","37"
"01/20/2013","93","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","23","29","1","15","93","34"
"01/21/2013","73","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","18","31","1","14","73","39"
"01/22/2013","82","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","19","27","1","31","82","34"
"01/23/2013","94","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","18","20",".","17","94","32"
