"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2013","25","Ozone","Sonora-Barretta Street","06-109-0005","AQS","25","."
"01/02/2013","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"01/03/2013","24","Ozone","Sonora-Barretta Street","06-109-0005","AQS","24","."
"01/04/2013","25","Ozone","Sonora-Barretta Street","06-109-0005","AQS","25","."
"01/05/2013","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"01/06/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/07/2013","23","Ozone","Sonora-Barretta Street","06-109-0005","AQS","23","."
"01/08/2013","23","Ozone","Sonora-Barretta Street","06-109-0005","AQS","23","."
"01/09/2013","28","Ozone","Sonora-Barretta Street","06-109-0005","AQS","28","."
"01/10/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/11/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/12/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/13/2013","33","Ozone","Sonora-Barretta Street","06-109-0005","AQS","33","."
"01/14/2013","32","Ozone","Sonora-Barretta Street","06-109-0005","AQS","32","."
"01/15/2013","27","Ozone","Sonora-Barretta Street","06-109-0005","AQS","27","."
"01/16/2013","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"01/17/2013","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"01/18/2013","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"01/19/2013","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"01/20/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/21/2013","28","Ozone","Sonora-Barretta Street","06-109-0005","AQS","28","."
"01/22/2013","26","Ozone","Sonora-Barretta Street","06-109-0005","AQS","26","."
"01/23/2013","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"01/24/2013","11","Ozone","Sonora-Barretta Street","06-109-0005","AQS","11","."
"01/25/2013","16","Ozone","Sonora-Barretta Street","06-109-0005","AQS","16","."
"01/26/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/27/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/28/2013","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"01/29/2013","28","Ozone","Sonora-Barretta Street","06-109-0005","AQS","28","."
"01/30/2013","28","Ozone","Sonora-Barretta Street","06-109-0005","AQS","28","."
"01/31/2013","27","Ozone","Sonora-Barretta Street","06-109-0005","AQS","27","."
"02/01/2013","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"02/02/2013","20","Ozone","Sonora-Barretta Street","06-109-0005","AQS","20","."
"02/03/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"02/04/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"02/05/2013","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"02/06/2013","26","Ozone","Sonora-Barretta Street","06-109-0005","AQS","26","."
"02/07/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"02/08/2013","34","Ozone","Sonora-Barretta Street","06-109-0005","AQS","34","."
"02/09/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"02/10/2013","33","Ozone","Sonora-Barretta Street","06-109-0005","AQS","33","."
"02/11/2013","38","Ozone","Sonora-Barretta Street","06-109-0005","AQS","38","."
"02/12/2013","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"02/13/2013","35","Ozone","Sonora-Barretta Street","06-109-0005","AQS","35","."
"02/14/2013","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"02/15/2013","36","Ozone","Sonora-Barretta Street","06-109-0005","AQS","36","."
"02/16/2013","34","Ozone","Sonora-Barretta Street","06-109-0005","AQS","34","."
"02/17/2013","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"02/18/2013","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"02/19/2013","35","Ozone","Sonora-Barretta Street","06-109-0005","AQS","35","."
"02/20/2013","25","Ozone","Sonora-Barretta Street","06-109-0005","AQS","25","."
"02/21/2013","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"02/22/2013","32","Ozone","Sonora-Barretta Street","06-109-0005","AQS","32","."
"02/23/2013","38","Ozone","Sonora-Barretta Street","06-109-0005","AQS","38","."
"02/24/2013","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"02/25/2013","38","Ozone","Sonora-Barretta Street","06-109-0005","AQS","38","."
"02/26/2013","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"02/27/2013","43","Ozone","Sonora-Barretta Street","06-109-0005","AQS","43","."
"02/28/2013","43","Ozone","Sonora-Barretta Street","06-109-0005","AQS","43","."
"03/01/2013","41","Ozone","Sonora-Barretta Street","06-109-0005","AQS","41","."
