"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2013","120","PM2.5","Fresno - Garland","06-019-0011","AQS","14","29","0","46","120","24"
"01/02/2013","100","PM2.5","Fresno - Garland","06-019-0011","AQS","26","32","1","42","100","30"
"01/03/2013","111","PM2.5","Fresno - Garland","06-019-0011","AQS","19","28","1","44","111","35"
"01/04/2013","149","PM2.5","Fresno - Garland","06-019-0011","AQS","17","25","1","54","149","40"
"01/05/2013","124","PM2.5","Fresno - Garland","06-019-0011","AQS","20","28","0","50","124","38"
"01/06/2013","56","PM2.5","Tranquillity","06-019-2009","AQS","8","35","0","9","56","18"
"01/07/2013","93","PM2.5","Fresno - Garland","06-019-0011","AQS","17","27","1","34","93","29"
"01/08/2013","100","PM2.5","Fresno - Garland","06-019-0011","AQS","23","25","1","43","100","35"
"01/09/2013","96","PM2.5","Fresno - Garland","06-019-0011","AQS","18","33","0","39","96","30"
"01/10/2013","35","Ozone","Tranquillity","06-019-2009","AQS","5","35","0","10","32","29"
"01/11/2013","70","PM2.5","Fresno - Garland","06-019-0011","AQS","15","31","1","25","70","33"
"01/12/2013","98","PM2.5","Fresno - Garland","06-019-0011","AQS","18","31","0","37","98","34"
"01/13/2013","109","PM2.5","Fresno-Pacific","06-019-5025","AQS","23","32","1","37","109","30"
"01/14/2013","103","PM2.5","Fresno - Garland","06-019-0011","AQS","16","31","1","41","103","37"
"01/15/2013","115","PM2.5","Fresno - Garland","06-019-0011","AQS","22","32","1","50","115","41"
"01/16/2013","110","PM2.5","Fresno - Garland","06-019-0011","AQS","23","29","1","48","110","42"
"01/17/2013","107","PM2.5","Fresno - Garland","06-019-0011","AQS","20","31","1","50","107","44"
"01/18/2013","126","PM2.5","Fresno-Pacific","06-019-5025","AQS","17","22","1","49","126","42"
"01/19/2013","130","PM2.5","Fresno-Pacific","06-019-5025","AQS","23","37","1","50","130","42"
"01/20/2013","123","PM2.5","Fresno - Garland","06-019-0011","AQS","20","37","1","50","123","37"
"01/21/2013","125","PM2.5","Fresno - Garland","06-019-0011","AQS","17","42","1","52","125","45"
"01/22/2013","140","PM2.5","Fresno - Garland","06-019-0011","AQS","15","40","1","63","140","46"
"01/23/2013","131","PM2.5","Tranquillity","06-019-2009","AQS","16","14","0","46","131","32"
"01/24/2013","117","PM2.5","Fresno - Garland","06-019-0011","AQS","6","10","0","45","117","21"
"01/25/2013","129","PM2.5","Fresno-Pacific","06-019-5025","AQS","6","25","0","21","129","19"
"01/26/2013","57","PM2.5","Fresno - Garland","06-019-0011","AQS","6","30","0","18","57","21"
"01/27/2013","42","PM2.5","Fresno - Garland","06-019-0011","AQS","5","34","0","13","42","27"
"01/28/2013","69","PM2.5","Clovis-Villa","06-019-5001","AQS","11","31","1","20","69","32"
"01/29/2013","84","PM2.5","Fresno - Garland","06-019-0011","AQS","15","31","0","33","84","66"
"01/30/2013","86","PM2.5","Fresno - Garland","06-019-0011","AQS","15","33","1","39","86","37"
"01/31/2013","93","NO2","Fresno-Sky Park","06-019-0242","AQS","16","39","1","36","83","93"
"02/01/2013","89","PM2.5","Fresno - Garland","06-019-0011","AQS","11","40","1","44","89","43"
"02/02/2013","97","PM2.5","Fresno - Garland","06-019-0011","AQS","14","26","0","44","97","25"
"02/03/2013","94","PM2.5","Fresno-Pacific","06-019-5025","AQS","11","33","0","35","94","27"
"02/04/2013","90","PM2.5","Fresno - Garland","06-019-0011","AQS","10","41","1","38","90","78"
"02/05/2013","97","PM2.5","Fresno - Garland","06-019-0011","AQS","9","30","0","45","97","33"
"02/06/2013","69","PM2.5","Fresno - Garland","06-019-0011","AQS","13","27","1","28","69","25"
"02/07/2013","74","PM2.5","Fresno - Garland","06-019-0011","AQS","15","37","1","29","74","35"
"02/08/2013","48","PM2.5","Fresno - Garland","06-019-0011","AQS","5","36","0","14","48","42"
"02/09/2013","76","PM2.5","Fresno - Garland","06-019-0011","AQS","14","36","0","27","76","34"
"02/10/2013","74","PM2.5","Fresno - Garland","06-019-0011","AQS","17","37","0","25","74","28"
"02/11/2013","60","PM2.5","Fresno - Garland","06-019-0011","AQS","9","40","0","22","60","45"
"02/12/2013","72","PM2.5","Fresno - Garland","06-019-0011","AQS","10","43","0","31","72","49"
"02/13/2013","83","PM2.5","Fresno - Garland","06-019-0011","AQS","15","45","1","39","83","41"
"02/14/2013","81","PM2.5","Fresno - Garland","06-019-0011","AQS","14","48","1","38","81","51"
"02/15/2013","82","PM2.5","Fresno - Garland","06-019-0011","AQS","13","51","0","44","82","42"
"02/16/2013","74","PM2.5","Fresno - Garland","06-019-0011","AQS","17","44","0","33","74","40"
"02/17/2013","71","PM2.5","Fresno - Garland","06-019-0011","AQS","8","41","0","29","71","31"
"02/18/2013","75","PM2.5","Fresno - Garland","06-019-0011","AQS","10","44","0","35","75","23"
"02/19/2013","39","Ozone","Tranquillity","06-019-2009","AQS","3","39","0","12","35","14"
"02/20/2013","55","PM2.5","Fresno - Garland","06-019-0011","AQS","5","33","0","13","55","22"
"02/21/2013","60","PM2.5","Fresno - Garland","06-019-0011","AQS","9","32","0","21","60","46"
"02/22/2013","83","PM2.5","Fresno - Garland","06-019-0011","AQS","13","39","0","31","83","38"
"02/23/2013","57","PM2.5","Fresno - Garland","06-019-0011","AQS","10","42","0","19","57","24"
"02/24/2013","57","PM2.5","Fresno - Garland","06-019-0011","AQS","7","39","0","19","57","35"
"02/25/2013","64","PM2.5","Fresno - Garland","06-019-0011","AQS","9","44","0","26","64","25"
"02/26/2013","73","PM2.5","Fresno - Garland","06-019-0011","AQS","7","39","0","32","73","30"
"02/27/2013","89","PM2.5","Clovis-Villa","06-019-5001","AQS","9","50","0","37","89","42"
"02/28/2013","68","PM2.5","Fresno - Garland","06-019-0011","AQS","9","44","0","31","68","37"
"03/01/2013","76","PM2.5","Fresno - Garland","06-019-0011","AQS","10","71","1","38","76","42"
"03/02/2013","77","PM2.5","Fresno - Garland","06-019-0011","AQS","9","67","0","39","77","36"
"03/03/2013","59","PM2.5","Fresno - Garland","06-019-0011","AQS","6","44","0","24","59","16"
"03/04/2013","43","PM2.5","Fresno - Garland","06-019-0011","AQS","6","43","0","19","43","36"
"03/05/2013","47","PM2.5","Fresno - Garland","06-019-0011","AQS","6","41","0","25","47","23"
"03/06/2013","41","Ozone","Tranquillity","06-019-2009","AQS","2","41","0","14","26","12"
"03/07/2013","41","Ozone","Tranquillity","06-019-2009","AQS","3","41","0","13","39","19"
"03/08/2013","41","Ozone","Tranquillity","06-019-2009","AQS","3","41","0","9","39","11"
"03/09/2013","51","PM2.5","Fresno - Garland","06-019-0011","AQS","3","41","0","17","51","15"
"03/10/2013","58","PM2.5","Fresno - Garland","06-019-0011","AQS","6","44","0","20","58","39"
"03/11/2013","55","PM2.5","Fresno - Garland","06-019-0011","AQS","8","51","0","26","55","31"
"03/12/2013","67","Ozone","Tranquillity","06-019-2009","AQS","7","67","0","31","63","36"
"03/13/2013","100","Ozone","Tranquillity","06-019-2009","AQS","7","100","0","34","67","37"
"03/14/2013","101","Ozone","Tranquillity","06-019-2009","AQS","7","101","0","38","72","25"
"03/15/2013","65","PM2.5","Clovis-Villa","06-019-5001","AQS","5","54","0","32","65","27"
"03/16/2013","64","PM2.5","Clovis-Villa","06-019-5001","AQS","5","48","0","26","64","18"
"03/17/2013","46","Ozone","Tranquillity","06-019-2009","AQS","3","46","0","28","35","19"
"03/18/2013","46","Ozone","Tranquillity","06-019-2009","AQS","5","46","0","25","43","33"
"03/19/2013","58","Ozone","Clovis-Villa","06-019-5001","AQS","6","58","0","41","53","30"
