"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"01/01/2013","53","PM2.5","Atascadero (original site)","06-079-8001","AQS","32","0","25","53","12"
"01/02/2013","55","PM2.5","Atascadero (original site)","06-079-8001","AQS","37","0","22","55","28"
"01/03/2013","66","PM2.5","Atascadero (original site)","06-079-8001","AQS","37","0","23","66","25"
"01/04/2013","65","PM2.5","Atascadero (original site)","06-079-8001","AQS","42","0","28","65","31"
"01/05/2013","41","Ozone","Red Hills","06-079-8005","AQS","41","0","14","33","20"
"01/06/2013","40","Ozone","Red Hills","06-079-8005","AQS","40","0","10","17","8"
"01/07/2013","34","Ozone","Red Hills","06-079-8005","AQS","34","0","18","28","11"
"01/08/2013","44","PM2.5","Atascadero (original site)","06-079-8001","AQS","36","0","19","44","19"
"01/09/2013","37","Ozone","Red Hills","06-079-8005","AQS","37","0","18","36","12"
"01/10/2013","62","PM10","Arroyo Grande CDF","06-079-2007","AQS","37","1","62","44","25"
"01/11/2013","48","PM2.5","Atascadero (original site)","06-079-8001","AQS","35","0","22","48","25"
"01/12/2013","60","PM2.5","Atascadero (original site)","06-079-8001","AQS","34","0","19","60","24"
"01/13/2013","59","PM2.5","Atascadero (original site)","06-079-8001","AQS","35","0","19","59","23"
"01/14/2013","57","PM2.5","Atascadero (original site)","06-079-8001","AQS","34","0","19","57","18"
"01/15/2013","64","PM2.5","Atascadero (original site)","06-079-8001","AQS","35","0","23","64","31"
"01/16/2013","65","PM2.5","Atascadero (original site)","06-079-8001","AQS","32","0","29","65","30"
"01/17/2013","74","PM2.5","Atascadero (original site)","06-079-8001","AQS","35","1","34","74","28"
"01/18/2013","72","PM2.5","Atascadero (original site)","06-079-8001","AQS","37","0","31","72","29"
"01/19/2013","80","PM2.5","Atascadero (original site)","06-079-8001","AQS","42","0","38","80","27"
"01/20/2013","89","PM2.5","Atascadero (original site)","06-079-8001","AQS","45","1","35","89","26"
"01/21/2013","89","PM2.5","Atascadero (original site)","06-079-8001","AQS","44","1","35","89","28"
"01/22/2013","68","PM2.5","Atascadero (original site)","06-079-8001","AQS","44","0","36","68","33"
"01/23/2013","41","Ozone","Red Hills","06-079-8005","AQS","41","0","31","37","25"
"01/24/2013","47","PM2.5","Atascadero (original site)","06-079-8001","AQS","23","0","13","47","20"
"01/25/2013","58","PM2.5","Atascadero (original site)","06-079-8001","AQS","24","0","16","58","14"
"01/26/2013","41","PM10","Arroyo Grande CDF","06-079-2007","AQS","35","0","41","40","13"
"01/27/2013","49","PM10","Arroyo Grande CDF","06-079-2007","AQS","35","0","49","36","19"
"01/28/2013","34","Ozone","Morro Bay","06-079-3001","AQS","34",".","31","33","20"
"01/29/2013","33","Ozone","Carrizo Plains","06-079-8006","AQS","33",".","23","32","17"
"01/30/2013","51","PM2.5","Atascadero (original site)","06-079-8001","AQS","37","0","19","51","29"
"01/31/2013","46","PM2.5","Atascadero (original site)","06-079-8001","AQS","41","3","20","46","26"
"02/01/2013","54","PM2.5","Atascadero (original site)","06-079-8001","AQS","41","6","23","54","24"
"02/02/2013","56","PM2.5","Atascadero (original site)","06-079-8001","AQS","40","1","24","56","20"
"02/03/2013","56","PM2.5","Atascadero (original site)","06-079-8001","AQS","42","0","31","56","18"
"02/04/2013","56","PM2.5","Atascadero (original site)","06-079-8001","AQS","43","3","21","56","27"
"02/05/2013","48","PM2.5","Atascadero (original site)","06-079-8001","AQS","43","0","17","48","8"
"02/06/2013","55","PM10","Arroyo Grande CDF","06-079-2007","AQS","36","0","55","52","13"
"02/07/2013","40","Ozone","Morro Bay","06-079-3001","AQS","40","0","14","24","15"
"02/08/2013","36","Ozone","Red Hills","06-079-8005","AQS","36","0","7","26","24"
"02/09/2013","38","PM2.5","Atascadero (original site)","06-079-8001","AQS","37","0","17","38","18"
"02/10/2013","40","PM2.5","Atascadero (original site)","06-079-8001","AQS","39","0","13","40","23"
"02/11/2013","41","Ozone","Red Hills","06-079-8005","AQS","41","0","17","40","24"
"02/12/2013","44","Ozone","Red Hills","06-079-8005","AQS","44",".","21","42","28"
"02/13/2013","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47",".","40","56","24"
"02/14/2013","67","PM2.5","Atascadero (original site)","06-079-8001","AQS","49",".","31","67","33"
"02/15/2013","64","PM2.5","Atascadero (original site)","06-079-8001","AQS","48","3","32","64","32"
"02/16/2013","59","PM2.5","Atascadero (original site)","06-079-8001","AQS","47","1","44","59","33"
"02/17/2013","65","PM10","Arroyo Grande CDF","06-079-2007","AQS","45","0","65","60","15"
"02/18/2013","39","Ozone","Red Hills","06-079-8005","AQS","39","0","23","29","9"
"02/19/2013","40","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","40","0","12","27","16"
"02/20/2013","35","Ozone","Morro Bay","06-079-3001","AQS","35","0","31","28","16"
"02/21/2013","42","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","0","29","42","20"
"02/22/2013","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","0","47","53","25"
"02/23/2013","75","PM10","Arroyo Grande CDF","06-079-2007","AQS","41","1","75","70","14"
"02/24/2013","40","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","40","0","22","28","21"
"02/25/2013","50","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","1","50","50","23"
"02/26/2013","44","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","44","1","34","40","27"
"02/27/2013","51","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","1","49","51","37"
"02/28/2013","58","Ozone","Red Hills","06-079-8005","AQS","58","3","51","57","22"
"03/01/2013","54","Ozone","Carrizo Plains","06-079-8006","AQS","54","4","26","43","33"
"03/02/2013","61","Ozone","Red Hills","06-079-8005","AQS","61","7","28","35","14"
"03/03/2013","43","Ozone","Red Hills","06-079-8005","AQS","43","3","24","31","14"
"03/04/2013","40","Ozone","Carrizo Plains","06-079-8006","AQS","40","1","24","31","13"
"03/05/2013","43","Ozone","Morro Bay","06-079-3001","AQS","43","0","17","24","8"
"03/06/2013","39","Ozone","Red Hills","06-079-8005","AQS","39","1","10","19","11"
"03/07/2013","38","Ozone","Morro Bay","06-079-3001","AQS","38","1","12","19","21"
"03/08/2013","39","Ozone","Morro Bay","06-079-3001","AQS","39","3","13","17","14"
"03/09/2013","57","PM10","Arroyo Grande CDF","06-079-2007","AQS","38","7","57","56","17"
"03/10/2013","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","10","51","54","16"
"03/11/2013","51","Ozone","Red Hills","06-079-8005","AQS","51","3","16","35","18"
"03/12/2013","80","Ozone","Red Hills","06-079-8005","AQS","80","4","17","36","27"
"03/13/2013","93","Ozone","Red Hills","06-079-8005","AQS","93","4","17","25","24"
"03/14/2013","87","Ozone","Red Hills","06-079-8005","AQS","87","1","12","22","26"
