"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"03/29/2013","21","PM2.5","","06-003-1001","AQS","21"
"04/10/2013","21","PM2.5","","06-003-1001","AQS","21"
"04/22/2013","18","PM2.5","","06-003-1001","AQS","18"
"05/23/2013","14","PM2.5","","06-003-1001","AQS","14"
"06/03/2013","8","PM2.5","","06-003-1001","AQS","8"
"06/18/2013","20","PM2.5","","06-003-1001","AQS","20"
"06/19/2013","12","PM2.5","","06-003-1001","AQS","12"
"06/27/2013","3","PM2.5","","06-003-1001","AQS","3"
"07/08/2013","20","PM2.5","","06-003-1001","AQS","20"
"07/22/2013","36","PM2.5","","06-003-1001","AQS","36"
"08/02/2013","29","PM2.5","","06-003-1001","AQS","29"
"08/06/2013","61","PM2.5","","06-003-1001","AQS","61"
"08/07/2013","38","PM2.5","","06-003-1001","AQS","38"
"08/14/2013","35","PM2.5","","06-003-1001","AQS","35"
"08/23/2013","246","PM2.5","","06-003-1001","AQS","246"
"08/28/2013","227","PM2.5","","06-003-1001","AQS","227"
"08/29/2013","178","PM2.5","","06-003-1001","AQS","178"
"09/03/2013","175","PM2.5","","06-003-1001","AQS","175"
"09/04/2013","170","PM2.5","","06-003-1001","AQS","170"
"09/05/2013","154","PM2.5","","06-003-1001","AQS","154"
"09/06/2013","174","PM2.5","","06-003-1001","AQS","174"
"09/13/2013","48","PM2.5","","06-003-1001","AQS","48"
"09/25/2013","17","PM2.5","","06-003-1001","AQS","17"
"10/01/2013","38","PM2.5","","06-003-1001","AQS","38"
"10/31/2013","26","PM2.5","","06-003-1001","AQS","26"
"11/12/2013","38","PM2.5","","06-003-1001","AQS","38"
"11/18/2013","21","PM2.5","","06-003-1001","AQS","21"
"11/26/2013","22","PM2.5","","06-003-1001","AQS","22"
"12/03/2013","50","PM2.5","","06-003-1001","AQS","50"
"12/12/2013","64","PM2.5","","06-003-1001","AQS","64"
"12/18/2013","21","PM2.5","","06-003-1001","AQS","21"
"12/23/2013","25","PM2.5","","06-003-1001","AQS","25"
