"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"11/03/2013","31","Ozone","Hollister","06-069-0002","AQS","31","20","15"
"11/04/2013","28","PM10","Hollister","06-069-0002","AQS","26","28","11"
"11/05/2013","31","Ozone","Hollister","06-069-0002","AQS","31","19","6"
"11/06/2013","34","Ozone","Hollister","06-069-0002","AQS","34","33","10"
"11/07/2013","40","PM10","Hollister","06-069-0002","AQS","31","40","22"
"11/08/2013","45","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","45","35","35"
"11/09/2013","50","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","50","34","31"
"11/10/2013","51","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","51","20","38"
"11/11/2013","46","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","46","23","23"
"11/12/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","31","30"
"11/13/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","29","26"
"11/14/2013","35","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","35","26","32"
"11/15/2013","38","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","38","23","28"
"11/16/2013","36","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","36","18","15"
"11/17/2013","31","Ozone","Hollister","06-069-0002","AQS","31","11","6"
"11/18/2013","34","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","34","17","13"
"11/19/2013","33","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","33","10","6"
"11/20/2013","28","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","28","6","11"
"11/21/2013","24","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","24","11","19"
"11/22/2013","34","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","34","17","16"
"11/23/2013","32","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","32","15","17"
"11/24/2013","37","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","37","10","13"
"11/25/2013","37","PM2.5","Hollister","06-069-0002","AQS","37","19","37"
"11/26/2013","70","PM2.5","Hollister","06-069-0002","AQS","37","29","70"
"11/27/2013","59","PM2.5","Hollister","06-069-0002","AQS","41","27","59"
"11/28/2013","57","PM2.5","Hollister","06-069-0002","AQS","39","22","57"
"11/29/2013","43","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","43","16","27"
"11/30/2013","44","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","44","17","28"
"12/01/2013","40","PM2.5","Hollister","06-069-0002","AQS","39","18","40"
"12/02/2013","35","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","35","16","14"
"12/03/2013","38","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","38","13","13"
"12/04/2013","36","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","36","12","7"
"12/05/2013","32","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","32","14","14"
"12/06/2013","37","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","37","15","16"
"12/07/2013","35","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","35","8","10"
"12/08/2013","31","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","31","10","23"
"12/09/2013","32","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","32","10","21"
"12/10/2013","33","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","33","13","27"
"12/11/2013","36","PM2.5","Hollister","06-069-0002","AQS","35","15","36"
"12/12/2013","36","PM2.5","Hollister","06-069-0002","AQS","36","19","36"
"12/13/2013","51","PM2.5","Hollister","06-069-0002","AQS","35","21","51"
"12/14/2013","44","PM2.5","Hollister","06-069-0002","AQS","38","18","44"
"12/15/2013","55","PM2.5","Hollister","06-069-0002","AQS","37","21","55"
"12/16/2013","38","PM2.5","Hollister","06-069-0002","AQS","35","19","38"
"12/17/2013","40","PM2.5","Hollister","06-069-0002","AQS","35","25","40"
"12/18/2013","66","PM2.5","Hollister","06-069-0002","AQS","35","33","66"
"12/19/2013","35","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","35","20","15"
"12/20/2013","37","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","37","14","12"
"12/21/2013","32","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","32","18","24"
"12/22/2013","46","PM2.5","Hollister","06-069-0002","AQS","38","20","46"
"12/23/2013","54","PM2.5","Hollister","06-069-0002","AQS","38","24","54"
"12/24/2013","38","PM2.5","Hollister","06-069-0002","AQS","38","18","38"
"12/25/2013","35","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","35","11","17"
"12/26/2013","37","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","37","19","36"
"12/27/2013","51","PM2.5","Hollister","06-069-0002","AQS","36","28","51"
"12/28/2013","45","PM2.5","Hollister","06-069-0002","AQS","37","22","45"
"12/29/2013","35","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","35","13","5"
"12/30/2013","40","Ozone","Pinnacles NP - Southwest of East Entrance Station","06-069-0003","AQS","40","17","14"
"12/31/2013","53","PM2.5","Hollister","06-069-0002","AQS","39","26","53"
