"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2013","66","PM2.5","Redwood City","06-081-1001","AQS","10","24","66","25"
"01/02/2013","52","PM2.5","Redwood City","06-081-1001","AQS","14","15","52","35"
"01/03/2013","67","PM2.5","Redwood City","06-081-1001","AQS","16","7","67","36"
"01/04/2013","71","PM2.5","Redwood City","06-081-1001","AQS","15","11","71","36"
"01/05/2013","56","PM2.5","Redwood City","06-081-1001","AQS","14","20","56","28"
"01/06/2013","55","PM2.5","Redwood City","06-081-1001","AQS","10","19","55","25"
"01/07/2013","54","PM2.5","Redwood City","06-081-1001","AQS","11","8","54","29"
"01/08/2013","62","PM2.5","Redwood City","06-081-1001","AQS","15","6","62","33"
"01/09/2013","53","PM2.5","Redwood City","06-081-1001","AQS","13","31","53","25"
"01/10/2013","33","NO2","Redwood City","06-081-1001","AQS","7","27","16","33"
"01/11/2013","36","NO2","Redwood City","06-081-1001","AQS","10","27","28","36"
"01/12/2013","44","PM2.5","Redwood City","06-081-1001","AQS","8","31","44","30"
"01/13/2013","54","PM2.5","Redwood City","06-081-1001","AQS","10","27","54","34"
"01/14/2013","38","NO2","Redwood City","06-081-1001","AQS","10","28","36","38"
"01/15/2013","53","PM2.5","Redwood City","06-081-1001","AQS",".",".","53","41"
"01/16/2013","68","PM2.5","Redwood City","06-081-1001","AQS",".",".","68","39"
"01/17/2013","70","PM2.5","Redwood City","06-081-1001","AQS","16","15","70","38"
"01/18/2013","68","PM2.5","Redwood City","06-081-1001","AQS","16","17","68","39"
"01/19/2013","64","PM2.5","Redwood City","06-081-1001","AQS","11","22","64","37"
"01/20/2013","62","PM2.5","Redwood City","06-081-1001","AQS","9","23","62","34"
"01/21/2013","68","PM2.5","Redwood City","06-081-1001","AQS","11","16","68","38"
"01/22/2013","78","PM2.5","Redwood City","06-081-1001","AQS","15","9","78","39"
"01/23/2013","85","PM2.5","Redwood City","06-081-1001","AQS","16","1","85","37"
"01/24/2013","81","PM2.5","Redwood City","06-081-1001","AQS","9","8","81","28"
"01/25/2013","66","PM2.5","Redwood City","06-081-1001","AQS","9","13","66","25"
"01/26/2013","34","Ozone","Redwood City","06-081-1001","AQS","9","34","27","16"
"01/27/2013","31","Ozone","Redwood City","06-081-1001","AQS","3","31","18","11"
"01/28/2013","33","NO2","Redwood City","06-081-1001","AQS","6","28","23","33"
"01/29/2013","39","NO2","Redwood City","06-081-1001","AQS","8","23","29","39"
