"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"01/01/2013","62","PM2.5","Livermore","06-001-0007","AQS","8","30","0","62","28"
"01/02/2013","61","PM2.5","Livermore","06-001-0007","AQS","16","21","6","61","37"
"01/03/2013","81","PM2.5","Livermore","06-001-0007","AQS","23","19","3","81","42"
"01/04/2013","78","PM2.5","Livermore","06-001-0007","AQS","16","20","3","78","36"
"01/05/2013","84","PM2.5","Livermore","06-001-0007","AQS","18","20","3","84","28"
"01/06/2013","54","PM2.5","Oakland","06-001-0009","AQS","17","24","1","54","29"
"01/07/2013","58","PM2.5","Oakland West","06-001-0011","AQS","23","10","1","58","33"
"01/08/2013","72","PM2.5","Oakland West","06-001-0011","AQS","15","19","4","72","33"
"01/09/2013","61","PM2.5","Oakland West","06-001-0011","AQS","11","33","3","61","29"
"01/10/2013","35","NO2","Oakland","06-001-0009","AQS","9","31","0","25","35"
"01/11/2013","35","PM2.5","Oakland","06-001-0009","AQS","7","26","1","35","35"
"01/12/2013","45","PM2.5","Livermore","06-001-0007","AQS","10","31","1","45","33"
"01/13/2013","35","PM2.5","Oakland","06-001-0009","AQS","8","30","1","35","30"
"01/14/2013","40","NO2","Oakland","06-001-0009","AQS","14","31","1","39","40"
"01/15/2013","60","PM2.5","Livermore","06-001-0007","AQS","17","21","4","60","38"
"01/16/2013","95","PM2.5","Oakland West","06-001-0011","AQS","20","23","67","95","44"
"01/17/2013","88","PM2.5","Oakland West","06-001-0011","AQS","22","27","3","88","49"
"01/18/2013","77","PM2.5","Oakland West","06-001-0011","AQS","20","28","3","77","42"
"01/19/2013","71","PM2.5","Livermore","06-001-0007","AQS","19","26","11","71","41"
"01/20/2013","69","PM2.5","Livermore","06-001-0007","AQS","18","28","6","69","37"
"01/21/2013","82","PM2.5","Livermore","06-001-0007","AQS","19","26","11","82","43"
"01/22/2013","99","PM2.5","Livermore","06-001-0007","AQS","20","19","24","99","42"
"01/23/2013","107","PM2.5","Livermore","06-001-0007","AQS","15","16","4","107","44"
"01/24/2013","70","PM2.5","Oakland","06-001-0009","AQS","9","21","1","70","29"
"01/25/2013","62","PM2.5","Oakland","06-001-0009","AQS","9","19","3","62","25"
"01/26/2013","35","Ozone","Livermore","06-001-0007","AQS","9","35","1","21","25"
"01/27/2013","31","Ozone","Livermore","06-001-0007","AQS","6","31","0","23","25"
"01/28/2013","32","NO2","Oakland West","06-001-0011","AQS","8","28","0","26","32"
"01/29/2013","38","PM2.5","Oakland West","06-001-0011","AQS","15","23","1","38","34"
"01/30/2013","54","PM2.5","Oakland West","06-001-0011","AQS","17","12","21","54","37"
"01/31/2013","76","PM2.5","Oakland West","06-001-0011","AQS","17","28","4","76","39"
"02/01/2013","85","PM2.5","Oakland West","06-001-0011","AQS","16","27","3","85","35"
"02/02/2013","77","PM2.5","Livermore","06-001-0007","AQS","7","19","1","77","32"
"02/03/2013","57","PM2.5","Oakland West","06-001-0011","AQS","8","34","0","57","28"
"02/04/2013","64","PM2.5","Oakland West","06-001-0011","AQS","8","24","3","64","30"
"02/05/2013","40","PM2.5","Oakland West","06-001-0011","AQS","5","32","10","40","27"
"02/06/2013","40","PM2.5","Oakland West","06-001-0011","AQS","9","30","6","40","31"
"02/07/2013","37","Ozone","Livermore","06-001-0007","AQS","6","37","1","36","31"
