"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"04/30/2013","18","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","18"
"05/01/2013","29","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","29"
"05/02/2013","44","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","44"
"05/03/2013","48","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","48"
"05/04/2013","19","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","9","19"
"05/05/2013","29","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","29"
"05/06/2013","42","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","42"
"05/07/2013","18","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","18"
"05/08/2013","23","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","23"
"05/09/2013","18","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","18"
"05/10/2013","18","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","6","18"
"05/11/2013","21","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","21"
"05/12/2013","18","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","18"
"05/13/2013","14","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","14"
"05/14/2013","13","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","13"
"05/15/2013","18","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","18"
"05/16/2013","18","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","7","18"
"05/17/2013","10","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","10"
"05/18/2013","9","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","9"
"05/19/2013","26","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","26"
"05/20/2013","15","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","15"
"05/21/2013","8","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","8"
"05/22/2013","10","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","4","10"
"05/23/2013","23","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","23"
"05/24/2013","15","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","15"
"05/25/2013","16","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","16"
"05/26/2013","5","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","5"
"05/27/2013","10","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","10"
"05/28/2013","9","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","2","9"
"05/29/2013","6","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","6"
"05/30/2013","9","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","9"
"05/31/2013","15","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","15"
"06/01/2013","14","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","14"
"06/02/2013","10","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","10"
"06/03/2013","13","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","13"
"06/04/2013","15","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","15"
"06/05/2013","18","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","18"
"06/06/2013","16","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","16"
"06/07/2013","16","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","16"
"06/08/2013","18","PM2.5","Weaverville-Courthouse","06-105-0002","AQS",".","18"
