"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2013","28","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","28",".","."
"01/02/2013","29","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","29",".","."
"01/03/2013","18","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","18",".","."
"01/04/2013","22","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","22","6","14"
"01/05/2013","21","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","21",".","."
"01/06/2013","24","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","24",".","."
"01/07/2013","19","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","19",".","."
"01/08/2013","15","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","15",".","."
"01/09/2013","33","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","33",".","."
"01/10/2013","32","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","32","3","5"
"01/11/2013","31","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","31",".","."
"01/12/2013","27","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","27",".","."
"01/13/2013","28","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","28",".","."
"01/14/2013","32","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","32",".","."
"01/15/2013","27","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","27",".","."
"01/16/2013","24","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","24","6","13"
"01/17/2013","22","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","22",".","."
"01/18/2013","25","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","25",".","."
"01/19/2013","25","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","25",".","."
"01/20/2013","28","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","28",".","."
"01/21/2013","25","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","25",".","."
"01/22/2013","21","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","21","8","19"
"01/23/2013","19","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","19",".","."
"01/24/2013","19","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","19",".","."
"01/25/2013","19","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","19",".","."
"01/26/2013","34","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","34",".","."
"01/27/2013","32","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","32",".","."
"01/28/2013","33","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","33","5","1"
"01/29/2013","30","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","30",".","."
"01/30/2013","21","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","21",".","."
"01/31/2013","23","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","23",".","."
"02/01/2013","25","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","25",".","."
"02/02/2013","30","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","30",".","."
"02/03/2013","23","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","23","6","14"
"02/04/2013","22","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","22",".","."
