"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2013","83","PM2.5","Bakersfield-California","06-029-0014","AQS",".","38",".","83","23"
"01/02/2013","98","PM2.5","Bakersfield-California","06-029-0014","AQS","8","39",".","98","38"
"01/03/2013","119","PM2.5","Bakersfield-California","06-029-0014","AQS","10","38",".","119","35"
"01/04/2013","138","PM2.5","Bakersfield-California","06-029-0014","AQS","7","38","55","138","40"
"01/05/2013","132","PM2.5","Bakersfield-California","06-029-0014","AQS","10","39",".","132","37"
"01/06/2013","46","PM2.5","Bakersfield-California","06-029-0014","AQS","8","41",".","46","21"
"01/07/2013","62","PM2.5","Bakersfield-California","06-029-0014","AQS","5","38",".","62","33"
"01/08/2013","79","PM2.5","Bakersfield-California","06-029-0014","AQS","8","36","22","79","37"
"01/09/2013","95","PM2.5","Bakersfield-California","06-029-0014","AQS","7","35",".","95","34"
"01/10/2013","38","PM2.5","Bakersfield-California","06-029-0014","AQS","5","37","25","38","29"
"01/11/2013","59","PM2.5","Bakersfield-California","06-029-0014","AQS","6","34",".","59","35"
"01/12/2013","63","PM2.5","Bakersfield-California","06-029-0014","AQS","5","37",".","63","34"
"01/13/2013","72","PM2.5","Bakersfield-California","06-029-0014","AQS","8","37",".","72","35"
"01/14/2013","70","PM2.5","Bakersfield-California","06-029-0014","AQS","6","38",".","70","35"
"01/15/2013","74","PM2.5","Bakersfield-California","06-029-0014","AQS","7","39",".","74","38"
"01/16/2013","107","PM2.5","Bakersfield-California","06-029-0014","AQS","8","37","50","107","36"
"01/17/2013","122","PM2.5","Bakersfield-California","06-029-0014","AQS","8","27","58","122","34"
"01/18/2013","143","PM2.5","Bakersfield-California","06-029-0014","AQS","9","36",".","143","38"
"01/19/2013","153","PM2.5","Bakersfield-California","06-029-0014","AQS","9","36","60","153","38"
"01/20/2013","159","PM2.5","Bakersfield-California","06-029-0014","AQS","9","44",".","159","42"
"01/21/2013","156","PM2.5","Bakersfield-California","06-029-0014","AQS","8","50",".","156","46"
