"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/01/2013","91","PM2.5","Quincy-N Church Street","06-063-1006","AQS","91"
"01/04/2013","112","PM2.5","Quincy-N Church Street","06-063-1006","AQS","112"
"01/07/2013","75","PM2.5","Quincy-N Church Street","06-063-1006","AQS","75"
"01/08/2013","85","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","85"
"01/10/2013","74","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","74"
"01/13/2013","65","PM2.5","Quincy-N Church Street","06-063-1006","AQS","65"
"01/16/2013","56","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","56"
"01/19/2013","113","PM2.5","Quincy-N Church Street","06-063-1006","AQS","113"
"01/22/2013","138","PM2.5","Quincy-N Church Street","06-063-1006","AQS","138"
"01/25/2013","66","PM2.5","Quincy-N Church Street","06-063-1006","AQS","66"
"01/26/2013","69","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","69"
"01/28/2013","82","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","82"
"01/31/2013","87","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","87"
"02/03/2013","81","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","81"
"02/06/2013","79","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","79"
"02/09/2013","72","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","72"
"02/12/2013","83","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","83"
"02/18/2013","42","PM2.5","Quincy-N Church Street","06-063-1006","AQS","42"
"02/21/2013","70","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","70"
"02/24/2013","58","PM2.5","Quincy-N Church Street","06-063-1006","AQS","58"
"02/27/2013","67","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","67"
"03/02/2013","42","PM2.5","Quincy-N Church Street","06-063-1006","AQS","42"
"03/05/2013","54","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","54"
"03/08/2013","24","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","24"
"03/11/2013","62","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","62"
"03/14/2013","71","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","71"
"03/17/2013","60","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","60"
"03/20/2013","9","PM2.5","Quincy-N Church Street","06-063-1006","AQS","9"
"03/23/2013","54","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","54"
"03/26/2013","62","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","62"
"03/29/2013","33","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","33"
"04/01/2013","47","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","47"
"04/04/2013","30","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","30"
"04/07/2013","14","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","14"
"04/10/2013","36","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","36"
"04/13/2013","28","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","28"
"04/16/2013","43","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","43"
"04/19/2013","48","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","48"
"04/22/2013","50","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","50"
"04/25/2013","27","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","27"
"04/28/2013","24","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","24"
"05/01/2013","21","PM2.5","Quincy-N Church Street","06-063-1006","AQS","21"
"05/04/2013","36","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","36"
"05/07/2013","25","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","25"
"05/10/2013","18","PM2.5","Quincy-N Church Street","06-063-1006","AQS","18"
"05/13/2013","15","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","15"
"05/16/2013","18","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","18"
"05/19/2013","21","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","21"
"05/22/2013","17","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","17"
"05/25/2013","20","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","20"
"05/28/2013","12","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","12"
"05/31/2013","15","PM2.5","Quincy-N Church Street","06-063-1006","AQS","15"
"06/03/2013","18","PM2.5","Quincy-N Church Street","06-063-1006","AQS","18"
"06/06/2013","24","PM2.5","Quincy-N Church Street","06-063-1006","AQS","24"
"06/09/2013","32","PM2.5","Quincy-N Church Street","06-063-1006","AQS","32"
"06/12/2013","20","PM2.5","Quincy-N Church Street","06-063-1006","AQS","20"
"06/15/2013","20","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","20"
"06/18/2013","29","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","29"
"06/21/2013","20","PM2.5","Portola-161 Nevada Street","06-063-1009","AQS","20"
"06/24/2013","4","PM2.5","Quincy-N Church Street","06-063-1006","AQS","4"
"06/27/2013","14","PM2.5","Quincy-N Church Street","06-063-1006","AQS","14"
"06/30/2013","21","PM2.5","Quincy-N Church Street","06-063-1006","AQS","21"
"07/03/2013","32","PM2.5","Quincy-N Church Street","06-063-1006","AQS","32"
"07/06/2013","22","PM2.5","Portola","06-063-1010","AQS","22"
"07/09/2013","19","PM2.5","Portola","06-063-1010","AQS","19"
"07/12/2013","13","PM2.5","Quincy-N Church Street","06-063-1006","AQS","13"
"07/15/2013","20","PM2.5","Quincy-N Church Street","06-063-1006","AQS","20"
"07/18/2013","18","PM2.5","Quincy-N Church Street","06-063-1006","AQS","18"
"07/21/2013","40","PM2.5","Quincy-N Church Street","06-063-1006","AQS","40"
"07/24/2013","27","PM2.5","Quincy-N Church Street","06-063-1006","AQS","27"
"07/27/2013","24","PM2.5","Quincy-N Church Street","06-063-1006","AQS","24"
"07/30/2013","39","PM2.5","Quincy-N Church Street","06-063-1006","AQS","39"
"08/02/2013","17","PM2.5","Quincy-N Church Street","06-063-1006","AQS","17"
"08/05/2013","24","PM2.5","Quincy-N Church Street","06-063-1006","AQS","24"
"08/08/2013","17","PM2.5","Quincy-N Church Street","06-063-1006","AQS","17"
"08/11/2013","30","PM2.5","Portola","06-063-1010","AQS","30"
"08/14/2013","55","PM2.5","Portola","06-063-1010","AQS","55"
"08/17/2013","59","PM2.5","Portola","06-063-1010","AQS","59"
"08/20/2013","76","PM2.5","Portola","06-063-1010","AQS","76"
"08/23/2013","65","PM2.5","Portola","06-063-1010","AQS","65"
"08/26/2013","34","PM2.5","Portola","06-063-1010","AQS","34"
"08/29/2013","23","PM2.5","Portola","06-063-1010","AQS","23"
"09/01/2013","23","PM2.5","Portola","06-063-1010","AQS","23"
"09/04/2013","26","PM2.5","Quincy-N Church Street","06-063-1006","AQS","26"
"09/07/2013","32","PM2.5","Portola","06-063-1010","AQS","32"
"09/10/2013","15","PM2.5","Quincy-N Church Street","06-063-1006","AQS","15"
"09/13/2013","26","PM2.5","Quincy-N Church Street","06-063-1006","AQS","26"
"09/16/2013","14","PM2.5","Portola","06-063-1010","AQS","14"
"09/19/2013","15","PM2.5","Quincy-N Church Street","06-063-1006","AQS","15"
"09/25/2013","20","PM2.5","Portola","06-063-1010","AQS","20"
"09/28/2013","42","PM2.5","Portola","06-063-1010","AQS","42"
"10/01/2013","50","PM2.5","Portola","06-063-1010","AQS","50"
"10/04/2013","18","PM2.5","Quincy-N Church Street","06-063-1006","AQS","18"
"10/07/2013","59","PM2.5","Portola","06-063-1010","AQS","59"
"10/10/2013","51","PM2.5","Portola","06-063-1010","AQS","51"
"10/13/2013","52","PM2.5","Portola","06-063-1010","AQS","52"
"10/16/2013","73","PM2.5","Portola","06-063-1010","AQS","73"
"10/19/2013","60","PM2.5","Portola","06-063-1010","AQS","60"
"10/22/2013","66","PM2.5","Portola","06-063-1010","AQS","66"
"10/25/2013","76","PM2.5","Portola","06-063-1010","AQS","76"
"10/28/2013","30","PM2.5","Portola","06-063-1010","AQS","30"
"10/31/2013","107","PM2.5","Portola","06-063-1010","AQS","107"
"11/03/2013","53","PM2.5","Quincy-N Church Street","06-063-1006","AQS","53"
"11/06/2013","106","PM2.5","Portola","06-063-1010","AQS","106"
"11/09/2013","95","PM2.5","Portola","06-063-1010","AQS","95"
"11/12/2013","120","PM2.5","Portola","06-063-1010","AQS","120"
"11/15/2013","66","PM2.5","Portola","06-063-1010","AQS","66"
"11/18/2013","86","PM2.5","Portola","06-063-1010","AQS","86"
"11/21/2013","31","PM2.5","Quincy-N Church Street","06-063-1006","AQS","31"
"11/24/2013","113","PM2.5","Portola","06-063-1010","AQS","113"
"11/27/2013","113","PM2.5","Portola","06-063-1010","AQS","113"
"11/30/2013","135","PM2.5","Portola","06-063-1010","AQS","135"
"12/03/2013","66","PM2.5","Portola","06-063-1010","AQS","66"
"12/06/2013","123","PM2.5","Portola","06-063-1010","AQS","123"
"12/12/2013","145","PM2.5","Portola","06-063-1010","AQS","145"
"12/18/2013","162","PM2.5","Portola","06-063-1010","AQS","162"
"12/21/2013","116","PM2.5","Portola","06-063-1010","AQS","116"
"12/28/2013","129","PM2.5","Portola","06-063-1010","AQS","129"
"12/30/2013","151","PM2.5","Portola","06-063-1010","AQS","151"
