"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2013","52","PM2.5","Simi Valley-Cochran Street","06-111-2002","AQS","41","15","52","20"
"01/02/2013","41","Ozone","Simi Valley-Cochran Street","06-111-2002","AQS","41","9","20","15"
"01/03/2013","41","Ozone","Thousand Oaks","06-111-0007","AQS","41","14","25","25"
"01/04/2013","38","Ozone","Piru - Pacific","06-111-0009","AQS","38","14","35","32"
"01/05/2013","49","PM2.5","Thousand Oaks","06-111-0007","AQS","32","19","49","26"
"01/06/2013","38","Ozone","Simi Valley-Cochran Street","06-111-2002","AQS","38","10","34","17"
"01/07/2013","37","Ozone","Simi Valley-Cochran Street","06-111-2002","AQS","37","10","24","29"
"01/08/2013","38","NO2","Simi Valley-Cochran Street","06-111-2002","AQS","36","19","19","38"
"01/09/2013","40","PM2.5","El Rio-Rio Mesa School #2","06-111-3001","AQS","28","21","40","28"
"01/10/2013","37","Ozone","Piru - Pacific","06-111-0009","AQS","37","17","27","18"
"01/11/2013","36","Ozone","Ojai - East Ojai Ave","06-111-1004","AQS","36","8","18","29"
"01/12/2013","37","Ozone","Thousand Oaks","06-111-0007","AQS","37","13","36","30"
"01/13/2013","37","Ozone","Ojai - East Ojai Ave","06-111-1004","AQS","37","9","28","26"
"01/14/2013","38","Ozone","Piru - Pacific","06-111-0009","AQS","38","20","30","16"
"01/15/2013","40","PM2.5","Ojai - East Ojai Ave","06-111-1004","AQS","38","15","40","23"
"01/16/2013","38","Ozone","Simi Valley-Cochran Street","06-111-2002","AQS","38","14","27","23"
"01/17/2013","41","Ozone","Simi Valley-Cochran Street","06-111-2002","AQS","41","27","23","28"
"01/18/2013","40","Ozone","Piru - Pacific","06-111-0009","AQS","40","12","22","33"
"01/19/2013","40","Ozone","Simi Valley-Cochran Street","06-111-2002","AQS","40","11","18","21"
"01/20/2013","39","Ozone","Simi Valley-Cochran Street","06-111-2002","AQS","39","8","23","15"
"01/21/2013","36","Ozone","Thousand Oaks","06-111-0007","AQS","36","21","18","18"
"01/22/2013","38","NO2","El Rio-Rio Mesa School #2","06-111-3001","AQS","32","21","18","38"
"01/23/2013","38","NO2","El Rio-Rio Mesa School #2","06-111-3001","AQS","24","29","25","38"
"01/24/2013","24","PM2.5","Thousand Oaks","06-111-0007","AQS","20","6","24","17"
"01/25/2013","24","Ozone","Thousand Oaks","06-111-0007","AQS","24","8","19","17"
"01/26/2013","30","Ozone","Thousand Oaks","06-111-0007","AQS","30","13","27","11"
"01/27/2013","38","Ozone","Ojai - East Ojai Ave","06-111-1004","AQS","38","17","22","8"
"01/28/2013","37","Ozone","Ojai - East Ojai Ave","06-111-1004","AQS","37","8","23","15"
"01/29/2013","31","Ozone","Ojai - East Ojai Ave","06-111-1004","AQS","31","14","26","28"
